alpha,q0star,chi2
0.7000000000000001,0.04000000000000001,5758029.659682459
0.7000000000000001,0.04999999999999999,7073470.003580923
0.7000000000000001,0.06,8522469.376572274
0.7000000000000001,0.07,10095344.129781801
0.7000000000000001,0.07999999999999999,11796265.177235838
0.7000000000000001,0.09,13649000.20425684
0.7000000000000001,0.1,15692293.10043355
0.75,-0.1,485809.59982964804
0.75,-0.09000000000000001,452627.6302343608
0.75,-0.08,454279.31920868997
0.75,-0.07,494426.356365406
0.75,-0.060000000000000005,577618.6074893269
0.75,-0.05,709067.7340925361
0.75,-0.04000000000000001,894420.7753253566
0.75,-0.03,1142103.4813507313
0.75,-0.020000000000000004,1467052.3331045567
0.75,-0.010000000000000009,1892274.5432107197
0.75,0.0,2446742.03436971
0.75,0.009999999999999995,3158255.549935644
0.75,0.01999999999999999,4047920.4297833797
0.75,0.03,5123225.447105527
0.75,0.04000000000000001,6377232.0588398455
0.75,0.04999999999999999,7792154.175806524
0.75,0.06,9349284.422923358
0.75,0.07,11039328.753305571
0.75,0.07999999999999999,12867038.461295353
0.75,0.09,14856978.361949386
0.75,0.1,17048763.042660676
0.8,-0.1,505372.1795597863
0.8,-0.09000000000000001,487602.4069310217
0.8,-0.08,507179.41149475914
0.8,-0.07,568094.0140400933
0.8,-0.060000000000000005,675261.6787140507
0.8,-0.05,834179.8823596992
0.8,-0.04000000000000001,1050707.184290475
0.8,-0.03,1333701.4741170877
0.8,-0.020000000000000004,1699065.024781399
0.8,-0.010000000000000009,2171240.59721388
0.8,0.0,2780780.845042386
0.8,0.009999999999999995,3556628.729938684
0.8,0.01999999999999999,4520495.603649424
0.8,0.03,5679804.751387806
0.8,0.04000000000000001,7027202.810887286
0.8,0.04999999999999999,8544487.526462298
0.8,0.06,10212924.9476172
0.8,0.07,12023689.81330611
0.8,0.07999999999999999,13982144.536531147
0.8,0.09,16113618.247860223
0.8,0.1,18458508.681861456
0.8500000000000001,-0.1,532505.9102483144
0.8500000000000001,-0.09000000000000001,530985.9656159168
0.8500000000000001,-0.08,569403.5598563871
0.8500000000000001,-0.07,652097.9788285306
0.8500000000000001,-0.060000000000000005,784363.3115037475
0.8500000000000001,-0.05,971985.0931269801
0.8500000000000001,-0.04000000000000001,1221031.1726590693
0.8500000000000001,-0.03,1540800.8729039817
0.8500000000000001,-0.020000000000000004,1948192.5078465058
0.8500000000000001,-0.010000000000000009,2469118.693991434
0.8500000000000001,0.0,3135731.582266433
0.8500000000000001,0.009999999999999995,3978102.9372075303
0.8500000000000001,0.01999999999999999,5018521.327172382
0.8500000000000001,0.03,6264320.866263997
0.8500000000000001,0.04000000000000001,7707745.936614582
0.8500000000000001,0.04999999999999999,9330235.651640335
0.8500000000000001,0.06,11113116.253495257
0.8500000000000001,0.07,13048111.654185142
0.8500000000000001,0.07999999999999999,15141226.789250074
0.8500000000000001,0.09,17418521.97784845
0.8500000000000001,0.1,19921089.04742799
0.9,-0.1,567215.1549605019
0.9,-0.09000000000000001,582777.4635514977
0.9,-0.08,640944.8909842456
0.9,-0.07,746424.9065581565
0.9,-0.060000000000000005,904903.5778335502
0.9,-0.05,1122456.7101180297
0.9,-0.04000000000000001,1405358.7389503578
0.9,-0.03,1763358.8962425569
0.9,-0.020000000000000004,2214381.0477429796
0.9,-0.010000000000000009,2785841.3501438037
0.9,0.0,3511509.6651334492
0.9,0.009999999999999995,4422572.642559578
0.9,0.01999999999999999,5541866.731302796
0.9,0.03,6876612.963322306
0.9,0.04000000000000001,8418666.346140346
0.9,0.04999999999999999,10149165.854920188
0.9,0.06,12049585.935922667
0.9,0.07,14112281.11853928
0.9,0.07999999999999999,16343930.927197728
0.9,0.09,18771293.585470904
0.9,0.1,21436064.7324143
0.9500000000000001,-0.1,609503.7583462462
0.9500000000000001,-0.09000000000000001,642975.5682735594
0.9500000000000001,-0.08,721796.0774771313
0.9500000000000001,-0.07,851061.0168624956
0.9500000000000001,-0.060000000000000005,1036862.1036765005
0.9500000000000001,-0.05,1285567.6009186585
0.9500000000000001,-0.04000000000000001,1603655.363234403
0.9500000000000001,-0.03,2001332.1814845016
0.9500000000000001,-0.020000000000000004,2497576.2293507974
0.9500000000000001,-0.010000000000000009,3121340.278397187
0.9500000000000001,0.0,3908029.624401425
0.9500000000000001,0.009999999999999995,4889931.4889277285
0.9500000000000001,0.01999999999999999,6090400.42719412
0.9500000000000001,0.03,7516520.284232799
0.9500000000000001,0.04000000000000001,9159769.80355952
0.9500000000000001,0.04999999999999999,11001047.077069832
0.9500000000000001,0.06,13022063.79597545
0.9500000000000001,0.07,15215887.47018642
0.9500000000000001,0.07999999999999999,17589904.936132398
0.9500000000000001,0.09,20171539.022776127
0.9500000000000001,0.1,23002997.93068805
1.0,-0.1,659375.0456898187
1.0,-0.09000000000000001,711578.454989931
1.0,-0.08,811949.3351615791
1.0,-0.07,965992.0920337476
1.0,-0.060000000000000005,1180218.0689832019
1.0,-0.05,1461290.155772687
1.0,-0.04000000000000001,1815886.003244237
1.0,-0.03,2254676.780959976
1.0,-0.020000000000000004,2797722.960224811
1.0,-0.010000000000000009,3475546.404840199
1.0,0.0,4325205.134895213
1.0,0.009999999999999995,5380072.33091683
1.0,0.01999999999999999,6663990.53695525
1.0,0.03,8183882.1450606305
1.0,0.04000000000000001,9930862.894469671
1.0,0.04999999999999999,11885649.830308747
1.0,0.06,14030281.758865204
1.0,0.07,16358622.321747422
1.0,0.07999999999999999,18878799.03912404
1.0,0.09,21618866.161660094
1.0,0.1,24621452.473147716
