id,m1,m2,q0star,alpha,phi0,tc,dist,incl,k,mean_20_300,p95_20_300,max_20_300,n_20_300,status,error_code,wall_time_s,model,score,p95_20_300_circ,p95_20_300_recalc,phi_ref_fpeak,phi_mcgt_fpeak
35,53.283397,44.124932,0.017937,0.827445,0.0,0.0,1000.0,0.0,0,0.424723,0.731208,0.770905,117,ok,,0.001547,default,0.731208,0.7312077197801202,0.7312077197801202,-0.9570088118144593,-1.43106605108954
36,28.019935,23.26068,-0.113552,-0.222919,0.0,0.0,1000.0,0.0,17,1.472471,2.972324,3.131353,117,ok,,0.001653,default,2.972324,2.9723240279258687,2.9723240279258687,2.296203350461443,-1.6707903964500126
37,55.103313,37.575011,-0.197626,-0.395038,0.0,0.0,1000.0,0.0,58,1.525945,2.896479,3.088433,117,ok,,0.001937,default,2.896479,2.896478561752364,2.896478561752364,2.518134581425503,1.5524506324069058
38,44.090692,9.938691,0.233276,0.562063,0.0,0.0,1000.0,0.0,-2,1.561951,2.941141,3.127714,117,ok,,0.001638,default,2.941141,2.941140682326675,2.941140682326675,1.3885708216200108,-2.0192206296310484
39,65.068215,63.471424,-0.03981,-0.581441,0.0,0.0,1000.0,0.0,24,1.576574,2.966765,3.127006,117,ok,,0.001841,default,2.966765,2.9667645013554065,2.9667645013554065,-2.954890292401622,1.244991862874965
40,41.413472,16.524081,0.091788,0.492601,0.0,0.0,1000.0,0.0,-1,1.773354,2.991091,3.13497,117,ok,,0.001585,default,2.991091,2.99109106770349,2.99109106770349,0.8499095710915743,-0.9710149111852644
41,49.992262,22.352484,-0.025149,0.626347,0.0,0.0,1000.0,0.0,0,1.242178,2.369146,2.541502,117,ok,,0.00162,default,2.369146,2.369145941585753,2.369145941585753,2.349432766199378,-2.5700832315022417
42,66.348738,15.049456,0.143986,-0.291413,0.0,0.0,1000.0,0.0,-29,1.630552,3.019366,3.077379,117,ok,,0.001812,default,3.019366,3.019365678808817,3.019365678808817,-0.5389769001564808,2.6977599795105753
43,76.781044,49.827401,-0.183002,0.318851,0.0,0.0,1000.0,0.0,4,1.52836,2.933621,3.087142,117,ok,,0.002131,default,2.933621,2.9336213189301037,2.9336213189301037,-0.30162579101536124,-0.9417301408854364
44,38.800458,28.104137,0.285364,-0.731971,0.0,0.0,1000.0,0.0,-300,1.581477,2.930397,3.118784,117,ok,,0.00188,default,2.930397,2.930396829431784,2.930396829431784,2.295743325619238,-1.6292299674306996
