id,m1,m2,q0star,alpha,phi0,tc,dist,incl,k,mean_20_300,p95_20_300,max_20_300,n_20_300,status,error_code,wall_time_s,model,score,p95_20_300_circ,p95_20_300_recalc,n_jalons_total,n_jalons_used,penalty_mean
4533,45.692058,41.570820,-0.058877,-0.537434,0.000000,0.000000,1000.000000,0.000000,30,1.524941,2.984554,3.115053,117,ok,,0.001908,default,2.984554,2.984554,2.984554,0,0,0.000000
4534,49.102797,19.422760,0.109672,0.388046,0.000000,0.000000,1000.000000,0.000000,-2,1.634539,2.956285,3.135500,117,ok,,0.001853,default,2.956285,2.956285,2.956285,0,0,0.000000
4535,72.516344,70.309157,-0.219586,-0.470416,0.000000,0.000000,1000.000000,0.000000,85,1.680676,3.000901,3.115890,117,ok,,0.001892,default,3.000901,3.000901,3.000901,0,0,0.000000
4536,32.441938,20.437572,0.249365,0.572990,0.000000,0.000000,1000.000000,0.000000,-2,1.533750,2.946359,3.129683,117,ok,,0.001550,default,2.946359,2.946359,2.946359,0,0,0.000000
4537,59.038308,16.973660,-0.168659,0.300478,0.000000,0.000000,1000.000000,0.000000,4,1.526507,2.906265,3.102187,117,ok,,0.001203,default,2.906265,2.906265,2.906265,0,0,0.000000
4538,61.986084,6.076796,0.262829,-0.649146,0.000000,0.000000,1000.000000,0.000000,-201,1.501032,2.972288,3.140372,117,ok,,0.001197,default,2.972288,2.972288,2.972288,0,0,0.000000
4539,67.368627,45.693673,-0.007840,0.738592,0.000000,0.000000,1000.000000,0.000000,0,0.256012,0.460791,0.489381,117,ok,,0.001822,default,0.460791,0.460791,0.460791,34,34,0.000000
4540,37.589369,33.339155,0.123172,-0.343110,0.000000,0.000000,1000.000000,0.000000,-30,1.687168,2.996614,3.129538,117,ok,,0.000954,default,2.996614,2.996614,2.996614,0,0,0.000000
4541,78.367625,24.070985,0.189088,-0.046478,0.000000,0.000000,1000.000000,0.000000,-15,1.535072,2.980841,3.105178,117,ok,,0.001758,default,2.980841,2.980841,2.980841,0,0,0.000000
4542,55.177722,24.246764,-0.242510,0.879460,0.000000,0.000000,1000.000000,0.000000,1,1.643823,2.971832,3.132997,117,ok,,0.001824,default,2.971832,2.971832,2.971832,0,0,0.000000
4543,71.541001,49.234234,0.046904,-0.977028,0.000000,0.000000,1000.000000,0.000000,-127,1.503646,2.920887,3.133647,117,ok,,0.001723,default,2.920887,2.920887,2.920887,0,0,0.000000
4544,18.224763,7.780792,-0.083998,0.065860,0.000000,0.000000,1000.000000,0.000000,4,1.517842,2.882638,3.093328,117,ok,,0.001462,default,2.882638,2.882638,2.882638,0,0,0.000000
4545,58.897315,8.504137,0.062798,-0.628323,0.000000,0.000000,1000.000000,0.000000,-44,1.516536,2.857446,3.126140,117,ok,,0.001199,default,2.857446,2.857446,2.857446,0,0,0.000000
4546,71.110781,8.561109,-0.105751,0.289483,0.000000,0.000000,1000.000000,0.000000,3,1.596930,2.983388,3.118600,117,ok,,0.001255,default,2.983388,2.983388,2.983388,0,0,0.000000
4547,69.281303,54.747345,0.221241,-0.316921,0.000000,0.000000,1000.000000,0.000000,-48,1.729094,2.964593,3.135972,117,ok,,0.000830,default,2.964593,2.964593,2.964593,0,0,0.000000
4548,33.333657,24.794174,-0.247710,0.733947,0.000000,0.000000,1000.000000,0.000000,1,1.693833,3.032256,3.115735,117,ok,,0.000861,default,3.032256,3.032256,3.032256,0,0,0.000000
4549,77.041480,33.769532,-0.031790,0.905577,0.000000,0.000000,1000.000000,0.000000,0,0.569908,0.944737,0.990089,117,ok,,0.001659,default,0.944737,0.944737,0.944737,0,0,0.000000
4550,44.970485,27.917087,0.136576,-0.051051,0.000000,0.000000,1000.000000,0.000000,-11,1.517804,3.024131,3.088854,117,ok,,0.001518,default,3.024131,3.024131,3.024131,0,0,0.000000
4551,61.262739,49.960560,-0.171662,0.086603,0.000000,0.000000,1000.000000,0.000000,8,1.598667,2.971937,3.131934,117,ok,,0.001547,default,2.971937,2.971937,2.971937,0,0,0.000000
4552,17.403879,15.153970,0.297473,-0.987943,0.000000,0.000000,1000.000000,0.000000,-841,1.456897,2.885454,3.106775,117,ok,,0.001451,default,2.885454,2.885454,2.885454,0,0,0.000000
4553,63.429999,20.886245,-0.195637,-0.135415,0.000000,0.000000,1000.000000,0.000000,22,1.590986,3.022686,3.119350,117,ok,,0.001351,default,3.022686,3.022686,3.022686,0,0,0.000000
4554,69.567644,41.528854,0.235962,0.782849,0.000000,0.000000,1000.000000,0.000000,-1,1.761570,3.004152,3.125161,117,ok,,0.001187,default,3.004152,3.004152,3.004152,0,0,0.000000
4555,55.355170,48.361154,-0.055874,-0.825485,0.000000,0.000000,1000.000000,0.000000,84,1.499564,3.076843,3.128141,117,ok,,0.001118,default,3.076843,3.076843,3.076843,0,0,0.000000
4556,42.019363,9.759075,0.075028,0.224864,0.000000,0.000000,1000.000000,0.000000,-2,1.628118,3.018578,3.138983,117,ok,,0.001041,default,3.018578,3.018578,3.018578,0,0,0.000000
4557,44.090829,33.124256,0.159703,0.396983,0.000000,0.000000,1000.000000,0.000000,-3,1.533730,2.909225,3.138824,117,ok,,0.001174,default,2.909225,2.909225,2.909225,0,0,0.000000
4558,58.213690,23.367308,-0.271786,-0.560103,0.000000,0.000000,1000.000000,0.000000,148,1.615636,2.971245,3.114246,117,ok,,0.001179,default,2.971245,2.971245,2.971245,0,0,0.000000
4559,79.349169,73.554669,0.001296,0.579481,0.000000,0.000000,1000.000000,0.000000,0,0.076286,0.149128,0.160687,117,ok,,0.001538,default,0.149128,0.149128,0.149128,34,34,0.000000
4560,29.060577,11.915406,-0.129716,-0.494547,0.000000,0.000000,1000.000000,0.000000,55,1.615282,2.853807,3.078485,117,ok,,0.001440,default,2.853807,2.853807,2.853807,0,0,0.000000
4561,71.995535,12.731961,0.259359,0.008958,0.000000,0.000000,1000.000000,0.000000,-17,1.469631,2.892973,3.036262,117,ok,,0.001025,default,2.892973,2.892973,2.892973,0,0,0.000000
4562,75.378621,32.962604,-0.209740,-0.908344,0.000000,0.000000,1000.000000,0.000000,436,1.604011,2.970243,3.131990,117,ok,,0.001033,default,2.970243,2.970243,2.970243,0,0,0.000000
4563,59.011931,44.912960,0.098498,0.951957,0.000000,0.000000,1000.000000,0.000000,0,1.499795,2.432544,2.540817,117,ok,,0.000984,default,2.432544,2.432544,2.432544,0,0,0.000000
