q0star,dchi2_smooth
-0.27499999999999997,-78356.05404523699
-0.26999999999999996,-76383.05005164919
-0.26499999999999996,-74457.40026971692
-0.26,-72577.59205636737
-0.255,-70742.17438164302
-0.25,-68949.75476355561
-0.245,-67198.99638314018
-0.24,-65488.615367500955
-0.235,-63817.378229573056
-0.22999999999999998,-62184.099454179166
-0.22499999999999998,-60587.639220746874
-0.21999999999999997,-59026.90125376526
-0.21499999999999997,-57500.830792723624
-0.20999999999999996,-56008.412673875195
-0.20499999999999996,-54548.66951672261
-0.19999999999999996,-53120.66000863593
-0.19499999999999995,-51723.477281481595
-0.18999999999999995,-50356.24737457019
-0.18499999999999994,-49018.127778632435
-0.17999999999999994,-47708.3060558988
-0.17500000000000004,-46425.99853169586
-0.17000000000000004,-45170.44905328562
-0.16500000000000004,-43940.92781196473
-0.16000000000000003,-42736.73022470399
-0.15500000000000003,-41557.17587185972
-0.15000000000000002,-40401.60748771524
-0.14500000000000002,-39269.39000082167
-0.14,-38159.90962130695
-0.135,-37072.57297250335
-0.13,-36006.80626440917
-0.125,-34962.05450666417
-0.12,-33937.78075885944
-0.11499999999999999,-32933.46541613821
-0.10999999999999999,-31948.60552817535
-0.10499999999999998,-30982.714149735613
-0.09999999999999998,-30035.31972112163
-0.09499999999999997,-29105.96547692717
-0.08999999999999997,-28194.20888160468
-0.08499999999999996,-27299.621090444547
-0.07999999999999996,-26421.78643464658
-0.07499999999999996,-25560.3019292436
-0.07000000000000006,-24714.776802707147
-0.06500000000000006,-23884.832047134227
-0.06000000000000005,-23070.099987977166
-0.05500000000000005,-22270.22387233749
-0.050000000000000044,-21484.857474900768
-0.04500000000000004,-20713.664720640907
-0.040000000000000036,-19956.319323471747
-0.03500000000000003,-19212.504440068682
-0.030000000000000027,-18481.912338126393
-0.025000000000000022,-17764.244078358177
-0.020000000000000018,-17059.209209582572
-0.015000000000000013,-16366.525476274604
-0.010000000000000009,-15685.918537995713
-0.0050000000000000044,-15017.121700145133
0.0,-14359.875655507374
0.0050000000000000044,-13713.928236096686
0.010000000000000009,-13079.034174825369
0.015000000000000013,-12454.954876548327
0.020000000000000018,-11841.458198058484
0.025000000000000022,-11238.31823662944
0.030000000000000027,-10645.315126723932
0.03499999999999992,-10062.234844503802
0.039999999999999925,-9488.869019796497
0.04499999999999993,-8925.014755191793
0.04999999999999993,-8370.474451955632
0.05499999999999994,-7825.05564246561
0.05999999999999994,-7288.570828887257
0.06499999999999995,-6760.837327822523
0.06999999999999995,-6241.677120676428
0.07499999999999996,-5730.9167094996465
0.07999999999999996,-5228.386978075498
0.08499999999999996,-4733.923058031631
0.08999999999999997,-4247.364199767871
0.09499999999999997,-3768.553647999963
0.09999999999999998,-3297.3385217292807
0.10499999999999998,-2833.5696984578344
0.10999999999999999,-2377.1017024747034
0.11499999999999999,-1927.792597049654
0.12,-1485.5038803767561
0.125,-1050.1003851170763
0.13,-621.4501813974199
0.135,-199.424483129382
0.14,216.10244248401517
0.1449999999999999,625.2533623778647
0.1499999999999999,1028.1481621105256
0.15499999999999992,1424.9039275189593
0.15999999999999992,1815.6350236530234
0.16499999999999992,2200.453171092933
0.16999999999999993,2579.4675197500933
0.17499999999999993,2952.7847202469156
0.17999999999999994,3320.508992966672
0.18499999999999994,3682.7421948608053
0.18999999999999995,4039.5838840978176
0.19499999999999995,4391.131382634365
0.19999999999999996,4737.479836784281
0.20499999999999996,5078.72227586
0.20999999999999996,5414.949668957377
0.21499999999999997,5746.250979950541
0.21999999999999997,6072.713220762065
0.22499999999999998,6394.421502971059
0.22999999999999998,6711.459087818565
0.235,7023.907434667113
0.24,7331.84624797027
0.24499999999999988,7635.353522804161
0.25,7934.505589011753
0.2549999999999999,8229.377154008627
0.26,8520.041344297235
0.2649999999999999,8806.569745733512
0.27,9089.032442589993
0.2749999999999999,9367.498055456137
0.28,9642.033778015944
0.2849999999999999,9912.705412741132
0.29000000000000004,10179.57740553628
0.29499999999999993,10442.71287937187
0.30000000000000004,10702.173666938867
0.30499999999999994,10958.020342357457
0.30999999999999983,11210.312251971809
0.31499999999999995,11459.107544260813
0.31999999999999984,11704.46319889413
0.32499999999999996,11946.435054961577
0.32999999999999985,12185.07783840283
0.33499999999999996,12420.4451886638
0.33999999999999986,12652.58968460427
0.345,12881.562869681084
0.34999999999999987,13107.415276430245
0.355,13330.196450270741
0.3599999999999999,13549.954972650907
0.365,13766.738483558769
0.3699999999999999,13980.593703416454
0.375,14191.56645437726
0.3799999999999999,14399.701681045246
0.385,14605.04347063452
0.3899999999999999,14807.635072586083
0.395,15007.518917658685
0.3999999999999999,15204.736636509964
0.405,15399.32907778358
0.4099999999999999,15591.336325717624
0.4149999999999998,15780.79771728805
0.41999999999999993,15967.751858902357
0.4249999999999998,16152.236642656622
0.42999999999999994,16334.289262168268
0.43499999999999983,16513.946227998138
0.43999999999999995,16691.243382674686
0.44499999999999984,16866.215915330107
0.44999999999999996,17038.898375961067
0.45499999999999985,17209.324689326448
0.45999999999999996,17377.528168490207
0.46499999999999986,17543.54152802098
0.47,17707.396896859133
0.47499999999999987,17869.125830858597
0.48,18028.75932501569
0.4849999999999999,18186.327825392655
0.49,18341.86124074419
0.4949999999999999,18495.38895385558
0.5,18646.939832601278
0.5049999999999999,18796.542240731706
0.51,18944.224048395663
0.5149999999999999,19090.012642405367
0.5199999999999998,19233.934936252906
0.5249999999999999,19376.017379883055
0.5299999999999998,19516.28596923023
0.5349999999999999,19654.766255526767
0.5399999999999998,19791.483354387135
0.5449999999999999,19926.46195467535
