q0star,chi2_total,chi2_err
-0.12,4689.55086140659,468.95508614065903
-0.11499999999999999,4522.397339540112,452.2397339540112
-0.10999999999999999,4360.216138623316,436.0216138623316
-0.10499999999999998,4202.911218293206,420.2911218293206
-0.09999999999999998,4050.3889336961506,405.0388933696151
-0.09499999999999997,3902.5579600725277,390.2557960072528
-0.08999999999999997,3759.3292202287735,375.9329220228774
-0.08499999999999996,3620.6158147663987,362.0615814766399
-0.07999999999999996,3486.3329549442674,348.63329549442676
-0.07499999999999996,3356.3978980569095,335.63978980569095
-0.07000000000000006,3230.729885217575,323.0729885217575
-0.06500000000000006,3109.250081440535,310.9250081440535
-0.06000000000000005,2991.8815179222674,299.18815179222673
-0.05500000000000005,2878.5490364264865,287.85490364264865
-0.050000000000000044,2769.179235682386,276.9179235682386
-0.04500000000000004,2663.70041971035,266.37004197103505
-0.040000000000000036,2562.042547993177,256.2042547993177
-0.03500000000000003,2464.137187415251,246.41371874152512
-0.030000000000000027,2369.9174658955953,236.99174658955954
-0.025000000000000022,2279.318027644461,227.9318027644461
-0.020000000000000018,2192.2749899764003,219.22749899764005
-0.015000000000000013,2108.7259016159996,210.8725901616
-0.010000000000000009,2028.609702435445,202.8609702435445
-0.0050000000000000044,1951.8666845659652,195.18666845659652
0.0,1878.4384548278947,187.84384548278948
0.0050000000000000044,1808.2678984266402,180.82678984266403
0.010000000000000009,1741.2991438643232,174.12991438643235
0.015000000000000013,1677.4775290190466,167.74775290190468
0.020000000000000018,1616.7495683461088,161.6749568346109
0.025000000000000022,1559.062921157331,155.9062921157331
0.030000000000000027,1504.366360936828,150.4366360936828
0.03499999999999992,1452.609745653276,145.2609745653276
0.039999999999999925,1403.7439890305761,140.37439890305762
0.04499999999999993,1357.7210327404607,135.7721032740461
0.04999999999999993,1314.4938194822087,131.44938194822086
0.05499999999999994,1274.016266916103,127.4016266916103
0.05999999999999994,1236.2432424187862,123.62432424187863
0.06499999999999995,1201.1305386299794,120.11305386299794
0.06999999999999995,1168.6348497613503,116.86348497613504
0.07499999999999996,1138.7137486395563,113.87137486395564
0.07999999999999996,1111.3256644567018,111.1325664456702
0.08499999999999996,1086.4298612025075,108.64298612025075
0.08999999999999997,1063.9864167536573,106.39864167536574
0.09499999999999997,1043.9562025966882,104.39562025966882
0.09999999999999998,1026.3008641619067,102.63008641619068
0.10499999999999998,1010.9828017465729,101.0982801746573
0.10999999999999999,997.965152006682,99.79651520066821
0.11499999999999999,987.2117699972832,98.72117699972833
0.12,978.6872117423086,97.86872117423087
0.125,972.3567173154883,97.23567173154883
0.13,968.1861944147297,96.81861944147298
0.135,966.1422024130508,96.61422024130508
0.14,966.1919368697835,96.61919368697835
0.1449999999999999,968.3032144864304,96.83032144864305
0.1499999999999999,972.444458492157,97.24444584921571
0.15499999999999992,978.5846844445177,97.85846844445177
0.15999999999999992,986.6934864315001,98.66934864315002
0.16499999999999992,996.7410236615834,99.67410236615835
0.16999999999999993,1008.698007428965,100.8698007428965
0.17499999999999993,1022.5356884416303,102.25356884416304
0.17999999999999994,1038.225844500379,103.82258445003791
0.18499999999999994,1055.7407685173855,105.57407685173855
0.18999999999999995,1075.053256863308,107.5053256863308
0.19499999999999995,1096.1365980323396,109.61365980323397
0.19999999999999996,1118.9645616150162,111.89645616150163
0.20499999999999996,1143.5113875689706,114.35113875689706
0.20999999999999996,1169.7517757781613,116.97517757781614
0.21499999999999997,1197.6608758914526,119.76608758914527
0.21999999999999997,1227.2142774318058,122.72142774318058
0.22499999999999998,1258.3880001675745,125.83880001675746
0.22999999999999998,1291.158484737758,129.1158484737758
0.235,1325.50258352335,132.55025835233502
0.24,1361.3975517571992,136.13975517571993
0.24499999999999988,1398.8210388650596,139.88210388650597
0.25,1437.7510800307482,143.77510800307482
0.2549999999999999,1478.166087978644,147.8166087978644
0.26,1520.0448449669143,152.00448449669145
0.2649999999999999,1563.3664949851477,156.3366494985148
0.27,1608.1105361502505,160.81105361502506
0.2749999999999999,1654.2568132947038,165.4256813294704
0.28,1701.785510741472,170.1785510741472
0.2849999999999999,1750.6771452600374,175.06771452600375
0.29000000000000004,1800.9125591982324,180.09125591982325
0.29499999999999993,1852.4729137847278,185.2472913784728
0.30000000000000004,1905.3396825972043,190.53396825972044
0.30499999999999994,1959.494645191374,195.94946451913742
0.30999999999999983,2014.9198808862527,201.49198808862528
0.31499999999999995,2071.597762701121,207.15977627011213
0.31999999999999984,2129.5109514398973,212.95109514398973
0.32499999999999996,2188.6423899186807,218.8642389918681
0.32999999999999985,2248.975297332396,224.89752973323962
0.33499999999999996,2310.4931637566497,231.04931637566497
0.33999999999999986,2373.179744780924,237.31797447809242
0.345,2437.0190562695257,243.70190562695257
0.34999999999999987,2501.9953692466056,250.19953692466058
0.355,2568.0932049019193,256.80932049019196
0.3599999999999999,2635.297329713896,263.5297329713896
0.365,2703.592750686859,270.3592750686859
0.3699999999999999,2772.96471069921,277.29647106992104
0.375,2843.398683959565,284.3398683959565
0.3799999999999999,2914.8803715679355,291.48803715679355
0.385,2987.3956971790594,298.73956971790597
0.3899999999999999,3060.930802765156,306.0930802765156
0.395,3135.4720444754466,313.5472044475447
0.3999999999999999,3211.0059885897954,321.10059885897954
0.405,3287.5194075640775,328.75194075640775
0.4099999999999999,3364.9992761646527,336.4999276164653
0.4149999999999998,3443.4327676898256,344.3432767689826
0.41999999999999993,3522.8072502757923,352.28072502757925
0.4249999999999998,3603.1102832849774,360.31102832849774
0.42999999999999994,3684.3296137745956,368.4329613774596
0.43499999999999983,3766.4531730432914,376.6453173043292
0.43999999999999995,3849.4690732539493,384.94690732539493
0.44499999999999984,3933.365604130543,393.3365604130543
0.44999999999999996,4018.131229727317,401.8131229727317
0.45499999999999985,4103.754585268277,410.37545852682774
0.45999999999999996,4190.224474055288,419.0224474055288
0.46499999999999986,4277.529864443031,427.75298644430313
0.47,4365.659886879114,436.56598868791144
0.47499999999999987,4454.603831007655,445.4603831007655
0.48,4544.351142834842,454.4351142834842
0.4849999999999999,4634.891421954791,463.4891421954792
0.49,4726.214418834346,472.62144188343467
0.4949999999999999,4818.310032155212,481.8310032155212
0.5,4911.168306212117,491.11683062121176
0.5049999999999999,5004.779428365547,500.4779428365547
0.51,5099.133726547755,509.9133726547755
0.5149999999999999,5194.221666820751,519.4221666820752
