k,a,delta_phi_matrix
0.0001039122303835,0.5413793103448276,0.00333820642257
0.0001039122303835,0.5741379310344827,0.0033368204768022
0.0001039122303835,0.6068965517241379,0.0033358224272447
0.0001039122303835,0.6396551724137931,0.003335103573291
0.0001039122303835,0.6724137931034483,0.0033345857444935
0.0001039122303835,0.7051724137931035,0.0033342126916064
0.0001039122303835,0.7379310344827585,0.0033339439245618
0.0001039122303835,0.7706896551724137,0.0033337502852584
0.0001039122303835,0.8034482758620689,0.0033336107727645
0.0001039122303835,0.8362068965517241,0.0033335102589482
0.0001039122303835,0.8689655172413793,0.0033334378449886
0.0001039122303835,0.9017241379310345,0.003333385678414
0.0001039122303835,0.9344827586206896,0.0033333481013334
0.0001039122303835,0.9672413793103448,0.0033333210369861
0.0001039122303835,1.0,0.0033333015478542
0.0001059253725177,0.05,0.0041779183593206
0.0001059253725177,0.0827586206896551,0.0039017254311817
0.0001059253725177,0.1155172413793103,0.0037242954502188
0.0001059253725177,0.1482758620689655,0.0036061165006606
0.0001059253725177,0.1810344827586206,0.0035254958980443
0.0001059253725177,0.2137931034482758,0.0034695955252409
0.0001059253725177,0.246551724137931,0.0034303971425482
0.0001059253725177,0.2793103448275861,0.0034026932318858
0.0001059253725177,0.3120689655172413,0.0033830040392064
0.0001059253725177,0.3448275862068965,0.003368955582204
0.0001059253725177,0.3775862068965517,0.0033589036100538
0.0001059253725177,0.4103448275862068,0.0033516967244509
0.0001059253725177,0.443103448275862,0.0033465222062897
0.0001059253725177,0.4758620689655172,0.0033428030777007
0.0001059253725177,0.5086206896551724,0.0033401280151367
0.0001059253725177,0.5413793103448276,0.0033382028971505
0.0001059253725177,0.5741379310344827,0.0033368169528464
0.0001059253725177,0.6068965517241379,0.0033358189043429
0.0001059253725177,0.6396551724137931,0.0033351000511484
0.0001059253725177,0.6724137931034483,0.0033345822228977
0.0001059253725177,0.7051724137931035,0.0033342091704046
0.0001059253725177,0.7379310344827585,0.0033339404036438
0.0001059253725177,0.7706896551724137,0.0033337467645449
0.0001059253725177,0.8034482758620689,0.0033336072521983
0.0001059253725177,0.8362068965517241,0.0033335067384881
