k,a,cs2_raw,delta_phi_raw
0.07216611620833883,0.9344827586206896,0.5940481912501813,7.3864125999994995e-09
0.07216611620833883,0.9672413793103447,0.5940481912501813,7.386352408267895e-09
0.07216611620833883,1.0,0.5940481912501813,7.386309008497389e-09
0.07356422544596414,0.05,0.5820671112069096,5.5628666656617596e-09
0.07356422544596414,0.08275862068965517,0.5820671112069096,5.1951179065998374e-09
0.07356422544596414,0.11551724137931034,0.5820671112069096,4.958870897419404e-09
0.07356422544596414,0.1482758620689655,0.5820671112069096,4.801516018901283e-09
0.07356422544596414,0.18103448275862066,0.5820671112069096,4.694169719724398e-09
0.07356422544596414,0.21379310344827585,0.5820671112069096,4.619738199767199e-09
0.07356422544596414,0.24655172413793103,0.5820671112069096,4.567545263721748e-09
0.07356422544596414,0.27931034482758615,0.5820671112069096,4.530657165916717e-09
0.07356422544596414,0.31206896551724134,0.5820671112069096,4.504440655446386e-09
0.07356422544596414,0.3448275862068965,0.5820671112069096,4.485734790298007e-09
0.07356422544596414,0.3775862068965517,0.5820671112069096,4.472350259228303e-09
0.07356422544596414,0.41034482758620683,0.5820671112069096,4.462753980921827e-09
0.07356422544596414,0.443103448275862,0.5820671112069096,4.455863823127385e-09
0.07356422544596414,0.4758620689655172,0.5820671112069096,4.450911541234997e-09
0.07356422544596414,0.5086206896551724,0.5820671112069096,4.447349451334098e-09
0.07356422544596414,0.5413793103448276,0.5820671112069096,4.4447859293750545e-09
0.07356422544596414,0.5741379310344827,0.5820671112069096,4.442940332566622e-09
0.07356422544596414,0.6068965517241379,0.5820671112069096,4.4416112325874365e-09
0.07356422544596414,0.6396551724137931,0.5820671112069096,4.440653892560086e-09
0.07356422544596414,0.6724137931034483,0.5820671112069096,4.439964226413065e-09
0.07356422544596414,0.7051724137931035,0.5820671112069096,4.439467337617903e-09
0.07356422544596414,0.7379310344827585,0.5820671112069096,4.439109310522197e-09
0.07356422544596414,0.7706896551724137,0.5820671112069096,4.438851321108956e-09
0.07356422544596414,0.8034482758620689,0.5820671112069096,4.438665406548009e-09
0.07356422544596414,0.8362068965517241,0.5820671112069096,4.438531423580469e-09
0.07356422544596414,0.8689655172413793,0.5820671112069096,4.438434860230547e-09
0.07356422544596414,0.9017241379310345,0.5820671112069096,4.438365260704221e-09
0.07356422544596414,0.9344827586206896,0.5820671112069096,4.438315091267838e-09
0.07356422544596414,0.9672413793103447,0.5820671112069096,4.438278923446397e-09
0.07356422544596414,1.0,0.5820671112069096,4.4382528456539196e-09
0.07498942093324558,0.05,0.5698732420854682,3.276640293111171e-09
0.07498942093324558,0.08275862068965517,0.5698732420854682,3.060028877985245e-09
0.07498942093324558,0.11551724137931034,0.5698732420854682,2.9208746374844743e-09
0.07498942093324558,0.1482758620689655,0.5698732420854682,2.828189448139766e-09
0.07498942093324558,0.18103448275862066,0.5698732420854682,2.7649603175090077e-09
0.07498942093324558,0.21379310344827585,0.5698732420854682,2.72111865364958e-09
0.07498942093324558,0.24655172413793103,0.5698732420854682,2.6903759628844352e-09
0.07498942093324558,0.27931034482758615,0.5698732420854682,2.6686481296160807e-09
0.07498942093324558,0.31206896551724134,0.5698732420854682,2.653206075915659e-09
0.07498942093324558,0.3448275862068965,0.5698732420854682,2.6421879433925885e-09
0.07498942093324558,0.3775862068965517,0.5698732420854682,2.6343041837133762e-09
0.07498942093324558,0.41034482758620683,0.5698732420854682,2.62865178116466e-09
0.07498942093324558,0.443103448275862,0.5698732420854682,2.6245933380973985e-09
0.07498942093324558,0.4758620689655172,0.5698732420854682,2.6216763429931595e-09
0.07498942093324558,0.5086206896551724,0.5698732420854682,2.619578199019163e-09
0.07498942093324558,0.5413793103448276,0.5698732420854682,2.618068231737728e-09
0.07498942093324558,0.5741379310344827,0.5698732420854682,2.6169811369031697e-09
0.07498942093324558,0.6068965517241379,0.5698732420854682,2.616198269184788e-09
0.07498942093324558,0.6396551724137931,0.5698732420854682,2.6156343756518458e-09
0.07498942093324558,0.6724137931034483,0.5698732420854682,2.6152281475153303e-09
0.07498942093324558,0.7051724137931035,0.5698732420854682,2.6149354692137408e-09
0.07498942093324558,0.7379310344827585,0.5698732420854682,2.6147245833432585e-09
0.07498942093324558,0.7706896551724137,0.5698732420854682,2.6145726217766256e-09
0.07498942093324558,0.8034482758620689,0.5698732420854682,2.6144631138439026e-09
0.07498942093324558,0.8362068965517241,0.5698732420854682,2.6143841947597797e-09
0.07498942093324558,0.8689655172413793,0.5698732420854682,2.6143273166778653e-09
0.07498942093324558,0.9017241379310345,0.5698732420854682,2.614286320924337e-09
0.07498942093324558,0.9344827586206896,0.5698732420854682,2.6142567699776532e-09
0.07498942093324558,0.9672413793103447,0.5698732420854682,2.6142354663559217e-09
0.07498942093324558,1.0,0.5698732420854682,2.6142201060553684e-09
0.07644222742526002,0.05,0.5574728851273559,1.8904528279752048e-09
0.07644222742526002,0.08275862068965517,0.5574728851273559,1.7654791865781551e-09
0.07644222742526002,0.11551724137931034,0.5574728851273559,1.6851943491351001e-09
0.07644222742526002,0.1482758620689655,0.5574728851273559,1.6317197630015882e-09
0.07644222742526002,0.18103448275862066,0.5574728851273559,1.5952398070033866e-09
0.07644222742526002,0.21379310344827585,0.5574728851273559,1.5699454217088218e-09
0.07644222742526002,0.24655172413793103,0.5574728851273559,1.552208469868149e-09
0.07644222742526002,0.27931034482758615,0.5574728851273559,1.5396726269495008e-09
0.07644222742526002,0.31206896551724134,0.5574728851273559,1.5307633554271219e-09
0.07644222742526002,0.3448275862068965,0.5574728851273559,1.524406458822349e-09
0.07644222742526002,0.3775862068965517,0.5574728851273559,1.5198579341085176e-09
0.07644222742526002,0.41034482758620683,0.5574728851273559,1.5165967876896896e-09
0.07644222742526002,0.443103448275862,0.5574728851273559,1.514255273924099e-09
0.07644222742526002,0.4758620689655172,0.5574728851273559,1.5125723169528274e-09
0.07644222742526002,0.5086206896551724,0.5574728851273559,1.511361795004894e-09
0.07644222742526002,0.5413793103448276,0.5574728851273559,1.5104906208007175e-09
