k,a,cs2_brut,delta_phi_brut
0.0001,0.45235294117647057,1.0,0.0033450872333540614
0.0001,0.456078431372549,1.0,0.0033446428660503895
0.0001,0.4598039215686274,1.0,0.0033442148407965026
0.0001,0.46352941176470586,1.0,0.0033438025516864802
0.0001,0.4672549019607843,1.0,0.003343405415553066
0.0001,0.4709803921568627,1.0,0.003343022871093914
0.0001,0.47470588235294114,1.0,0.0033426543780328633
0.0001,0.4784313725490196,1.0,0.0033422994163147383
0.0001,0.48215686274509806,1.0,0.0033419574863556433
0.0001,0.4858823529411765,1.0,0.0033416281059687413
0.0001,0.4896078431372549,1.0,0.003341310810430628
0.0001,0.49333333333333335,1.0,0.0033410051531811147
0.0001,0.4970588235294118,1.0,0.0033407107043099183
0.0001,0.5007843137254903,1.0,0.0033404270499247193
0.0001,0.5045098039215686,1.0,0.0033401537915440154
0.0001,0.5082352941176471,1.0,0.0033398905455137183
0.0001,0.5119607843137255,1.0,0.003339636942446537
0.0001,0.515686274509804,1.0,0.0033393926266831885
0.0001,0.5194117647058824,1.0,0.00333915725577455
0.0001,0.5231372549019608,1.0,0.0033389304999838997
0.0001,0.5268627450980392,1.0,0.0033387120418084198
0.0001,0.5305882352941177,1.0,0.0033385015755191833
0.0001,0.5343137254901961,1.0,0.0033382988067188844
0.0001,0.5380392156862746,1.0,0.0033381034519165804
0.0001,0.5417647058823529,1.0,0.0033379152381187776
0.0001,0.5454901960784314,1.0,0.003337733902436201
0.0001,0.5492156862745098,1.0,0.003337559191705614
0.0001,0.5529411764705883,1.0,0.003337390862126102
0.0001,0.5566666666666668,1.0,0.0033372286789092325
0.0001,0.5603921568627451,1.0,0.003337072415942555
0.0001,0.5641176470588236,1.0,0.0033369218554658987
0.0001,0.567843137254902,1.0,0.003336776787759978
0.0001,0.5715686274509805,1.0,0.0033366370108468134
0.0001,0.5752941176470588,1.0,0.0033365023302015066
0.0001,0.5790196078431373,1.0,0.0033363725584749267
0.0001,0.5827450980392157,1.0,0.003336247515226883
0.0001,0.5864705882352942,1.0,0.0033361270266693715
0.0001,0.5901960784313726,1.0,0.003336010925419506
0.0001,0.593921568627451,1.0,0.003335899050261761
0.0001,0.5976470588235294,1.0,0.0033357912459191638
0.0001,0.6013725490196079,1.0,0.0033356873628330856
0.0001,0.6050980392156863,1.0,0.0033355872569513084
0.0001,0.6088235294117648,1.0,0.0033354907895240477
0.0001,0.6125490196078431,1.0,0.0033353978269076152
0.0001,0.6162745098039216,1.0,0.0033353082403754404
0.0001,0.62,1.0,0.0033352219059361713
0.0001,0.6237254901960785,1.0,0.0033351387041585657
0.0001,0.627450980392157,1.0,0.0033350585200029354
0.0001,0.6311764705882353,1.0,0.0033349812426588772
0.0001,0.6349019607843138,1.0,0.0033349067653890663
0.0001,0.6386274509803922,1.0,0.003334834985378863
0.0001,0.6423529411764707,1.0,0.003334765803591535
0.0001,0.6460784313725491,1.0,0.003334699124628856
0.0001,0.6498039215686275,1.0,0.0033346348565969058
0.0001,0.6535294117647059,1.0,0.0033345729109768483
0.0001,0.6572549019607844,1.0,0.0033345132025005227
0.0001,0.6609803921568628,1.0,0.003334455649030644
0.0001,0.6647058823529413,1.0,0.0033344001714454624
0.0001,0.6684313725490196,1.0,0.0033343466935276908
0.0001,0.6721568627450981,1.0,0.0033342951418575614
0.0001,0.6758823529411765,1.0,0.003334245445709837
0.0001,0.679607843137255,1.0,0.003334197536954644
0.0001,0.6833333333333333,1.0,0.0033341513499619713
0.0001,0.6870588235294118,1.0,0.003334106821509714
0.0001,0.6907843137254902,1.0,0.003334063890695104
0.0001,0.6945098039215687,1.0,0.0033340224988494304
0.0001,0.6982352941176471,1.0,0.0033339825894559035
0.0001,0.7019607843137255,1.0,0.003333944108070558
0.0001,0.7056862745098039,1.0,0.0033339070022460732
0.0001,0.7094117647058824,1.0,0.0033338712214584115
0.0001,0.7131372549019608,1.0,0.003333836717036161
0.0001,0.7168627450980393,1.0,0.0033338034420005774
0.0001,0.7205882352941178,1.0,0.003333771350865601
0.0001,0.7243137254901961,1.0,0.003333740400664373
0.0001,0.7280392156862746,1.0,0.0033337105494902607
0.0001,0.731764705882353,1.0,0.003333681756973194
0.0001,0.7354901960784315,1.0,0.0033336539842232704
0.0001,0.7392156862745098,1.0,0.0033336271937764346
0.0001,0.7429411764705883,1.0,0.003333601349542158
0.0001,0.7466666666666667,1.0,0.003333576416753042
0.0001,0.7503921568627452,1.0,0.0033335523619162804
0.0001,0.7541176470588236,1.0,0.0033335291527669094
0.0001,0.757843137254902,1.0,0.003333506758222767
0.0001,0.7615686274509804,1.0,0.0033334851483411234
0.0001,0.7652941176470589,1.0,0.0033334642942768945
0.0001,0.7690196078431373,1.0,0.003333444168242396
0.0001,0.7727450980392158,1.0,0.0033334247434685786
0.0001,0.7764705882352941,1.0,0.0033334059941676863
0.0001,0.7801960784313726,1.0,0.0033333878954972867
0.0001,0.783921568627451,1.0,0.0033333704235256213
0.0001,0.7876470588235295,1.0,0.0033333535551982284
0.0001,0.7913725490196079,1.0,0.0033333372683057995
0.0001,0.7950980392156863,1.0,0.0033333215414532037
0.0001,0.7988235294117647,1.0,0.0033333063540296566
0.0001,0.8025490196078432,1.0,0.003333291686179988
0.0001,0.8062745098039216,1.0,0.0033332775187769528
0.0001,0.81,1.0,0.0033332638333945686
0.0001,0.8137254901960785,1.0,0.0033332506122824273
0.0001,0.8174509803921569,1.0,0.0033332378383409476
0.0001,0.8211764705882354,1.0,0.003333225495097541
0.0001,0.8249019607843138,1.0,0.0033332135666836456
0.0001,0.8286274509803923,1.0,0.0033332020378126046
0.0001,0.8323529411764706,1.0,0.0033331908937583605
0.0001,0.8360784313725491,1.0,0.0033331801203349224
0.0001,0.8398039215686275,1.0,0.003333169703876592
0.0001,0.843529411764706,1.0,0.003333159631218915
0.0001,0.8472549019607843,1.0,0.0033331498896803243
0.0001,0.8509803921568628,1.0,0.003333140467044465
0.0001,0.8547058823529412,1.0,0.003333131351543161
0.0001,0.8584313725490197,1.0,0.003333122531840007
0.0001,0.8621568627450981,1.0,0.0033331139970145633
0.0001,0.8658823529411765,1.0,0.0033331057365471282
0.0001,0.8696078431372549,1.0,0.0033330977403040717
0.0001,0.8733333333333334,1.0,0.003333089998523698
0.0001,0.8770588235294118,1.0,0.003333082501802641
0.0001,0.8807843137254903,1.0,0.0033330752410827393
0.0001,0.8845098039215686,1.0,0.003333068207638409
0.0001,0.8882352941176471,1.0,0.0033330613930644664
0.0001,0.8919607843137255,1.0,0.003333054789264408
0.0001,0.895686274509804,1.0,0.0033330483884391076
0.0001,0.8994117647058824,1.0,0.0033330421830759394
0.0001,0.9031372549019608,1.0,0.0033330361659382876
0.0001,0.9068627450980392,1.0,0.0033330303300554516
0.0001,0.9105882352941177,1.0,0.0033330246687129114
