k,d_delta_phi_dk
0.0003758374042884443,-3.1309270681739475e-05
0.0003831186849557289,-3.1915399298413224e-05
0.0003905410294116381,-3.253324461490897e-05
0.00039810717055349735,-3.316303206329127e-05
0.0004058198942243799,-3.38049913623438e-05
0.00041368204023885073,-3.44593565983566e-05
0.00042169650342858224,-3.512636628040458e-05
0.0004298662347082277,-3.58062634229746e-05
0.00043819424216194364,-3.6499295643395396e-05
0.00044668359215096305,-3.720571523559347e-05
0.00045533741044262487,-3.792577923203292e-05
0.00046415888336127773,-3.865974951056648e-05
0.0004731512589614803,-3.94078929061134e-05
0.00048231784822393094,-4.01704812481585e-05
0.000491662026274564,-4.094779145833029e-05
0.0005011872336272725,-4.174010568304081e-05
0.0005108969774506929,-4.254771132972655e-05
0.0005207948328595465,-4.337090117181734e-05
0.0005308844442309885,-4.42099734699833e-05
0.0005411695265464637,-4.506523204523512e-05
0.000551653866759558,-4.5936986350216213e-05
0.0005623413251903491,-4.6825551619690775e-05
0.0005732358369467713,-4.773124893928251e-05
0.0005843414133735175,-4.865440530838724e-05
0.0005956621435290103,-4.9595353797428056e-05
0.0006072021956909884,-5.055443362089215e-05
0.0006189658188912603,-5.153199022774524e-05
0.000630957344480193,-5.2528375442488075e-05
0.0006431811877215091,-5.354394752878808e-05
0.0006556418494179785,-5.45790712807608e-05
0.0006683439175686149,-5.5634118183032354e-05
0.0006812920690579615,-5.670946648121748e-05
0.0006944910713781214,-5.780550127660564e-05
0.000707945784384138,-5.8922614662707955e-05
0.0007216611620833883,-6.006120581168534e-05
0.0007356422544596414,-6.122168107310555e-05
0.0007498942093324559,-6.240445410818498e-05
0.0007644222742526002,-6.36099459847762e-05
0.000779231798434194,-6.483858526041254e-05
0.0007943282347242813,-6.609080812108081e-05
0.0008097171416105618,-6.736705849600246e-05
0.0008254041852680181,-6.866778813934328e-05
0.0008413951416451947,-6.999345673628212e-05
0.0008576958985908946,-7.134453202668165e-05
0.0008743124580220731,-7.272148989540518e-05
0.0008912509381337459,-7.412481447965124e-05
0.0009085175756516871,-7.55549982939279e-05
0.0009261187281287938,-7.701254230291227e-05
0.0009440608762859235,-7.849795602020762e-05
0.0009623506263980887,-8.00117576349722e-05
0.0009809947127268773,-8.155447408172586e-05
0.001,-8.312664114285001e-05
0.0010193734859388728,-8.472880356062767e-05
0.001039122303835169,-8.636151509436181e-05
0.0010592537251772887,-8.802533861361025e-05
0.0010797751623277093,-8.972084619663876e-05
0.0011006941712522103,-9.144861918319611e-05
0.001122018454301963,-9.320924826667598e-05
0.001143755863049539,-9.500333357441245e-05
0.0011659144011798312,-9.683148470059018e-05
0.001188502227437019,-9.86943207697518e-05
0.0012115276586285877,-0.00010059247051109565
0.0012349991726875852,-0.00010252657228723052
0.0012589254117941675,-0.00010449727412592014
0.0012833151855576512,-0.00010650523376727557
0.0013081774742601943,-0.0001085511186740512
0.001333521432163324,-0.00011063560603711917
0.0013593563908785254,-0.00011275938279102577
0.0013856918628031274,-0.00011492314560449108
0.001412537544622754,-0.00011712760084177582
0.0014399033208816327,-0.00011937346454481474
0.0014677992676220704,-0.00012166146239573069
0.0014962356560944327,-0.00012399232963540506
0.0015252229565390198,-0.00012636681099601063
0.0015547718420411726,-0.00012878566061086402
0.001584893192461114,-0.00013124964189972917
0.001615598098439873,-0.00013375952744380348
0.0016468978654828688,-0.00013631609883372973
0.0016788040181225606,-0.0001389201464984035
0.001711328304161781,-0.00014157246950989783
0.0017444826989992542,-0.0001442738753638123
0.0017782794100389228,-0.00014702517973737094
0.0018127308811846986,-0.00014982720621551092
0.0018478497974222907,-0.00015268078598614957
0.0018836490894898002,-0.00015558675750801265
0.001920141938638801,-0.000158545966138728
0.0019573417814876615,-0.00016155926372791554
0.001995262314968879,-0.00016462750818338224
0.002033917501372293,-0.00016775156298549866
0.002073321573485954,-0.00017093229665687175
0.0021134890398366475,-0.00017417058219479375
0.002154434690031882,-0.00017746729644717638
0.0021961736002054366,-0.00018082331943870372
0.00223872113856834,-0.00018423953365615252
0.0022820929710674507,-0.0001877168232540158
0.0023263050671536263,-0.00019125607320869925
0.0023713737056616554,-0.00019485816841925368
0.0024173154808041037,-0.0001985239927173166
0.0024641473082812814,-0.00020225442781694297
0.0025118864315095794,-0.00020605035219746045
0.0025605504279704754,-0.00020991263988819541
0.0026101572156825388,-0.00021384215917329483
0.0026607250597988083,-0.0002178397712109485
0.0027122725793320298,-0.0002219063285507693
0.0027648187540101057,-0.0002260426735550152
0.002818382931264455,-0.00023024963671579779
0.002872984833353663,-0.00023452803485772374
0.0029286445646252374,-0.0002388786692201073
0.0029853826189179603,-0.0002433023234165141
0.003043219887107722,-0.00024779976127024106
0.0031021776647995013,-0.00025237172450992833
0.0031622776601683794,-0.00025701893031577605
0.0032235420019524627,-0.00026174206871969083
0.003285993247600654,-0.0002665417998514456
0.003349654391578276,-0.0002714187510077107
0.003414548873833601,-0.0002763735135520672
0.003480700588428413,-0.000281406639638532
0.0035481338923357532,-0.0002865186387336602
0.003616873614408161,-0.0002917099739398725
0.0036869450645195733,-0.0002969810581162558
0.003758374042884443,-0.0003023322497799553
0.003831186849557285,-0.00030776384877177787
0.003905410294116381,-0.00031327609169052434
0.003981071705534973,-0.0003188691470831733
0.004058198942243799,-0.00032454311036766027
0.004136820402388507,-0.0003302979984915105
0.004216965034285823,-0.00033613374432314475
0.004298662347082277,-0.000342050190738517
0.004381942421619436,-0.0003480470844165759
0.0044668359215096305,-0.00035412406933262844
0.004553374104426249,-0.0003602806799214307
0.004641588833612782,-0.0003665163339153341
0.0047315125896148025,-0.000372830324848744
0.004823178482239309,-0.0003792218142096216
0.00491662026274564,-0.00038568982323429707
0.005011872336272725,-0.00039223322434313405
0.005108969774506924,-0.00039885073219671045
