k,a,cs2_matrice
0.0001,0.5827450980392157,1.0
0.0001,0.5864705882352942,1.0
0.0001,0.5901960784313726,1.0
0.0001,0.593921568627451,1.0
0.0001,0.5976470588235294,1.0
0.0001,0.6013725490196079,1.0
0.0001,0.6050980392156863,1.0
0.0001,0.6088235294117648,1.0
0.0001,0.6125490196078431,1.0
0.0001,0.6162745098039216,1.0
0.0001,0.62,1.0
0.0001,0.6237254901960785,1.0
0.0001,0.627450980392157,1.0
0.0001,0.6311764705882353,1.0
0.0001,0.6349019607843138,1.0
0.0001,0.6386274509803922,1.0
0.0001,0.6423529411764707,1.0
0.0001,0.6460784313725491,1.0
0.0001,0.6498039215686275,1.0
0.0001,0.6535294117647059,1.0
0.0001,0.6572549019607844,1.0
0.0001,0.6609803921568628,1.0
0.0001,0.6647058823529413,1.0
0.0001,0.6684313725490196,1.0
0.0001,0.6721568627450981,1.0
0.0001,0.6758823529411765,1.0
0.0001,0.679607843137255,1.0
0.0001,0.6833333333333333,1.0
0.0001,0.6870588235294118,1.0
0.0001,0.6907843137254902,1.0
0.0001,0.6945098039215687,1.0
0.0001,0.6982352941176471,1.0
0.0001,0.7019607843137255,1.0
0.0001,0.7056862745098039,1.0
0.0001,0.7094117647058824,1.0
0.0001,0.7131372549019608,1.0
0.0001,0.7168627450980393,1.0
0.0001,0.7205882352941178,1.0
0.0001,0.7243137254901961,1.0
0.0001,0.7280392156862746,1.0
0.0001,0.731764705882353,1.0
0.0001,0.7354901960784315,1.0
0.0001,0.7392156862745098,1.0
0.0001,0.7429411764705883,1.0
0.0001,0.7466666666666667,1.0
0.0001,0.7503921568627452,1.0
0.0001,0.7541176470588236,1.0
0.0001,0.757843137254902,1.0
0.0001,0.7615686274509804,1.0
0.0001,0.7652941176470589,1.0
0.0001,0.7690196078431373,1.0
0.0001,0.7727450980392158,1.0
0.0001,0.7764705882352941,1.0
0.0001,0.7801960784313726,1.0
0.0001,0.783921568627451,1.0
0.0001,0.7876470588235295,1.0
0.0001,0.7913725490196079,1.0
0.0001,0.7950980392156863,1.0
0.0001,0.7988235294117647,1.0
0.0001,0.8025490196078432,1.0
0.0001,0.8062745098039216,1.0
0.0001,0.81,1.0
0.0001,0.8137254901960785,1.0
0.0001,0.8174509803921569,1.0
0.0001,0.8211764705882354,1.0
0.0001,0.8249019607843138,1.0
