T_Gyr,DH_calc,Yp_calc
3.7127125487338323e-06,2.5310471650099517e-05,0.2517710960606215
3.799145360611369e-06,2.5310416951415427e-05,0.251776126861827
3.887590348457544e-06,2.5310362443621106e-05,0.25178115776355614
3.978094356197039e-06,2.531030812638213e-05,0.2517861887658111
4.0707053182919975e-06,2.5310253999364022e-05,0.2517912198685937
4.165472285129972e-06,2.531020006223222e-05,0.25179625107190606
4.262445449002969e-06,2.5310146314652265e-05,0.2518012823757501
4.361676170691224e-06,2.531009275628976e-05,0.25180631378012797
4.4632170066658864e-06,2.531003938681026e-05,0.25181134528504145
4.567121736924989e-06,2.5309986205879278e-05,0.25181637689049274
4.673445393477401e-06,2.5309933213162336e-05,0.2518214085964839
4.782244289489992e-06,2.5309880408325116e-05,0.2518264404030167
4.893576049113257e-06,2.5309827791033044e-05,0.25183147231009334
5.007499638001287e-06,2.530977536095177e-05,0.25183650431771576
5.124075394542354e-06,2.530972311774699e-05,0.251841536425886
5.243365061816431e-06,2.530967106108416e-05,0.251846568634606
5.3654318202967615e-06,2.530961919062884e-05,0.2518516009438779
5.490340321312714e-06,2.530956750604675e-05,0.25185663335370356
5.6181567212916104e-06,2.5309516007003522e-05,0.2518616658640851
5.748948716797827e-06,2.5309464693164632e-05,0.2518666984750244
5.882785580387509e-06,2.5309413564195874e-05,0.2518717311865236
6.0197381972979876e-06,2.5309362619762845e-05,0.2518767639985848
6.159879102991446e-06,2.5309311859531042e-05,0.2518817969112097
6.303282521572492e-06,2.530926128316628e-05,0.25188682992440053
6.450024405100167e-06,2.530921089033423e-05,0.2518918630381593
6.600182473815079e-06,2.5309160680700405e-05,0.25189689625248796
6.7538362573031575e-06,2.5309110653930593e-05,0.2519019295673885
6.911067136617581e-06,2.5309060809690428e-05,0.2519069629828629
7.071958387381394e-06,2.5309011147645552e-05,0.2519119964989134
7.236595223893475e-06,2.5308961667461716e-05,0.25191703011554173
7.4050648442614515e-06,2.5308912368804573e-05,0.25192206383275
7.577456476585162e-06,2.5308863251339893e-05,0.25192709765054033
7.753861426215389e-06,2.5308814314733288e-05,0.25193213156891453
7.934373124112674e-06,2.530876555865059e-05,0.2519371655878747
8.119087176332101e-06,2.530871698275743e-05,0.25194219970742293
8.308101414659948e-06,2.5308668586719536e-05,0.2519472339275612
8.501515948429253e-06,2.5308620370202666e-05,0.25195226824829137
8.69943321754156e-06,2.5308572332872514e-05,0.2519573026696156
8.90195804672321e-06,2.530852447439489e-05,0.25196233719153593
9.109197701044545e-06,2.530847679443556e-05,0.2519673718140542
9.321261942731712e-06,2.530842929266019e-05,0.25197240653717257
9.538263089300966e-06,2.530838196873466e-05,0.25197744136089295
9.760316073046523e-06,2.530833482232465e-05,0.25198247628521747
9.987538501913135e-06,2.5308287853096e-05,0.251987511310148
1.0220050721785882e-05,2.5308241060714507e-05,0.2519925464356867
1.0457975880229988e-05,2.530819444484587e-05,0.2519975816618355
1.0701439991714707e-05,2.5308148005155897e-05,0.25200261698859633
1.0950572004355435e-05,2.530810174131045e-05,0.25200765241597134
1.1205503868209709e-05,2.5308055652975354e-05,0.2520126879439625
1.146637060516304e-05,2.5308009739816327e-05,0.2520177235725718
1.173331038044192e-05,2.5307964001499256e-05,0.2520227593018012
1.2006464575791445e-05,2.530791843768998e-05,0.25202779513165274
1.2285977864356568e-05,2.5307873048054342e-05,0.2520328310621286
1.257199828730678e-05,2.5307827832258137e-05,0.2520378670932305
1.2864677332244416e-05,2.530778278996723e-05,0.25204290322496065
1.3164170013438438e-05,2.5307737920847474e-05,0.252047939457321
1.347063495392608e-05,2.530769322456469e-05,0.2520529757903136
1.3784234469525698e-05,2.5307648700784753e-05,0.2520580122239404
1.4105134654805748e-05,2.530760434917354e-05,0.25206304875820346
1.4433505471054885e-05,2.530756016939694e-05,0.25206808539310477
1.4769520836300014e-05,2.530751616112089e-05,0.25207312212864635
1.511335871742025e-05,2.530747232401109e-05,0.25207815896483016
1.5465201224405037e-05,2.530742865773364e-05,0.25208319590165823
1.5825234706806736e-05,2.5307385161954302e-05,0.2520882329391327
1.619364985243867e-05,2.530734183633909e-05,0.2520932700772554
1.657064178837072e-05,2.5307298680553773e-05,0.2520983073160284
1.6956410184276463e-05,2.5307255694264373e-05,0.2521033446554538
1.735115935818591e-05,2.5307212877136776e-05,0.2521083820955335
1.775509838470024e-05,2.530717022883697e-05,0.25211341963626954
1.8168441205726115e-05,2.5307127749030694e-05,0.2521184572776639
1.85914067437875e-05,2.53070854373841e-05,0.25212349501971876
1.902421901797566e-05,2.5307043293563037e-05,0.2521285328624359
1.946710726259845e-05,2.5307001317233466e-05,0.25213357080581744
1.9920306048591637e-05,2.5306959508061303e-05,0.25213860884986544
2.0384055407757053e-05,2.5306917865712622e-05,0.25214364699458186
2.0858600959892726e-05,2.5306876389853244e-05,0.25214868523996864
2.1344194042882596e-05,2.53068350801492e-05,0.2521537235860279
2.1841091845815146e-05,2.5306793936266483e-05,0.25215876203276166
2.2349557545200616e-05,2.530675295787108e-05,0.2521638005801718
2.2869860444359647e-05,2.5306712144628937e-05,0.25216883922826044
2.3402276116056872e-05,2.5306671496206063e-05,0.2521738779770296
2.394708654845486e-05,2.5306631012268463e-05,0.25217891682648125
2.4504580294466353e-05,2.53065906924821e-05,0.2521839557766174
2.5075052624583022e-05,2.5306550536513097e-05,0.25218899482744006
2.565880568326214e-05,2.5306510544027378e-05,0.2521940339789513
2.6256148648954376e-05,2.5306470714690968e-05,0.25219907323115304
2.6867397897856623e-05,2.5306431048169853e-05,0.25220411258404735
2.749287717147723e-05,2.5306391544130077e-05,0.2522091520376363
2.8132917748102236e-05,2.5306352202237733e-05,0.25221419159192177
2.8787858618253083e-05,2.5306313022158874e-05,0.2522192312469058
2.9458046664229587e-05,2.5306274003559454e-05,0.2522242710025905
3.0143836843832196e-05,2.530623514610553e-05,0.2522293108589778
3.0845592378361364e-05,2.5306196449463225e-05,0.2522343508160697
3.15636849449941e-05,2.530615791329861e-05,0.25223939087386826
3.229849487363849e-05,2.530611953727776e-05,0.2522444310323755
3.305041134837138e-05,2.5306081321066547e-05,0.2522494712915935
3.381983261356553e-05,2.530604326433127e-05,0.252254511651524
3.460716618481513e-05,2.530600536673792e-05,0.25225955211216927
3.541282906477242e-05,2.5305967627952583e-05,0.2522645926735313
3.623724796400842e-05,2.5305930047641368e-05,0.252269633335612
3.7080859527015274e-05,2.530589262547038e-05,0.2522746740984134
3.7944110563470706e-05,2.530585536110568e-05,0.2522797149619376
3.8827458284885626e-05,2.530581825421339e-05,0.25228475592618654
3.9731370546761274e-05,2.530578130445962e-05,0.2522897969911622
4.0656326096383896e-05,2.5305744511510557e-05,0.25229483815686665
4.160281482638768e-05,2.530570787503222e-05,0.252299879423302
4.2571338034221657e-05,2.5305671394690707e-05,0.25230492079047007
4.356240868765574e-05,2.530563507015225e-05,0.25230996225837293
4.457655169646913e-05,2.5305598901082948e-05,0.25231500382701266
4.561430419046272e-05,2.53055628871489e-05,0.2523200454963913
4.667621580394413e-05,2.530552702801631e-05,0.2523250872665107
4.776284896683562e-05,2.530549132335124e-05,0.252330129137373
4.8874779202558616e-05,2.5305455772819953e-05,0.25233517110898024
5.0012595432853944e-05,2.5305420376088515e-05,0.2523402131813343
5.11769002896976e-05,2.530538513282321e-05,0.2523452553544373
5.236831043447786e-05,2.5305350042690105e-05,0.25235029762829125
5.3587456884603894e-05,2.5305315105355334e-05,0.25235534000289817
5.483498534771686e-05,2.530528032048514e-05,0.2523603824782599
5.611155656368202e-05,2.5305245687745714e-05,0.2523654250543787
5.741784665454253e-05,2.53052112068032e-05,0.2523704677312565
5.875454748261966e-05,2.5305176877323798e-05,0.25237551050889523
6.0122367016950825e-05,2.530514269897377e-05,0.252380553387297
6.152202970825735e-05,2.530510867141917e-05,0.25238559636646374
6.295427687264151e-05,2.5305074794326317e-05,0.25239063944639756
6.441986708421729e-05,2.5305041067361482e-05,0.2523956826271004
6.591957657688039e-05,2.530500749019068e-05,0.25240072590857426
6.74541996554322e-05,2.5304974062480296e-05,0.25240576929082126
6.90245491162748e-05,2.530494078389646e-05,0.2524108127738433
7.06314566778992e-05,2.5304907654105413e-05,0.25241585635764247
7.227577342139679e-05,2.5304874672773446e-05,0.2524209000422207
7.395837024122479e-05,2.5304841839566698e-05,0.25242594382758016
