kernel,k_c,q0_lss,q0_gw,s8_lss,s8_gw,target_error,ligo_impact,score
lorentzian,0.046415888336127774,-0.001999990721506989,-1.000430671401752e-06,0.7725255500625317,0.8299699084781063,0.002525550062531634,4.30671401751972e-10,0.0025255543692456516
lorentzian,0.051089697745069246,-0.001999992341486829,-1.0005217702912247e-06,0.7725255056028589,0.8299699057383744,0.002525505602858913,5.217702912247726e-10,0.002525510820561825
lorentzian,0.05623413251903491,-0.0019999936786269474,-1.0006321391043676e-06,0.7725254689056071,0.8299699024191143,0.00252546890560712,6.321391043676443e-10,0.002525475226998164
lorentzian,0.061896581889126036,-0.0019999947823093446,-1.0007658539578136e-06,0.7725254386155067,0.82996989839774,0.002525438615506692,7.658539578135983e-10,0.0025254462740462703
lorentzian,0.06812920690579609,-0.0019999956932943335,-1.000927853177168e-06,0.7725254136139068,0.8299698935257338,0.0025254136139067906,9.27853177167942e-10,0.002525422892438562
lorentzian,0.07498942093324558,-0.0019999964452257807,-1.0011241196769165e-06,0.7725253929774654,0.8299698876231665,0.002525392977465346,1.1241196769165563e-09,0.002525404218662115
lorentzian,0.08254041852680181,-0.0019999970658735704,-1.001361901918194e-06,0.7725253759440484,0.829969880472045,0.002525375944048336,1.3619019181939528e-09,0.002525389563067518
lorentzian,0.09085175756516861,-0.0019999975781591446,-1.001649981604449e-06,0.7725253618845881,0.8299698718082678,0.002525361884588073,1.649981604449119e-09,0.002525378384404118
lorentzian,0.1,-0.001999998001001999,-1.001998998001002e-06,0.7725253502798457,0.8299698613118663,0.002525350279845684,1.9989980010019436e-09,0.0025253702698256938
lorentzian,0.11006941712522092,-0.0019999983500183956,-1.0024218408554713e-06,0.7725253407012381,0.829969848595195,0.00252534070123811,2.4218408554712967e-09,0.002525364919646665
lorentzian,0.12115276586285877,-0.001999998638098082,-1.002934126429268e-06,0.7725253327950138,0.8299698331886061,0.0025253327950137683,2.9341264292679585e-09,0.002525362136278061
lorentzian,0.1333521432163324,-0.001999998875880323,-1.0035547742192859e-06,0.772525326269181,0.8299698145231157,0.0025253262691810052,3.554774219285933e-09,0.002525361816923198
lorentzian,0.1467799267622069,-0.001999999072146823,-1.0043067056668575e-06,0.7725253208827304,0.8299697919093835,0.0025253208827303864,4.30670566685758e-09,0.002525363949787055
lorentzian,0.1615598098439873,-0.001999999234146042,-1.0052176906551564e-06,0.772525316436731,0.8299697645122571,0.002525316436730929,5.217690655156454e-09,0.0025253686136374803
lorentzian,0.1778279410038923,-0.001999999367860896,-1.0063213730527398e-06,0.7725253127669839,0.8299697313199363,0.002525312766983867,6.321373052739842e-09,0.0025253759807143945
lorentzian,0.19573417814876595,-0.001999999478229709,-1.00765851317107e-06,0.7725253097379583,0.8299696911066016,0.002525309737958281,7.658513171070066e-09,0.002525386323089992
lorentzian,0.21544346900318823,-0.0019999995693285983,-1.0092784930114424e-06,0.7725253072377885,0.8299696423871525,0.0025253072377884322,9.278493011442436e-09,0.002525400022718547
lorentzian,0.23713737056616552,-0.0019999996445220092,-1.01124113987698e-06,0.7725253051741371,0.8299695833623658,0.0025253051741370713,1.1241139876980051e-08,0.002525417585535841
lorentzian,0.2610157215682536,-0.0019999997065869696,-1.01361893567574e-06,0.7725253034707907,0.8299695118524595,0.0025253034707907185,1.361893567573995e-08,0.0025254396601474757
lorentzian,0.2872984833353663,-0.0019999997578156506,-1.0164996934743471e-06,0.7725253020648412,0.8299694252166075,0.0025253020648411395,1.6499693474347153e-08,0.002525467061775883
lorentzian,0.31622776601683794,-0.00199999980010002,-1.0199898001019989e-06,0.7725253009043649,0.8299693202554316,0.002525300904364869,1.9989800101998938e-08,0.002525500802365889
lorentzian,0.3480700588428409,-0.001999999835001717,-1.0242181444864665e-06,0.7725252999465028,0.8299691930928841,0.002525299946502746,2.4218144486466564e-08,0.0025255421279476104
lorentzian,0.3831186849557285,-0.001999999863809725,-1.0293408766945919e-06,0.7725252991558793,0.8299690390331526,0.0025252991558792903,2.9340876694591923e-08,0.002525592564646236
lorentzian,0.4216965034285822,-0.0019999998875879755,-1.0355471732786148e-06,0.7725252985032958,0.829968852387324,0.0025252985032957476,3.55471732786148e-08,0.0025256539750285337
lorentzian,0.46415888336127775,-0.001999999907214644,-1.043066221620119e-06,0.7725252979646496,0.8299686262634046,0.00252529796464962,4.306622162011899e-08,0.002525728626865821
lorentzian,0.5108969774506924,-0.0019999999234145776,-1.0521756808741947e-06,0.7725252975200496,0.829968352311987,0.0025252975200495964,5.2175680874194734e-08,0.0025258192768583382
lorentzian,0.5623413251903491,-0.0019999999367860716,-1.0632119314899779e-06,0.7725252971530743,0.8299680204181777,0.0025252971530742574,6.321193148997792e-08,0.0025259292723891573
lorentzian,0.6189658188912603,-0.0019999999478229583,-1.0765824911043217e-06,0.7725252968501719,0.8299676183284702,0.0025252968501718875,7.65824911043218e-08,0.002526062675082931
lorentzian,0.6812920690579608,-0.0019999999569328512,-1.0927810542688646e-06,0.772525296600155,0.8299671311988168,0.0025252966001549915,9.278105426886464e-08,0.00252622441069768
lorentzian,0.7498942093324559,-0.0019999999644521953,-1.112405709867966e-06,0.7725252963937894,0.8299665410471497,0.0025252963937894,1.1240570986796613e-07,0.00252642045088808
lorentzian,0.8254041852680182,-0.0019999999706586933,-1.1361810067007041e-06,0.7725252962234548,0.829965826089571,0.002525296223454765,1.3618100670070418e-07,0.002526658033521772
lorentzian,0.9085175756516861,-0.0019999999757815625,-1.1649846787306436e-06,0.7725252960828597,0.8299649599328544,0.0025252960828596738,1.6498467873064365e-07,0.00252694592964698
