a,D_gr,D_lss_step,D_gw_step,growth_delta_lss_percent,growth_delta_gw_percent
0.0918796992481203,0.09184963456467224,0.08604465190087071,0.09184660376754608,-6.320093369249261,-0.0032997378166200776
0.0943609022556391,0.09432745840995939,0.08835432532347144,0.09432433967491921,-6.332337568693874,-0.0033062854578605016
0.0968421052631579,0.09680500538878616,0.09066359321510023,0.09680179861606074,-6.344106019126717,-0.003312610450810945
0.09932330827067669,0.09928226080685972,0.09297244757320566,0.09927896594322025,-6.355428635865721,-0.003318683128979224
0.1018045112781955,0.10175920959905979,0.09528087971859193,0.1017558266237991,-6.366332743732037,-0.0033244905046109236
0.10428571428571429,0.10423583637065677,0.09758888029939843,0.10423236523935768,-6.3768434184402185,-0.003330074780370598
0.10676691729323308,0.10671212535503329,0.09989643930880115,0.10670856598589874,-6.386983694267369,-0.0033354870617565615
0.10924812030075189,0.10918806040340104,0.10220354613921676,0.10918441270244598,-6.396774737438899,-0.0033407507575249325
0.11172932330827068,0.1116636249848008,0.10451018959648767,0.11165988889706796,-6.406236040865437,-0.0033458413456912287
0.11421052631578947,0.11413880218993762,0.10681635792934407,0.11413497770467372,-6.415385583255301,-0.0033507319075713644
0.11669172932330828,0.11661357477644012,0.10912203883017785,0.11660966188222861,-6.424240025763977,-0.0033554362937647797
0.11917293233082707,0.11908792515786817,0.11142721943545263,0.11908392380875422,-6.432814840178113,-0.003359995657532194
0.12165413533834586,0.12156183537480227,0.11373188636622615,0.12155774549001663,-6.441124374631754,-0.0033644480383357234
0.12413533834586467,0.1240352870944015,0.11603602575801537,0.1240311086047676,-6.449181941505079,-0.0033687910366315787
0.12661654135338346,0.12650826161040352,0.11833962326174195,0.12650399448988517,-6.456999918169619,-0.0033729975133866153
0.12909774436090227,0.12898073985447145,0.12064266405433272,0.12897638411444037,-6.464589836859796,-0.003377046864508768
0.13157894736842107,0.13145270244284815,0.12294513283871954,0.1314482580794767,-6.471962497558741,-0.0033809600631043895
0.13406015037593985,0.13392412964365724,0.12524701384383935,0.13391959661801012,-6.479128012932244,-0.003384771406904574
0.13654135338345866,0.13639500136259095,0.12754829083159916,0.13639037960300826,-6.486095855869226,-0.0033885109692534136
0.13902255639097746,0.13886529714295065,0.12984894716271225,0.13886058659507122,-6.492874869202772,-0.0033921706692336844
0.14150375939849627,0.14133499616564707,0.13214896578076707,0.14133019681719997,-6.499473332219724,-0.0033957254588802333
0.14398496240601505,0.14380407726059657,0.13444832921110073,0.14379918913674913,-6.505899017412211,-0.0033991552538407297
0.14646616541353386,0.14627251895339977,0.13674701956444685,0.14626754206549947,-6.51215926074781,-0.0034024763748577215
