f_Hz,abs_dphi,phi_ref
128.82495516931348,0.00953440917950843,87.09394235619234
131.82567385564073,0.010899781348314264,87.24995443405118
134.89628825916532,0.012061142212274945,87.40302555435716
138.03842646028852,0.012979125370662814,87.55318132635963
141.25375446227554,0.013612833073011643,87.7004444915741
144.5439770745928,0.013928381198539341,87.84482727921407
147.91083881682073,0.01388884773466259,87.98634235573063
151.3561248436207,0.013482324995749195,88.1249756676728
154.88166189124811,0.01269988972791225,88.26070936309046
158.48931924611142,0.011528280067693686,88.39353000166474
162.181009735893,0.009948291262602993,88.52343104100781
165.95869074375597,0.007962533866646027,88.65038595490037
169.82436524617444,0.005579825519845372,88.77436471142028
173.78008287493762,0.002833257727516525,88.895316569038
177.82794100389228,0.0002288290515934932,89.01317995670226
181.97008586099827,0.003540004923721085,89.12788047999187
