T_Gyr,I1,I2,I3
1.8620871366627515e-05,33070.432168966065,3.4673685045248846e-45,1.0
1.9054607179631275e-05,32511.03337704631,3.630780547700557e-45,1.0
1.949844599757922e-05,31959.769682729057,3.801893963205131e-45,1.0
1.9952623149687522e-05,31416.55109044047,3.9810717055344644e-45,1.0
2.041737944669398e-05,30881.288008680633,4.1686938347028175e-45,1.0
2.089296130853904e-05,30353.891261723675,4.3651583224010934e-45,1.0
2.1379620895020924e-05,29834.272100961844,4.570881896148153e-45,1.0
2.1877616239494086e-05,29322.342215897097,4.786300923225753e-45,1.0
2.2387211385681912e-05,28818.013744784297,5.011872336272059e-45,1.0
2.29086765276762e-05,28321.199284929688,5.248074602497025e-45,1.0
2.3442288153197646e-05,27831.811902648697,5.495408738575507e-45,1.0
2.398832919019328e-05,27349.765142887107,5.754399373370791e-45,1.0
2.454708915684863e-05,26874.973038509466,6.025595860742755e-45,1.0
2.5118864315094074e-05,26407.350119258997,6.309573444801064e-45,1.0
2.570395782768686e-05,25946.811420392976,6.606934480075047e-45,1.0
2.6302679918951985e-05,25493.272490997817,6.918309709188399e-45,1.0
2.691534803926727e-05,25046.64940198795,7.244359600748884e-45,1.0
2.754228703337972e-05,24606.858753792865,7.585775750290766e-45,1.0
2.8183829312642533e-05,24173.817683736313,7.943282347241684e-45,1.0
2.8840315031263993e-05,23747.443873112203,8.317637711025518e-45,1.0
2.9512092266661726e-05,23327.655553961235,8.709635899559548e-45,1.0
3.019951720401797e-05,22914.37151555273,9.120108393557773e-45,1.0
3.0902954325133644e-05,22507.511110575953,9.549925860212962e-45,1.0
3.1622776601681464e-05,22106.994261045154,9.999999999998526e-45,1.0
3.235936569296043e-05,21712.741463922863,1.0471285480507446e-44,1.0
3.311311214825664e-05,21324.67379646563,1.0964781961430212e-44,1.0
3.388441561391771e-05,20942.712921296687,1.1481536214967102e-44,1.0
3.4673685045250545e-05,20566.78109120982,1.2022644346172313e-44,1.0
3.5481338923354843e-05,20196.80115370895,1.2589254117939754e-44,1.0
3.6307805477007355e-05,19832.696555287665,1.3182567385562053e-44,1.0
3.715352290971439e-05,19474.39134545317,1.380384264602672e-44,1.0
3.801893963205317e-05,19121.810180499033,1.4454397707457032e-44,1.0
3.8904514499425023e-05,18774.878327031067,1.513561248435972e-44,1.0
3.98107170553466e-05,18433.521665250748,1.5848931924608643e-44,1.0
4.0738027780408055e-05,18097.666692000494,1.6595869074372985e-44,1.0
4.1686938347030225e-05,17767.24052357521,1.7378008287490992e-44,1.0
4.2657951880155855e-05,17442.1708983044,1.8197008586096926e-44,1.0
4.365158322401308e-05,17122.38617890921,1.9054607179629403e-44,1.0
4.4668359215092696e-05,16807.815354638675,1.9952623149685565e-44,1.0
4.5708818961483776e-05,16498.388043189498,2.089296130853699e-44,1.0
4.677351412871599e-05,16194.034492413657,2.187761623949194e-44,1.0
4.786300923225989e-05,15894.685581818092,2.290867652767395e-44,1.0
4.8977881936840556e-05,15600.272823860665,2.398832919019092e-44,1.0
5.011872336272304e-05,15310.728365046718,2.5118864315091607e-44,1.0
5.128613839913218e-05,15025.984986830344,2.63026799189494e-44,1.0
5.248074602497283e-05,14745.976106324582,2.7542287033377015e-44,1.0
5.370317963702071e-05,14470.635776824682,2.884031503126116e-44,1.0
5.4954087385757765e-05,14199.898688148538,3.0199517204015004e-44,1.0
5.6234132519030076e-05,13933.70016679846,3.1622776601678356e-44,1.0
5.7543993733710724e-05,13671.976175948232,3.3113112148253393e-44,1.0
5.888436553555378e-05,13414.66331525962,3.4673685045247136e-44,1.0
6.0255958607430514e-05,13161.698820532232,3.6307805477003796e-44,1.0
6.16595001861428e-05,12913.020563190772,3.801893963204944e-44,1.0
6.309573444801375e-05,12668.5670496136,3.9810717055342693e-44,1.0
6.456542290345981e-05,12428.277420306498,4.1686938347026134e-44,1.0
6.60693448007537e-05,12192.091448925532,4.3651583224008793e-44,1.0
6.76082975391921e-05,11959.949541152842,4.570881896147929e-44,1.0
6.91830970918874e-05,11731.79273342915,4.78630092322552e-44,1.0
7.079457843840736e-05,11507.562691546767,5.011872336271813e-44,1.0
7.24435960074924e-05,11287.201709106786,5.248074602496768e-44,1.0
7.413102413008495e-05,11070.65270584421,5.495408738575236e-44,1.0
7.585775750291138e-05,10857.859225824594,5.754399373370507e-44,1.0
7.762471166286197e-05,10648.765435515865,6.025595860742459e-44,1.0
