z,mu_obs,sigma_mu,mu_mcgt,mu_lcdm,residual_mcgt,residual_lcdm,delta_mu_vs_lcdm
0.01246,33.8286,0.265115,33.72999199960079,33.74043738343879,-0.09860800039921003,-0.08816261656121327,-0.010445383837996758
0.01258,33.708,0.24076,33.750905157852976,33.7614484048817,0.04290515785297799,0.05344840488169922,-0.010543247028721225
0.01258,33.7246,0.250097,33.750905157852976,33.7614484048817,0.026305157852974048,0.036848404881695274,-0.010543247028721225
0.01259,33.5874,0.26006,33.75263895061187,33.76319035058661,0.16523895061186522,0.17579035058660963,-0.010551399974744413
0.01259,33.5178,0.26619,33.75263895061187,33.76319035058661,0.23483895061186644,0.24539035058661085,-0.010551399974744413
0.01279,33.7492,0.416658,33.78703000262845,33.79774438556565,0.03783000262844638,0.04854438556564844,-0.01071438293720206
0.01283,33.6365,0.287379,33.79384396355472,33.804590926004394,0.15734396355472313,0.16809092600439612,-0.010746962449672992
0.01283,33.5028,0.331124,33.79384396355472,33.804590926004394,0.2910439635547206,0.3017909260043936,-0.010746962449672992
0.01303,33.7355,0.239783,33.82759979569189,33.83850956909854,0.09209979569188675,0.10300956909853909,-0.010909773406652334
0.01303,33.7607,0.28722,33.82759979569189,33.83850956909854,0.06689979569188864,0.07780956909854098,-0.010909773406652334
0.01304,33.5752,0.292564,33.829274027058496,33.840191937284494,0.25407402705849336,0.264991937284492,-0.01091791022599864
0.01304,33.5673,0.284786,33.829274027058496,33.840191937284494,0.2619740270584927,0.27289193728449135,-0.01091791022599864
0.01312,33.52,0.273536,33.84262207305596,33.8536050649066,0.32262207305596036,0.3336050649065996,-0.010982991850639223
0.01312,33.4717,0.261601,33.84262207305596,33.8536050649066,0.37092207305596503,0.38190506490660425,-0.010982991850639223
0.01325,33.9682,0.303693,33.864140900154254,33.87522960067705,-0.1040590998457489,-0.09297039932295093,-0.011088700522797978
0.01325,33.9846,0.299399,33.864140900154254,33.87522960067705,-0.12045909984574621,-0.10937039932294823,-0.011088700522797978
0.01325,33.9247,0.304606,33.864140900154254,33.87522960067705,-0.060559099845747255,-0.04947039932294928,-0.011088700522797978
0.01375,33.797,0.277855,33.944992923079255,33.956487623334134,0.14799292307925782,0.15948762333413669,-0.011494700254878865
0.01375,33.7683,0.232778,33.944992923079255,33.956487623334134,0.17669292307925133,0.1881876233341302,-0.011494700254878865
0.01375,33.772,0.235755,33.944992923079255,33.956487623334134,0.1729929230792564,0.18448762333413526,-0.011494700254878865
0.01376,33.7649,0.288791,33.9465799629496,33.95808277428203,0.18167996294960176,0.193182774282036,-0.011502811332434248
0.01386,33.6741,0.345367,33.96238756323754,33.973971465629994,0.2882875632375388,0.299871465629991,-0.011583902392452217
0.01388,33.6968,0.233531,33.965535467492856,33.97713558382709,0.2687354674928528,0.2803355838270889,-0.011600116334236077
