q0_peak,s8,delta_percent_today,q0_early,q0_mid,q0_today
-2.347088607594936538e-01,8.212060054697509770e-01,-1.059517413283006748e+00,-9.999999999999999547e-07,-2.725328412035942210e-03,-2.347088607070685895e-01
-2.283924050632911151e-01,8.214156230013455184e-01,-1.034262288994508117e+00,-9.999999999999999547e-07,-2.652011311957372386e-03,-2.283924050122768945e-01
-2.220759493670886320e-01,8.216265765029137080e-01,-1.008846204468213825e+00,-9.999999999999999547e-07,-2.578694211878803429e-03,-2.220759493174852828e-01
-2.157594936708860933e-01,8.218388752125126429e-01,-9.832680466852300460e-01,-9.999999999999999547e-07,-2.505377111800233172e-03,-2.157594936226936155e-01
-2.094430379746835547e-01,8.220525284556714496e-01,-9.575266920877669730e-01,-9.999999999999999547e-07,-2.432060011721663348e-03,-2.094430379279019205e-01
-2.031265822784810160e-01,8.222675455945849254e-01,-9.316210127006123720e-01,-9.999999999999999547e-07,-2.358742911643093524e-03,-2.031265822331102533e-01
-1.968101265822784773e-01,8.224839360519472509e-01,-9.055498732593687539e-01,-9.999999999999999547e-07,-2.285425811564523700e-03,-1.968101265383185861e-01
-1.904936708860759387e-01,8.227017093420653238e-01,-8.793121274620140371e-01,-9.999999999999999547e-07,-2.212108711485953876e-03,-1.904936708435268911e-01
-1.841772151898734000e-01,8.229208749633396547e-01,-8.529066309229427212e-01,-9.999999999999999547e-07,-2.138791611407384052e-03,-1.841772151487352238e-01
-1.778607594936708614e-01,8.231414426891959790e-01,-8.263322061209601443e-01,-9.999999999999999547e-07,-2.065474511328813795e-03,-1.778607594539435566e-01
-1.715443037974683227e-01,8.233634221348468119e-01,-7.995876945967721472e-01,-9.999999999999999547e-07,-1.992157411250243971e-03,-1.715443037591518893e-01
-1.652278481012658395e-01,8.235868231452968535e-01,-7.726719102051951005e-01,-9.999999999999999547e-07,-1.918840311171674581e-03,-1.652278480643602498e-01
-1.589113924050633009e-01,8.238116555486423298e-01,-7.455836688382703192e-01,-9.999999999999999547e-07,-1.845523211093104757e-03,-1.589113923695685826e-01
-1.525949367088607622e-01,8.240379292539021794e-01,-7.183217766382938851e-01,-9.999999999999999547e-07,-1.772206111014534716e-03,-1.525949366747769154e-01
-1.462784810126582236e-01,8.242656542545419018e-01,-6.908850295732554825e-01,-9.999999999999999547e-07,-1.698889010935964892e-03,-1.462784809799852204e-01
-1.399620253164556849e-01,8.244948406177364797e-01,-6.632722147305429861e-01,-9.999999999999999547e-07,-1.625571910857395068e-03,-1.399620252851935531e-01
-1.336455696202531462e-01,8.247254985053428245e-01,-6.354821077900026927e-01,-9.999999999999999547e-07,-1.552254810778825028e-03,-1.336455695904018859e-01
-1.273291139240506076e-01,8.249576379645061630e-01,-6.075134982522738536e-01,-9.999999999999999547e-07,-1.478937710700255204e-03,-1.273291138956101909e-01
-1.210126582278481244e-01,8.251912702241281927e-01,-5.793650332375542833e-01,-9.999999999999999547e-07,-1.405620610621686030e-03,-1.210126582008185792e-01
-1.146962025316455858e-01,8.254264042759767994e-01,-5.510356294003774247e-01,-9.999999999999999547e-07,-1.332303510543115990e-03,-1.146962025060269119e-01
-1.083797468354430471e-01,8.256630511659990290e-01,-5.225239559037211379e-01,-9.999999999999999547e-07,-1.258986410464546166e-03,-1.083797468112352308e-01
-1.020632911392405084e-01,8.259012214178392819e-01,-4.938287448386358691e-01,-9.999999999999999547e-07,-1.185669310385976342e-03,-1.020632911164435636e-01
