a,D_gr,delta_percent_q0star_minus_3p000000eminus_03,delta_percent_q0star_minus_2p900000eminus_03,delta_percent_q0star_minus_2p800000eminus_03,delta_percent_q0star_minus_2p700000eminus_03,delta_percent_q0star_minus_2p600000eminus_03,delta_percent_q0star_minus_2p500000eminus_03,delta_percent_q0star_minus_2p400000eminus_03,delta_percent_q0star_minus_2p300000eminus_03,delta_percent_q0star_minus_2p200000eminus_03,delta_percent_q0star_minus_2p100000eminus_03,delta_percent_q0star_minus_2p000000eminus_03,delta_percent_q0star_minus_1p900000eminus_03,delta_percent_q0star_minus_1p800000eminus_03,delta_percent_q0star_minus_1p700000eminus_03,delta_percent_q0star_minus_1p600000eminus_03,delta_percent_q0star_minus_1p500000eminus_03,delta_percent_q0star_minus_1p400000eminus_03,delta_percent_q0star_minus_1p300000eminus_03,delta_percent_q0star_minus_1p200000eminus_03,delta_percent_q0star_minus_1p100000eminus_03,delta_percent_q0star_minus_1p000000eminus_03
4.225563909774436577e-02,4.225429321987696218e-02,-8.641304075644443472e+00,-8.370271938014010260e+00,-8.098120319654420030e+00,-7.824843740760084820e+00,-7.550436562472552460e+00,-7.274893091391798627e+00,-6.998207735487433467e+00,-6.720374932773888865e+00,-6.441389049983198944e+00,-6.161244194774770477e+00,-5.879934577540649521e+00,-5.597454529564671155e+00,-5.313798337381142822e+00,-5.028959914026146727e+00,-4.742933373569892197e+00,-4.455713020645245770e+00,-4.167292766134329085e+00,-3.877666467151388741e+00,-3.586828420849938581e+00,-3.294772306554587082e+00,-3.001492083112906606e+00
4.473684210526316513e-02,4.473515121846250581e-02,-8.697363697222806778e+00,-8.424628858597385417e+00,-8.150763672529812709e+00,-7.875762564712800007e+00,-7.599619979705485306e+00,-7.322330309393072945e+00,-7.043887742918728989e+00,-6.764286477193139469e+00,-6.483520809344925695e+00,-6.201585071798591642e+00,-5.918473390133451417e+00,-5.634179728510638974e+00,-5.348698275264465174e+00,-5.062023280075496956e+00,-4.774148607916028020e+00,-4.485068162356263599e+00,-4.194776166731490008e+00,-3.903266443020118714e+00,-3.610532727496458705e+00,-3.316569234216417250e+00,-3.021369418734579426e+00
4.721804511278195754e-02,4.721594670697578516e-02,-8.748919788739755177e+00,-8.474619730212941349e+00,-8.199179516878434271e+00,-7.922593370470126573e+00,-7.644855553551800575e+00,-7.365960377839951612e+00,-7.085902181740077133e+00,-6.804675185195097953e+00,-6.522273384352122783e+00,-6.238690931326366318e+00,-5.953922054877715198e+00,-5.667960895049806602e+00,-5.380801259726299079e+00,-5.092437187253730180e+00,-4.802862853417149580e+00,-4.512072057297280558e+00,-4.220058556359687074e+00,-3.926816504055596013e+00,-3.632339543966860873e+00,-3.336621410237321061e+00,-3.039656136326196911e+00
4.969924812030075689e-02,4.969667259996372877e-02,-8.796544017614010613e+00,-8.520798842384719407e+00,-8.243904186082870567e+00,-7.965854403007173623e+00,-7.686643729720695539e+00,-7.406266229875047458e+00,-7.124716092473179607e+00,-6.841987543194370858e+00,-6.558074787990600285e+00,-6.272971767916918573e+00,-5.986672442194992172e+00,-5.699170931915984006e+00,-5.410461343261939504e+00,-5.120537391022112139e+00,-4.829392969897181587e+00,-4.537022183914769080e+00,-4.243418707928187317e+00,-3.948576229557567707e+00,-3.652488829285492677e+00,-3.355149902768022052e+00,-3.056553336222283423e+00
5.218045112781955625e-02,5.217732147300859630e-02,-8.840711063757032306e+00,-8.563626448754476428e+00,-8.285383674604883453e+00,-8.005976988840421527e+00,-7.725400653356519598e+00,-7.443648890133024665e+00,-7.160715710879012263e+00,-6.876595121691789103e+00,-6.591281238563992062e+00,-6.304768212075416933e+00,-6.017049955257550486e+00,-5.728120265107721210e+00,-5.437973161282648960e+00,-5.146602686977556296e+00,-4.854002453854674215e+00,-4.560166264677533832e+00,-4.265088149830579489e+00,-3.968761595432775735e+00,-3.671180325318349702e+00,-3.372338235272130280e+00,-3.072228594649565991e+00
5.466165413533834866e-02,5.465788548347996767e-02,-8.881819456162286741e+00,-8.603488545371103413e+00,-8.323991577485891469e+00,-8.043322593905154250e+00,-7.761475712262301485e+00,-7.478445086124483332e+00,-7.194224885980860407e+00,-6.908809109033853701e+00,-6.622191599771626080e+00,-6.334366372483733798e+00,-6.045327501305211015e+00,-5.755068850136466629e+00,-5.463584091039113133e+00,-5.170867159860994988e+00,-4.876912015310147730e+00,-4.581712140184733606e+00,-4.285261313104247627e+00,-3.987553442227499190e+00,-3.688581833034713764e+00,-3.388340336040829293e+00,-3.086822449965631154e+00
5.714285714285714801e-02,5.713835636971792420e-02,-8.920206216270321065e+00,-8.640711994241938143e+00,-8.360044119646953931e+00,-8.078196776210075924e+00,-7.795163970394836994e+00,-7.510939659661607593e+00,-7.225517901957643652e+00,-6.938892793116980151e+00,-6.651058300102421939e+00,-6.362008148979486855e+00,-6.071736252919149202e+00,-5.780236611098764854e+00,-5.487503003346526853e+00,-5.193529006862246611e+00,-4.898308500295416756e+00,-4.601835313936012639e+00,-4.304102820461022105e+00,-4.005104828069522505e+00,-3.704834995915166296e+00,-3.403286612737655759e+00,-3.100453544967680219e+00
5.962406015037594736e-02,5.961872545103308330e-02,-8.956158237063664984e+00,-8.675575029082526868e+00,-8.393810997004077734e+00,-8.110860259757522783e+00,-7.826716946318342139e+00,-7.541375039466783115e+00,-7.254828361739747322e+00,-6.967070881571551411e+00,-6.678096612888683836e+00,-6.387899468588902785e+00,-6.096473078465981743e+00,-5.803811266848857287e+00,-5.509907966387477707e+00,-5.214756831086623912e+00,-4.918351376946525910e+00,-4.620685455697307376e+00,-4.321752690530235697e+00,-4.021546425318023310e+00,-3.720060504428496895e+00,-3.417288198308501279e+00,-3.113223062330500834e+00
6.210526315789473978e-02,6.209898363177755731e-02,-8.989921897978812027e+00,-8.708316333766299877e+00,-8.425523297619287533e+00,-8.141536769987480326e+00,-7.856350783180816144e+00,-7.569959397654866251e+00,-7.282356555149554822e+00,-6.993535980726449885e+00,-6.703491547534811801e+00,-6.412217196716036405e+00,-6.119706764177161418e+00,-5.825953787515056881e+00,-5.530952029216708254e+00,-5.234695355605850864e+00,-4.937177250567847508e+00,-4.638391226170025305e+00,-4.338331106938664306e+00,-4.036990225647359765e+00,-3.734362055387566492e+00,-3.430440273053455336e+00,-3.125217973343532130e+00
6.458646616541353913e-02,6.457912150484691749e-02,-9.021710349963036890e+00,-8.739142412816283567e+00,-8.455380796379420971e+00,-8.170419421579744323e+00,-7.884252147423204349e+00,-7.596872926359220735e+00,-7.308275745751257269e+00,-7.018454489305053556e+00,-6.727402795281904879e+00,-6.435114454736962308e+00,-6.141583345510298386e+00,-5.846803194530744818e+00,-5.550767466826990848e+00,-5.253469885036375686e+00,-4.954904221688585686e+00,-4.655063779294894566e+00,-4.353942143847911339e+00,-4.051532992690659363e+00,-3.747829466406469745e+00,-3.442825236691988255e+00,-3.136513503757677235e+00
