a,q0eff_lss,q0eff_gw,geff_over_g_lss,geff_over_g_gw
1.489473684210526616e-01,-2.543070049155586757e-06,-1.000000000024691600e-06,9.999934106818814117e-01,9.999974089068864869e-01
1.514285714285714401e-01,-2.641801590832440584e-06,-1.000000000026271317e-06,9.999932111719230798e-01,9.999974302224580169e-01
1.539097744360902464e-01,-2.746849251525822535e-06,-1.000000000027952254e-06,9.999929983531088418e-01,9.999974510204826528e-01
1.563909774436090527e-01,-2.858616944382587090e-06,-1.000000000029740764e-06,9.999927714939806922e-01,9.999974713215703526e-01
1.588721804511278313e-01,-2.977534393377599250e-06,-1.000000000031643623e-06,9.999925298170774246e-01,9.999974911452004234e-01
1.613533834586466376e-01,-3.104058780129399144e-06,-1.000000000033668244e-06,9.999922724963236087e-01,9.999975105097994588e-01
1.638345864661654439e-01,-3.238676495460314104e-06,-1.000000000035822460e-06,9.999919986542503691e-01,9.999975294328136144e-01
1.663157894736842224e-01,-3.381905002302892955e-06,-1.000000000038114320e-06,9.999917073590388616e-01,9.999975479307748882e-01
1.687969924812030287e-01,-3.534294816996337776e-06,-1.000000000040552716e-06,9.999913976213754552e-01,9.999975660193611837e-01
1.712781954887218350e-01,-3.696431616424586493e-06,-1.000000000043147178e-06,9.999910683911094056e-01,9.999975837134528200e-01
1.737593984962406135e-01,-3.868938478937277907e-06,-1.000000000045907658e-06,9.999907185537014742e-01,9.999976010271837135e-01
1.762406015037594198e-01,-4.052478267467697496e-06,-1.000000000048844533e-06,9.999903469264516120e-01,9.999976179739887838e-01
1.787218045112782261e-01,-4.247756163788611945e-06,-1.000000000051969238e-06,9.999899522544939412e-01,9.999976345666478084e-01
1.812030075187970046e-01,-4.455522363401896664e-06,-1.000000000055293842e-06,9.999895332065442677e-01,9.999976508173260559e-01
1.836842105263158109e-01,-4.676574941131838015e-06,-1.000000000058831052e-06,9.999890883703869138e-01,9.999976667376117012e-01
1.861654135338346172e-01,-4.911762898118626132e-06,-1.000000000062594419e-06,9.999886162480857710e-01,9.999976823385504643e-01
1.886466165413533957e-01,-5.161989401563532575e-06,-1.000000000066598344e-06,9.999881152509035864e-01,9.999976976306778065e-01
1.911278195488722020e-01,-5.428215229256110625e-06,-1.000000000070858496e-06,9.999875836939112750e-01,9.999977126240490177e-01
1.936090225563910083e-01,-5.711462431661936828e-06,-1.000000000075390969e-06,9.999870197902720470e-01,9.999977273282669721e-01
1.960902255639097869e-01,-6.012818225113802891e-06,-1.000000000080213128e-06,9.999864216451781473e-01,9.999977417525077739e-01
1.985714285714285932e-01,-6.333439130463991586e-06,-1.000000000085343606e-06,9.999857872494224420e-01,9.999977559055450715e-01
2.010526315789473994e-01,-6.674555372429024636e-06,-1.000000000090801887e-06,9.999851144725824259e-01,9.999977697957721512e-01
2.035338345864661780e-01,-7.037475555750198776e-06,-1.000000000096609145e-06,9.999844010557948915e-01,9.999977834312233638e-01
2.060150375939849843e-01,-7.423591635282887616e-06,-1.000000000102787615e-06,9.999836446040959448e-01,9.999977968195931100e-01
2.084962406015037906e-01,-7.834384198103432431e-06,-1.000000000109361014e-06,9.999828425783039432e-01,9.999978099682544919e-01
2.109774436090225691e-01,-8.271428076824707601e-06,-1.000000000116354541e-06,9.999819922864154886e-01,9.999978228842761885e-01
2.134586466165413754e-01,-8.736398314408897039e-06,-1.000000000123794667e-06,9.999810908744892757e-01,9.999978355744383318e-01
2.159398496240601817e-01,-9.231076501963176204e-06,-1.000000000131710402e-06,9.999801353169870399e-01,9.999978480452477170e-01
2.184210526315789602e-01,-9.757357512236857508e-06,-1.000000000140131603e-06,9.999791224065396333e-01,9.999978603029517910e-01
2.209022556390977665e-01,-1.031725665284789456e-05,-1.000000000149090882e-06,9.999780487431072507e-01,9.999978723535515313e-01
2.233834586466165728e-01,-1.091291726462765152e-05,-1.000000000158622544e-06,9.999769107224978359e-01,9.999978842028138803e-01
