a,D_gr,D_lss,D_gw,q0_lss,q0_gw
2.209022556390977665e-01,2.199085013560720392e-01,2.052908875774274444e-01,2.199008511567964452e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.233834586466165728e-01,2.223447077451263798e-01,2.075578718792939481e-01,2.223369691023947270e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.258646616541353513e-01,2.247794217097558167e-01,2.098234284212835421e-01,2.247715947853658469e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.283458646616541576e-01,2.272126120829507656e-01,2.120875288815252391e-01,2.272046969554945006e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.308270676691729639e-01,2.296442474715959248e-01,2.143501446846368119e-01,2.296362441015133704e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.333082706766917425e-01,2.320742962564703027e-01,2.166112470017247382e-01,2.320662044964803272e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.357894736842105488e-01,2.345027265922472737e-01,2.188708067503843946e-01,2.344945463305305733e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.382706766917293550e-01,2.369295064074944113e-01,2.211287946337865962e-01,2.369212375420046701e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.407518796992481336e-01,2.393546034046736548e-01,2.233851812957998728e-01,2.393462458606503696e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.432330827067669399e-01,2.417779850601412539e-01,2.256399371258564213e-01,2.417695388134312173e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.457142857142857462e-01,2.441996186241477407e-01,2.278930323128646185e-01,2.441910837245263310e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.481954887218045247e-01,2.466194711208379298e-01,2.301444368569594001e-01,2.466108477153305389e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.506766917293233310e-01,2.490375093485298619e-01,2.323941205695023715e-01,2.490287977044543521e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.531578947368421373e-01,2.514537000109314246e-01,2.346420530730815024e-01,2.514449004077239924e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.556390977443609436e-01,2.538680097032626759e-01,2.368882038015114322e-01,2.538591223381813644e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.581203007518796944e-01,2.562804048008486824e-01,2.391325419998331925e-01,2.562714298060839169e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.606015037593985006e-01,2.586908515196169045e-01,2.413750367243145956e-01,2.586817889189050312e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.630827067669173069e-01,2.610993159160970856e-01,2.436156568424497626e-01,2.610901655949887656e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.655639097744361132e-01,2.635057638874211405e-01,2.458543710329594845e-01,2.634965257503157354e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.680451127819549195e-01,2.659101611713233226e-01,2.480911477857909997e-01,2.659008351298377537e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.705263157894737258e-01,2.683124733461401124e-01,2.503259554994986535e-01,2.683030593117768370e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
2.730075187969925321e-01,2.707126658308103839e-01,2.525587625606428577e-01,2.707031637433082727e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
