beta,gamma_min,gamma_max
20.79567248884795,0.0,305780.3907572559
21.753955283993264,0.0,305775.21148805926
22.757406891165036,0.0,305769.4580340535
23.80815576784041,0.0,305763.0994084924
24.908430694835985,0.0,305756.10451978835
26.06056550385975,0.0,305748.4421774174
27.267004027904427,0.0,305740.08109730476
28.530305284959372,0.0,305730.98990671395
29.853148906034942,0.0,305721.1371486623
31.238340819040868,0.0,305710.4912858832
32.68881920052649,0.0,305699.02070435527
34.2076607079566,0.0,305686.6937164165
35.79808700571209,0.0,305673.47856347996
37.46347159866883,0.0,305659.34341836825
39.20734698784764,0.0,305644.2563872794
41.03341216331401,0.0,305628.1855113997
42.94554045022049,0.0,305611.09876817354
44.94778772463463,0.0,305592.9640722429
47.04440101657905,0.0,305573.74927606556
49.2398275185324,0.0,305553.42217022076
51.53872401849795,0.0,305531.95048341044
53.94596677765071,0.0,305509.3018821617
56.466661873526434,0.0,305485.4439702365
59.106156030610464,0.0,305460.34428775386
61.87004796150325,0.0,305433.970310025
64.76420024245115,0.0,305406.2894461074
67.79475174862726,0.0,305377.26903707674
70.96813067546374,0.0,305346.8763540177
74.29106817366714,0.0,305315.0785957329
77.7706126268376,0.0,305281.8428861684
81.41414460197913,0.0,305247.13627155323
85.22939250460861,0.0,305210.92571724893
89.22444897167303,0.0,305173.1781043055
93.4077880370459,0.0,305133.86022571713
97.78828310601068,0.0,305092.9387823721
102.37522577685979,0.0,305050.380378689
107.17834554952961,0.0,305006.1515179311
112.20783046306373,0.0,304960.2185971897
117.47434870577584,0.0,304912.54790202517
122.98907124365792,0.0,304863.10560075665
128.76369551550908,0.0,304811.85773838405
134.8104702445826,0.0,304758.77023013396
141.14222141963987,0.0,304703.80885461054
147.77237950044616,0.0,304646.9392465393
154.7150079053927,0.0,304588.1268890851
161.9848328418392,0.0,304527.3371057264
169.59727454196016,0.0,304464.5350516711
177.56847997115887,0.0,304399.6857047865
185.91535707762336,0.0,304332.7538560292
194.65561065615,0.0,304263.70409934886
203.80777990209634,0.0,304192.50082104275
213.39127773537123,0.0,304119.10818853526
223.42643197741663,0.0,304043.49013855815
233.93452846902332,0.0,303965.6103647005
244.93785622011976,0.0,303885.43230430124
256.45975468740414,0.0,303802.91912465205
268.5246632801007,0.0,303718.0337084788
281.15817319882837,0.0,303630.7386386664
294.3870817175476,0.0,303540.996182192
308.23944902372295,0.0,303448.7682732281
322.744657737256,0.0,303354.01649537566
337.93347523444874,0.0,303256.7020629866
353.8381189091775,0.0,303156.78580153047
370.4923245097082,0.0,303054.2281269607
387.9314176961486,0.0,302948.98902403156
406.19238897009717,0.0,302841.02802351606
425.3139721358898,0.0,302730.30417827086
445.3367264593132,0.0,302616.77603809396
