k, T, P_m
8.317637711026708769e-04,9.943504115180046288e-01,1.554893124349010759e+04
8.511380382023767902e-04,9.941125038765967759e-01,1.589065139186506349e+04
8.709635899560805045e-04,9.938651515693530669e-01,1.623957104239783075e+04
8.912509381337459322e-04,9.936080144384781265e-01,1.659582318964357910e+04
9.120108393559096371e-04,9.933407421032116602e-01,1.695954218787837090e+04
9.332543007969905120e-04,9.930629737664623535e-01,1.733086369761356400e+04
9.549925860214359069e-04,9.927743380241840221e-01,1.770992462720256299e+04
9.772372209558110971e-04,9.924744526779343268e-01,1.809686306931389481e+04
1.000000000000000021e-03,9.921629245510663608e-01,1.849181823203943350e+04
1.023292992280753523e-03,9.918393493090262858e-01,1.889493036440147625e+04
1.047128548050899619e-03,9.915033112842375207e-01,1.930634067601768038e+04
1.071519305237607052e-03,9.911543833060724173e-01,1.972619125067893765e+04
1.096478196143185150e-03,9.907921265364186825e-01,2.015462495359058812e+04
1.122018454301963036e-03,9.904160903113673475e-01,2.059178533202430845e+04
1.148153621496882885e-03,9.900258119895538611e-01,2.103781650912386613e+04
1.174897554939530360e-03,9.896208168076987555e-01,2.149286307060571198e+04
1.202264434617413003e-03,9.892006177439002235e-01,2.195706994409246545e+04
1.230268770812381228e-03,9.887647153892409335e-01,2.243058227081551013e+04
1.258925411794167490e-03,9.883125978282742974e-01,2.291354526942109078e+04
1.288249551693134961e-03,9.878437405289631768e-01,2.340610409161373536e+04
1.318256738556407509e-03,9.873576062426439037e-01,2.390840366937006183e+04
1.348962882591653182e-03,9.868536449145899336e-01,2.442058855345669872e+04
1.380384264602885300e-03,9.863312936057485603e-01,2.494280274298614677e+04
1.412537544622755482e-03,9.857899764262183506e-01,2.547518950574660630e+04
1.445439770745927987e-03,9.852291044810295162e-01,2.601789118904389761e+04
1.479108388168207241e-03,9.846480758287807777e-01,2.657104902079625026e+04
1.513561248436207226e-03,9.840462754536728474e-01,2.713480290062642598e+04
1.548816618912481112e-03,9.834230752514639962e-01,2.770929118070040568e+04
1.584893192461114082e-03,9.827778340298531923e-01,2.829465043606654217e+04
1.621810097358929734e-03,9.821098975237767537e-01,2.889101522425548683e+04
1.659586907437559777e-03,9.814185984260755946e-01,2.949851783390756464e+04
1.698243652461744243e-03,9.807032564339596137e-01,3.011728802220146827e+04
1.737800828749376265e-03,9.799631783116625749e-01,3.074745274086681457e+04
1.778279410038922752e-03,9.791976579696394234e-01,3.138913585057131058e+04
1.819700858609982642e-03,9.784059765606144543e-01,3.204245782348348803e+04
1.862087136662867555e-03,9.775874025927352440e-01,3.270753543382026692e+04
1.905460717963248195e-03,9.767411920600356234e-01,3.338448143620115297e+04
1.949844599758045584e-03,9.758665885903423654e-01,3.407340423163998639e+04
1.995262314968878920e-03,9.749628236106938628e-01,3.477440752101685212e+04
2.041737944669529733e-03,9.740291165302628063e-01,3.548758994588369387e+04
2.089296130854040746e-03,9.730646749406843821e-01,3.621304471646804450e+04
2.137962089502232644e-03,9.720686948336024757e-01,3.695085922675029724e+04
2.187761623949552054e-03,9.710403608351427795e-01,3.770111465649954334e+04
2.238721138568339902e-03,9.699788464569031321e-01,3.846388556016286748e+04
2.290867652767774546e-03,9.688833143629340672e-01,3.923923944250996283e+04
2.344228815319922537e-03,9.677529166520425497e-01,4.002723632094330242e+04
2.398832919019489897e-03,9.665867951546027736e-01,4.082792827438707900e+04
2.454708915685031162e-03,9.653840817428969157e-01,4.164135897867059975e+04
2.511886431509582039e-03,9.641438986538329869e-01,4.246756322832153091e+04
2.570395782768864542e-03,9.628653588226880888e-01,4.330656644467940350e+04
2.630267991895381303e-03,9.615475662263229806e-01,4.415838417023129296e+04
