k, T, P_m
6.456542290346555619e-04,9.964316943998067222e-01,1.129293439659097385e+04
6.606934480075964729e-04,9.962779528331943135e-01,1.154308193688510437e+04
6.760829753919818602e-04,9.961178904835229497e-01,1.179862014878082664e+04
6.918309709189362274e-04,9.959512664886189803e-01,1.205965588044230390e+04
7.079457843841380172e-04,9.957778319624647212e-01,1.232629753454881029e+04
7.244359600749898306e-04,9.955973297958825574e-01,1.259865505644132099e+04
7.413102413009177395e-04,9.954094944562289493e-01,1.287683991969090130e+04
7.585775750291835285e-04,9.952140517863568014e-01,1.316096510893814047e+04
7.762471166286919301e-04,9.950107188031196426e-01,1.345114509984781580e+04
7.943282347242813140e-04,9.947992034957029439e-01,1.374749583601696577e+04
8.128305161640994808e-04,9.945792046240937712e-01,1.405013470266991317e+04
8.317637711026708769e-04,9.943504115180046288e-01,1.435918049696737216e+04
8.511380382023767902e-04,9.941125038765967759e-01,1.467475339475227702e+04
8.709635899560805045e-04,9.938651515693530669e-01,1.499697491354872182e+04
8.912509381337459322e-04,9.936080144384781265e-01,1.532596787162585861e+04
9.120108393559096371e-04,9.933407421032116602e-01,1.566185634293259318e+04
9.332543007969905120e-04,9.930629737664623535e-01,1.600476560770450669e+04
9.549925860214359069e-04,9.927743380241840221e-01,1.635482209853859604e+04
9.772372209558110971e-04,9.924744526779343268e-01,1.671215334172729490e+04
1.000000000000000021e-03,9.921629245510663608e-01,1.707688789363802789e+04
1.023292992280753523e-03,9.918393493090262858e-01,1.744915527192020090e+04
1.047128548050899619e-03,9.915033112842375207e-01,1.782908588131716897e+04
1.071519305237607052e-03,9.911543833060724173e-01,1.821681093385674467e+04
1.096478196143185150e-03,9.907921265364186825e-01,1.861246236319006857e+04
1.122018454301963036e-03,9.904160903113673475e-01,1.901617273284524708e+04
1.148153621496882885e-03,9.900258119895538611e-01,1.942807513815872517e+04
1.174897554939530360e-03,9.896208168076987555e-01,1.984830310164514231e+04
1.202264434617413003e-03,9.892006177439002235e-01,2.027699046156384065e+04
1.230268770812381228e-03,9.887647153892409335e-01,2.071427125343832813e+04
1.258925411794167490e-03,9.883125978282742974e-01,2.116027958428341299e+04
1.288249551693134961e-03,9.878437405289631768e-01,2.161514949929438444e+04
1.318256738556407509e-03,9.873576062426439037e-01,2.207901484075142798e+04
1.348962882591653182e-03,9.868536449145899336e-01,2.255200909889360264e+04
1.380384264602885300e-03,9.863312936057485603e-01,2.303426525451654379e+04
1.412537544622755482e-03,9.857899764262183506e-01,2.352591561304996867e+04
1.445439770745927987e-03,9.852291044810295162e-01,2.402709162987341188e+04
1.479108388168207241e-03,9.846480758287807777e-01,2.453792372663044807e+04
1.513561248436207226e-03,9.840462754536728474e-01,2.505854109830584275e+04
1.548816618912481112e-03,9.834230752514639962e-01,2.558907151083359713e+04
1.584893192461114082e-03,9.827778340298531923e-01,2.612964108900906649e+04
1.621810097358929734e-03,9.821098975237767537e-01,2.668037409448338440e+04
1.659586907437559777e-03,9.814185984260755946e-01,2.724139269362504274e+04
1.698243652461744243e-03,9.807032564339596137e-01,2.781281671503968391e+04
1.737800828749376265e-03,9.799631783116625749e-01,2.839476339654710318e+04
1.778279410038922752e-03,9.791976579696394234e-01,2.898734712142272838e+04
1.819700858609982642e-03,9.784059765606144543e-01,2.959067914371900770e+04
1.862087136662867555e-03,9.775874025927352440e-01,3.020486730249138782e+04
1.905460717963248195e-03,9.767411920600356234e-01,3.083001572476366346e+04
1.949844599758045584e-03,9.758665885903423654e-01,3.146622451707684377e+04
1.995262314968878920e-03,9.749628236106938628e-01,3.211358944547630017e+04
2.041737944669529733e-03,9.740291165302628063e-01,3.277220160380166635e+04
2.089296130854040746e-03,9.730646749406843821e-01,3.344214707015442400e+04
2.137962089502232644e-03,9.720686948336024757e-01,3.412350655142808682e+04
