z,a,rho_m_over_rho_m0,Omega_m_z,tau_gyr
490.11264080,2.036192752785e-03,1.184522563616e+08,9.999999816415e-01,1.010247503702e+00
488.73591990,2.041916795085e-03,1.174588856008e+08,9.999999814863e-01,1.010247503781e+00
487.35919900,2.047673110387e-03,1.164710841964e+08,9.999999813292e-01,1.010247503860e+00
485.98247810,2.053461972403e-03,1.154888364924e+08,9.999999811704e-01,1.010247503940e+00
484.60575720,2.059283657948e-03,1.145121268322e+08,9.999999810098e-01,1.010247504021e+00
483.22903630,2.065138446985e-03,1.135409395597e+08,9.999999808474e-01,1.010247504103e+00
481.85231539,2.071026622671e-03,1.125752590186e+08,9.999999806831e-01,1.010247504186e+00
480.47559449,2.076948471402e-03,1.116150695525e+08,9.999999805169e-01,1.010247504270e+00
479.09887359,2.082904282858e-03,1.106603555052e+08,9.999999803489e-01,1.010247504355e+00
477.72215269,2.088894350051e-03,1.097111012203e+08,9.999999801788e-01,1.010247504441e+00
476.34543179,2.094918969373e-03,1.087672910417e+08,9.999999800068e-01,1.010247504528e+00
474.96871089,2.100978440648e-03,1.078289093129e+08,9.999999798328e-01,1.010247504616e+00
473.59198999,2.107073067176e-03,1.068959403777e+08,9.999999796568e-01,1.010247504705e+00
472.21526909,2.113203155787e-03,1.059683685798e+08,9.999999794788e-01,1.010247504795e+00
470.83854819,2.119369016894e-03,1.050461782629e+08,9.999999792986e-01,1.010247504886e+00
469.46182728,2.125570964541e-03,1.041293537707e+08,9.999999791163e-01,1.010247504978e+00
468.08510638,2.131809316460e-03,1.032178794470e+08,9.999999789319e-01,1.010247505071e+00
466.70838548,2.138084394125e-03,1.023117396353e+08,9.999999787453e-01,1.010247505165e+00
465.33166458,2.144396522803e-03,1.014109186795e+08,9.999999785565e-01,1.010247505261e+00
463.95494368,2.150746031618e-03,1.005154009232e+08,9.999999783655e-01,1.010247505357e+00
462.57822278,2.157133253599e-03,9.962517071018e+07,9.999999781722e-01,1.010247505455e+00
461.20150188,2.163558525747e-03,9.874021238407e+07,9.999999779765e-01,1.010247505554e+00
459.82478098,2.170022189088e-03,9.786051028862e+07,9.999999777785e-01,1.010247505654e+00
458.44806008,2.176524588735e-03,9.698604876753e+07,9.999999775782e-01,1.010247505755e+00
457.07133917,2.183066073951e-03,9.611681216449e+07,9.999999773754e-01,1.010247505857e+00
455.69461827,2.189646998210e-03,9.525278482323e+07,9.999999771702e-01,1.010247505961e+00
454.31789737,2.196267719263e-03,9.439395108744e+07,9.999999769625e-01,1.010247506066e+00
452.94117647,2.202928599197e-03,9.354029530083e+07,9.999999767522e-01,1.010247506172e+00
451.56445557,2.209630004508e-03,9.269180180711e+07,9.999999765394e-01,1.010247506279e+00
450.18773467,2.216372306165e-03,9.184845494998e+07,9.999999763240e-01,1.010247506388e+00
448.81101377,2.223155879677e-03,9.101023907315e+07,9.999999761060e-01,1.010247506498e+00
447.43429287,2.229981105166e-03,9.017713852033e+07,9.999999758852e-01,1.010247506610e+00
446.05757196,2.236848367437e-03,8.934913763521e+07,9.999999756617e-01,1.010247506723e+00
444.68085106,2.243758056046e-03,8.852622076152e+07,9.999999754355e-01,1.010247506837e+00
443.30413016,2.250710565382e-03,8.770837224294e+07,9.999999752064e-01,1.010247506953e+00
441.92740926,2.257706294734e-03,8.689557642320e+07,9.999999749745e-01,1.010247507070e+00
440.55068836,2.264745648372e-03,8.608781764598e+07,9.999999747397e-01,1.010247507189e+00
