f_Hz,phi_ref
63.09573444801933,80.24368008256477
64.56542290346556,80.55850922896354
66.06934480075961,80.86353619488702
67.60829753919819,81.15935853707116
69.18309709189363,81.44650323356468
70.79457843841381,81.72540584847273
72.44359600749898,81.9965774446262
74.13102413009177,82.2603985593857
75.85775750291836,82.51731310176928
77.6247116628692,82.76767462493595
79.43282347242814,83.01182783458313
81.28305161640995,83.25005549907763
83.17637711026708,83.48266737811315
85.11380382023768,83.70992561103185
87.09635899560806,83.9321109837982
89.12509381337459,84.14940809950865
91.20108393559097,84.36206020201625
93.3254300796991,84.57025485267454
95.49925860214358,84.77417865637128
97.72372209558107,84.97396469801589
100.0,85.16979940838847
102.32929922807536,85.36180602705319
104.71285480508996,85.55011065353149
107.1519305237607,85.7348380505267
109.64781961431851,85.91606854033313
112.2018454301963,86.0939154960339
114.81536214968828,86.26846162207062
117.48975549395303,86.43976945209823
120.22644346174131,86.60792148129082
123.02687708123811,86.77296584027792
125.89254117941675,86.93495526867586
128.82495516931348,87.09394235619234
131.82567385564073,87.24995443405118
134.89628825916532,87.40302555435716
138.03842646028852,87.55318132635963
141.25375446227554,87.7004444915741
144.5439770745928,87.84482727921407
147.91083881682073,87.98634235573063
151.3561248436207,88.1249756676728
154.88166189124811,88.26070936309046
158.48931924611142,88.39353000166474
162.18100973589299,88.52343104100781
165.95869074375597,88.65038595490037
169.82436524617444,88.77436471142028
173.78008287493762,88.895316569038
177.82794100389228,89.01317995670226
181.97008586099827,89.12788047999187
186.20871366628674,89.23931488369679
190.54607179632484,89.34736299433763
194.98445997580455,89.45186720765406
199.52623149688787,89.55264057680898
204.17379446695296,89.64945422390147
208.92961308540407,89.7420256949175
213.79620895022325,89.83000429271425
218.77616239495518,89.91296771744334
223.872113856834,89.99039569291715
229.08676527677747,90.06164607253464
234.42288153199226,90.12593903327063
239.88329190194898,90.18231922747434
245.4708915685031,90.22962992908997
251.18864315095823,90.26649882156795
257.03957827688646,90.2913464434794
263.02679918953817,90.30245109131174
269.1534803926914,90.2981272107334
275.4228703338166,90.2770929407095
281.8382931264455,90.2390407980118
288.40315031266056,90.18535536784442
295.1209226666384,90.11968358219531
301.9951720402016,90.04780348333595
309.0295432513592,89.97655572187517
316.22776601683796,89.91218881020409
323.5936569296281,89.8590341100671
331.1311214825911,89.81911083494444
338.84415613920277,89.79252813177314
346.73685045253166,89.77820714618053
354.8133892335753,89.77451529222154
363.0780547701014,89.77969240617878
371.53522909717276,89.79207482578353
380.1893963205613,89.810193119475
389.04514499428046,89.83279163482536
398.1071705534973,89.8588184931004
407.380277804113,89.88739869030694
416.8693834703355,89.91780542037598
426.57951880159254,89.94943332083098
436.5158322401661,89.98177572020084
446.6835921509635,90.01440514969963
457.0881896148752,90.04695807645662
467.73514128719813,90.07912218667452
478.630092322638,90.11062620461215
489.77881936844614,90.14123227728192
501.18723362727246,90.17072923047004
512.8613839913648,90.19892745061759
524.8074602497722,90.22565471834952
537.0317963702527,90.25075269103606
549.5408738576248,90.27407463622957
562.341325190349,90.29548247813256
575.4399373371566,90.31484534553024
588.843655355589,90.33203813462973
602.5595860743581,90.3469395931458
616.5950018614822,90.35943208446751
630.957344480193,90.369400006346
645.6542290346556,90.37672936643301
660.6934480075964,90.3813067985793
676.0829753919819,90.38301940300191
691.8309709189363,87.96459430051422
707.945784384138,87.96459430051422
724.4359600749906,87.96459430051422
741.3102413009177,87.96459430051422
758.5775750291835,87.96459430051422
776.247116628692,87.96459430051422
794.3282347242822,87.96459430051422
812.8305161640995,87.96459430051422
831.7637711026708,87.96459430051422
851.1380382023759,87.96459430051422
870.9635899560806,87.96459430051422
891.2509381337459,87.96459430051422
912.0108393559096,87.96459430051422
933.2543007969905,87.96459430051422
954.992586021436,87.96459430051422
977.2372209558112,87.96459430051422
1000.0,87.96459430051422
1023.2929922807547,87.96459430051422
1047.1285480508996,87.96459430051422
1071.519305237607,87.96459430051422
1096.4781961431852,87.96459430051422
1122.018454301963,87.96459430051422
1148.1536214968828,87.96459430051422
1174.897554939529,87.96459430051422
1202.2644346174131,87.96459430051422
1230.268770812381,87.96459430051422
1258.9254117941675,87.96459430051422
1288.2495516931335,87.96459430051422
1318.2567385564075,87.96459430051422
1348.9628825916532,87.96459430051422
1380.3842646028852,87.96459430051422
1412.537544622754,87.96459430051422
1445.439770745928,87.96459430051422
1479.1083881682073,87.96459430051422
1513.5612484362086,87.96459430051422
1548.816618912481,87.96459430051422
1584.893192461114,87.96459430051422
1621.8100973589299,87.96459430051422
1659.5869074375614,87.96459430051422
1698.2436524617442,87.96459430051422
1737.8008287493763,87.96459430051422
1778.2794100389228,87.96459430051422
1819.7008586099844,87.96459430051422
1862.0871366628676,87.96459430051422
1905.4607179632483,87.96459430051422
1949.8445997580454,87.96459430051422
1995.262314968881,87.96459430051422
2041.7379446695295,87.96459430051422
