T,P_calc,dP_dT
3.6348009279094165e-06,0.8199215391042207,61860.25636566025
3.719539824016504e-06,0.8250826957025336,59967.909099518074
3.8062542562412133e-06,0.8302020846909732,58121.417443989034
3.894990280682115e-06,0.8352789891200226,56320.03291005043
3.985795027153519e-06,0.8403127074489009,54563.00750100565
4.078716724217234e-06,0.8453025537470126,52849.59418706089
4.173804724797909e-06,0.8502478578858682,51179.04736360631
4.2711095323955414e-06,0.855147965721445,49550.62329330697
4.3706828279090925e-06,0.8600022392669691,47963.58053212328
4.472577497085443e-06,0.8648100568561041,46417.180339395156
4.576847658608266e-06,0.8695708132965421,44910.68707213712
4.6835486928417536e-06,0.8742839200139982,43443.36856370432
4.792737271244443e-06,0.8789488051866198,42014.49648700161
4.904471386468777e-06,0.8835649138698253,40623.34670241896
5.018810383162387e-06,0.8881317081115994,39269.199590687225
5.135814989487437e-06,0.8926486670582746,37951.34037085837
5.255547349374808e-06,0.8971152870508383,36669.05940362354
5.378071055530209e-06,0.9015310817118097,35421.65248019119
5.503451183209782e-06,0.905895582022741,34208.421096955695
5.631754324783115e-06,0.9102083363923996,33028.67271619423
5.763048625102037e-06,0.914468910715697,31881.72101303687
5.897403817693973e-06,0.918676888423436,30766.886108961004
6.034891261799073e-06,0.9228318705229547,29683.494792067268
6.175583980270809e-06,0.9269334756297488,28630.88072439919
6.3195566983601456e-06,0.9309813399901644,27608.384636573533
6.466885883403904e-06,0.9349751174952531,26615.354509992663
6.617649785438379e-06,0.9389144796858931,25651.145746913815
6.771928478759801e-06,0.9427991157492794,24715.121328653342
6.929803904453694e-06,0.9466287325068964,23806.65196220689
7.091359913915741e-06,0.9504030543940861,22925.116215568523
7.256682313387256e-06,0.9541218234313352,22069.900642033776
7.4258589095289164e-06,0.9577847991874047,21240.39989377297
7.598979556056974e-06,0.9613917587344303,20436.016824962022
7.7761362014667e-06,0.9649424965951316,19656.162584758666
7.957422937868423e-06,0.9684368246822631,18900.256700412112
8.14293605096208e-06,0.9718745722304512,18167.72715079398
8.332774071176851e-06,0.9752555857205617,17458.01043063785
8.52703782600301e-06,0.9785797287967476,16770.551605773828
8.725830493543807e-06,0.9818468821763271,16104.804359643489
8.929257657315812e-06,0.9850569435526488,15460.23103137871
9.137427362326838e-06,0.9882098274911008,14836.30264572656
9.350450172461225e-06,0.9913054653184254,14232.498935099879
9.568439229202887e-06,0.9943438050055013,13648.308354031144
9.79151031172755e-06,0.9973248110437606,13083.228086304509
1.001978189839574e-05,1.000248464315406,12536.764045037997
1.0253375229679547e-05,1.0031147619576009,12008.430865984916
1.0492414372556218e-05,1.0059237172207995,11497.751894320183
1.073702628640316e-05,1.0086753593213955,11004.259165173798
1.098734089042905e-05,1.011369733288859,10527.49337817015
1.1243491132677044e-05,1.0140068998075396,10067.003866227857
1.1505613060636621e-05,1.0165869350533143,9622.348558871054
1.177384589350169e-05,1.0191099305252542,9193.093940298771
1.2048332096113105e-05,1.0215759928724897,8778.815002454867
1.232921745462528e-05,1.023985243716458,8379.095193336645
1.261665115393659e-05,1.026337819468706,7993.526360775659
1.2910785856925044e-05,1.0286338711444305,7621.708691919801
1.321177778553118e-05,1.0308735641719395,7263.250648640948
1.3519786803731245e-05,1.0330570781982087,6917.768899087803
1.3834976502444755e-05,1.0351846068907187,6584.888245598656
1.415751428642154e-05,1.037256357735747,6264.24154918398
1.4487571463154379e-05,1.0392725518332984,5955.469650783809
1.482532333386449e-05,1.0412334236888499,5658.221289499854
1.5170949286608177e-05,1.0431392210020878,5372.153017997412
1.5524632891554098e-05,1.044990204452815,5096.929115266955
1.5886561998481755e-05,1.0467866474842027,4832.221496930337
1.6256928836552978e-05,1.0485288360835632,4577.709623271493
1.6635930116409398e-05,1.050217068560815,4333.08040516642
1.7023767134650176e-05,1.0518516553248147,4098.028108082202
1.7420645880745377e-05,1.0534329186577243,3872.2542543098134
1.782677714644193e-05,1.054961192487584,3655.4675235903933
1.8242376637720092e-05,1.0564368221592568,3447.383652289709
1.8667665089360067e-05,1.0578601642039145,3247.7253312705657
1.9102868382179465e-05,1.0592315861072201,3056.222102607966
1.9548217663004018e-05,1.0605514660763797,2872.610255286977
2.000394946743513e-05,1.0618201928062139,2696.632720018373
2.0470305845479573e-05,1.0630381652444107,2528.038963302374
2.0947534490108014e-05,1.0642057923561166,2366.5848808660285
2.1435888868810628e-05,1.065323492888014,2212.0326905951283
2.1935628358219744e-05,1.0663916951320394,2064.1508250769084
2.244701838187091e-05,1.0674108366888915,1922.713823865248
2.2970330551175673e-05,1.0683813642314688,1787.502225575585
2.3505842809680867e-05,1.0693037332683883,1658.3024599123523
2.405383958069102e-05,1.0701784079077177,1534.9067397274
2.4614611918332376e-05,1.0710058606210648,1417.1129532035964
2.5188457662138635e-05,1.0717865720081559,1304.7245562536161
2.5775681595240626e-05,1.0725210305620367,1197.550465219826
2.63765956062439e-05,1.0732097324350252,1095.4049499571288
2.6991518854880165e-05,1.0738531812055425,998.1075273767143
2.762077794152063e-05,1.074451887645946,905.4828555247808
2.8264707080641226e-05,1.0750063694914853,817.3606282665411
2.892364827833188e-05,1.0755171512104997,733.5754706421278
2.959795151394407e-05,1.07598476377597,653.9668349574247
3.0287974925973207e-05,1.0764097444385397,578.3788976693388
3.0994085002274494e-05,1.0767926365011105,506.6604571216135
3.1716656774713376e-05,1.0771339890951233,438.6648321839462
3.245607401835384e-05,1.0774343569586218,374.2497618439427
3.3212729455290544e-05,1.0776943002162025,313.2773057982821
3.398702496323283e-05,1.077914384160947,255.61374608641097
3.4779371788951514e-05,1.0780951790384297,201.12948980711153
3.559019076670192e-05,1.0782372598328918,149.69897295540449
3.641991254173888e-05,1.07834120605567,101.20056541445776
3.726897779904272e-05,1.0784076015359643,55.51647713445985
3.8137837497377524e-05,1.0784370342140248,12.532665527804324
3.902695310880608e-05,1.0784300959368411,-27.8612558926044
3.993679686378867e-05,1.0783873822564027,-65.77210760755915
4.086785200199589e-05,1.0783094922306096,-101.30323289626685
4.182061302896878e-05,1.0781970282269002,-134.55458533184915
4.279558597876242e-05,1.0780505957286626,-165.622814950094
4.379328868271272e-05,1.077870803144494,-194.60135307604054
4.481425104446894e-05,1.0776582616203714,-221.58049579500965
4.5859015321438124e-05,1.077413584854787,-246.64748605664846
4.692813641279093e-05,1.0771373889169096,-269.8865944024297
4.8022182154181755e-05,1.076830292067819,-291.37919830884664
4.9141733619339806e-05,1.0764929145848678,-311.2038601402681
5.028738542869117e-05,1.0761258785892156,-329.43640370706567
5.1459746065175835e-05,1.0757298078765796,-346.14998942620446
5.265943819742752e-05,1.0753053277512459,-361.41518808299327
5.388709901048777e-05,1.0748530648633785,-375.30005319412777
5.51433805442301e-05,1.0743736470496632,-387.8701919735289
5.642895003967388e-05,1.073867703177323,-399.1888349037821
5.7744490293371964e-05,1.0733358629915326,-409.3169039172194
5.909070002006012e-05,1.0727787569662661,-418.3130791918641
6.04682942237611e-05,1.0721970161585999,-426.23386456856747
6.187800457754028e-05,1.071591272066502,-433.13365159672384
6.332057981211466e-05,1.0709621564901228,-439.064782216944
6.479678611352151e-05,1.0703103013966142,-444.0776100900045
6.630740753005805e-05,1.069636338788491,-448.22056058227565
6.785324638870819e-05,1.068940900575552,-451.54018941865945
6.943512372127738e-05,1.0682246184503754,-454.0812400148469
7.105387970046225e-05,1.0674881237673997,-455.8866995014322
7.271037408608629e-05,1.066732047425599,-456.99785345309937
7.440548668173871e-05,1.065957019754765,-457.4543393367288
7.614011780205911e-05,1.0651636704053953,-457.2941986928581
7.791518875091601e-05,1.0643526282422004,-456.5539280654702
7.973164231073323e-05,1.0635245212412252,-455.2685286955869
8.15904432432241e-05,1.06267997639059,-453.471554994597
8.349257880179936e-05,1.0618196195948508,-451.1951618136722
8.543905925592088e-05,1.0609440755829747,-448.4701505260018
8.743091842767999e-05,1.060053967819928,-445.326013938921
8.946921424088471e-05,1.0591499184218731,-441.79098005331616
9.155502928294856e-05,1.0582325480749664,-437.8920546879658
9.36894713798783e-05,1.0573024759577487,-433.65506298671403
9.587367418466676e-05,1.056360319667124,-429.10468982658955
9.810879777940294e-05,1.0554066951479095,-424.2645191451579
0.00010039602929141912,1.0544422166259522,-419.1570722055513
0.00010273658352380259,1.0534674965447945,-413.8038448177409
0.0001051317036006063,1.0524831455058807,-408.2253435347188
0.00010758266162710182,1.0514897722122845,-402.4411208423258
0.00011009075936542454,1.0504879834159455,-396.4698093615159
0.00011265732892597066,1.0494783838684005,-390.32915508186943
0.00011528373347491266,1.0484615762749867,-384.03604964517785
0.00011797136795820926,1.0474381612525052,-377.60656169790366
0.0001207216598424945,1.0464087372903226,-371.0559673312875
0.00012353606987323916,1.0453739007148937,-364.39877962781907
0.00012641609285058756,1.0443342456576852,-357.64877733272124
0.00012936325842328127,1.0432903640264788,-350.8190326690069
0.00013237913190109228,1.0422428454800359,-343.9219383145687
0.0001354653150861959,1.0411922774061009,-336.9692335596435
0.0001386234471239265,1.0401392449027214,-329.9720296628636
0.00014185520537336575,1.0390843307628659,-322.9408344239639
0.00014516230629822905,1.0380281154623143,-315.88557599105934
0.00014854650637851952,1.0369711771508003,-308.8156259202381
0.0001520096030434365,1.0359140916463838,-301.7398215050445
0.000155553435626033,1.03485743243303,-294.66648739323307
