T,dP_dT
8.15904432432241e-05,-453.471554994597
8.349257880179936e-05,-451.1951618136722
8.543905925592088e-05,-448.4701505260018
8.743091842767999e-05,-445.326013938921
8.946921424088471e-05,-441.79098005331616
9.155502928294856e-05,-437.8920546879658
9.36894713798783e-05,-433.65506298671403
9.587367418466676e-05,-429.10468982658955
9.810879777940294e-05,-424.2645191451579
0.00010039602929141912,-419.1570722055513
0.00010273658352380259,-413.8038448177409
0.0001051317036006063,-408.2253435347188
0.00010758266162710182,-402.4411208423258
0.00011009075936542454,-396.4698093615159
0.00011265732892597066,-390.32915508186943
0.00011528373347491266,-384.03604964517785
0.00011797136795820926,-377.60656169790366
0.0001207216598424945,-371.0559673312875
0.00012353606987323916,-364.39877962781907
0.00012641609285058756,-357.64877733272124
0.00012936325842328127,-350.8190326690069
0.00013237913190109228,-343.9219383145687
0.0001354653150861959,-336.9692335596435
0.0001386234471239265,-329.9720296628636
0.00014185520537336575,-322.9408344239639
0.00014516230629822905,-315.88557599105934
0.00014854650637851952,-308.8156259202381
0.0001520096030434365,-301.7398215050445
0.000155553435626033,-294.66648739323307
0.0001591798863401293,-287.60345650798513
0.0001628908812800014,-280.5580902905715
0.0001666883914433756,-273.5372982812379
0.0001705744337782723,-266.5475570548659
0.00017455107225425505,-259.5949285277454
0.0001786204189586539,-252.68507765155613
0.0001827846352183453,-245.82328951042706
0.00018704593274768426,-239.0144858366981
0.0001914065748231983,-232.2632409607673
0.00019586887748566773,-225.573797210157
0.0002004352107702298,-218.95007977268264
0.00020510799996516094,-212.39571103835394
0.0002098897269000049,-205.91402443438284
0.0002147829312637317,-199.50807776741445
0.00021979021195362667,-193.18066608683847
0.00022491422845562678,-186.9343340827784
0.00023015770225683687,-180.77138803209556
0.00023552341829097623,-174.6939073054827
0.0002410142264175231,-168.70375544846223
0.000246633042935343,-162.80259084884182
0.0002523828521316044,-156.9918770029205
0.0002582667078668045,-151.27289239247887
0.0002642877351967475,-145.64673998432875
0.0002704491320323359,-140.1143563639388
0.000276754170838057,-134.67652051439993
0.0002832062003700671,-129.33386225173766
0.00028980864745479514,-124.08687032732855
0.00029656501880901185,-118.9359002079269
0.0003034789029023307,-113.88118154356104
0.0003105539718631292,-108.92282533331371
0.000317793983428904,-104.06083079875745
0.0003252027829420944,-99.29509197457809
0.00033278430539243555,-94.6254040256809
0.0003405425775069247,-90.0514692998411
0.00034848171988851223,-85.57290312472975
0.0003566059492046515,-81.18923935791804
0.0003649195804268716,-76.89993569823908
0.0003734270291225613,-72.70437876666512
0.00038213281380018195,-68.60188896464135
0.00039104155830915483,-64.59172511760218
0.00040015799429569786,-60.67308891118672
0.00040948696371591493,-56.84512912746241
0.0004190334214074748,-53.10694568826285
0.00042880243772124265,-49.45759351254605
