k, P_prim, T, P_m
7.585775750291835935e-03,2.243701828580145823e-09,8.414752238052519706e-01,1.588721629928410095e-09
7.762471166286919952e-03,2.241889184826184112e-09,8.371493195959637257e-01,1.571158499181118406e-09
7.943282347242820729e-03,2.240078005472410383e-09,8.327269789410149947e-01,1.553346747725984559e-09
8.128305161640994592e-03,2.238268289335763627e-09,8.282060275359421908e-01,1.535284677839628674e-09
8.317637711026708985e-03,2.236460035234138642e-09,8.235842035187488364e-01,1.516970580210156695e-09
8.511380382023758795e-03,2.234653241986384793e-09,8.188591608402877586e-01,1.498402765264087676e-09
8.709635899560804612e-03,2.232847908412306837e-09,8.140284752934763279e-01,1.479579604400001824e-09
8.912509381337458889e-03,2.231044033332662032e-09,8.090896537059369953e-01,1.460499582481948255e-09
9.120108393559096804e-03,2.229241615569160547e-09,8.040401468313286282e-01,1.441161362918081520e-09
9.332543007969904686e-03,2.227440653944465462e-09,7.988773664914637918e-01,1.421563866555036223e-09
9.549925860214358853e-03,2.225641147282188634e-09,7.935987075186565765e-01,1.401706365438561391e-09
9.772372209558111839e-03,2.223843094406894832e-09,7.882015750192731263e-01,1.381588592207907708e-09
1.000000000000000021e-02,2.222046494144097188e-09,7.826834174182156767e-01,1.361210865487683483e-09
1.023292992280754737e-02,2.220251345320257610e-09,7.770417656430426145e-01,1.340574231101679752e-09
1.047128548050899575e-02,2.218457646762786781e-09,7.712742786589794619e-01,1.319680618248432240e-09
1.071519305237607009e-02,2.216665397300042093e-09,7.653787953667731125e-01,1.298533008945953762e-09
1.096478196143185063e-02,2.214874595761327648e-09,7.593533926210381813e-01,1.277135618082469739e-09
1.122018454301963036e-02,2.213085240976893012e-09,7.531964488174576200e-01,1.255494080324413362e-09
1.148153621496882971e-02,2.211297331777933635e-09,7.469067121377073182e-01,1.233615638973908239e-09
1.174897554939529146e-02,2.209510866996587951e-09,7.404833721416078651e-01,1.211509330696047877e-09
1.202264434617413176e-02,2.207725845465939450e-09,7.339261329738703266e-01,1.189186158932440662e-09
1.230268770812381098e-02,2.205942266020013363e-09,7.272352860320598911e-01,1.166659247880752052e-09
1.258925411794167490e-02,2.204160127493776671e-09,7.204117795540343483e-01,1.143943968262477743e-09
1.288249551693133529e-02,2.202379428723138512e-09,7.134572822636985334e-01,1.121058025839943022e-09
1.318256738556407466e-02,2.200600168544946871e-09,7.063742380031533541e-01,1.098021503888402932e-09
1.348962882591653312e-02,2.198822345796991483e-09,6.991659082165629924e-01,1.074856851668634410e-09
1.380384264602885214e-02,2.197045959317998862e-09,6.918363992706627608e-01,1.051588812430502476e-09
1.412537544622754007e-02,2.195271007947636440e-09,6.843906719231397373e-01,1.028244286607797697e-09
1.445439770745927943e-02,2.193497490526506364e-09,6.768345307922661869e-01,1.004852128574348709e-09
1.479108388168207111e-02,2.191725405896148391e-09,6.691745924291554459e-01,9.814428784882265994e-10
1.513561248436208657e-02,2.189954752899038644e-09,6.614182315160418435e-01,9.580484341564310503e-10
1.548816618912481069e-02,2.188185530378587963e-09,6.535735057570584150e-01,9.347016712577315161e-10
1.584893192461114125e-02,2.186417737179141900e-09,6.456490611206233687e-01,9.114360233879276419e-10
1.621810097358929864e-02,2.184651372145978653e-09,6.376540201515006334e-01,8.882850359634792459e-10
1.659586907437561251e-02,2.182886434125310308e-09,6.295978570089388882e-01,8.652819097940097588e-10
