k, T, P_m
1.445439770745927987e-03,9.841654618270143651e-01,2.802113240526282971e+04
1.479108388168207241e-03,9.835464950987717891e-01,2.861463645768583956e+04
1.513561248436207226e-03,9.829056143397540968e-01,2.921938521346375273e+04
1.548816618912481112e-03,9.822421679388821936e-01,2.983551863385397883e+04
1.584893192461114082e-03,9.815554912492017170e-01,3.046317438080689681e+04
1.621810097358929734e-03,9.808449066329369970e-01,3.110248754722100421e+04
1.659586907437559777e-03,9.801097235228695137e-01,3.175359037543802697e+04
1.698243652461744243e-03,9.793492385004349821e-01,3.241661196376513908e+04
1.737800828749376265e-03,9.785627353908742387e-01,3.309167796082003770e+04
1.778279410038922752e-03,9.777494853757477955e-01,3.377891024750787619e+04
1.819700858609982642e-03,9.769087471230512021e-01,3.447842660644866555e+04
1.862087136662867555e-03,9.760397669351293937e-01,3.519034037868679297e+04
1.905460717963248195e-03,9.751417789145103709e-01,3.591476010752714501e+04
1.949844599758045584e-03,9.742140051477156115e-01,3.665178916935418238e+04
1.995262314968878920e-03,9.732556559070230096e-01,3.740152539130455989e+04
2.041737944669529733e-03,9.722659298700745412e-01,3.816406065567539190e+04
2.089296130854040746e-03,9.712440143571224871e-01,3.893948049096357863e+04
2.137962089502232644e-03,9.701890855856077911e-01,3.972786364944365778e+04
2.187761623949552054e-03,9.691003089416498906e-01,4.052928167120288708e+04
2.238721138568339902e-03,9.679768392678993472e-01,4.134379843456132221e+04
2.290867652767774546e-03,9.668178211670744870e-01,4.217146969281413476e+04
2.344228815319922537e-03,9.656223893203476072e-01,4.301234259723925061e+04
2.398832919019489897e-03,9.643896688195920941e-01,4.386645520631744876e+04
2.454708915685031162e-03,9.631187755123159500e-01,4.473383598111195897e+04
2.511886431509582039e-03,9.618088163579252559e-01,4.561450326675231190e+04
2.570395782768864542e-03,9.604588897937388348e-01,4.650846475995970832e+04
2.630267991895381303e-03,9.590680861089601050e-01,4.741571696253731352e+04
2.691534803926913955e-03,9.576354878245526558e-01,4.833624462073089671e+04
2.754228703338165978e-03,9.561601700767053957e-01,4.927002015033803036e+04
2.818382931264454792e-03,9.546412010012734761e-01,5.021700304741030413e+04
2.884031503126605490e-03,9.530776421162673318e-01,5.117713928434814443e+04
2.951209226666384224e-03,9.514685486991167895e-01,5.215036069113381382e+04
3.019951720402016138e-03,9.498129701550666049e-01,5.313658432137976342e+04
3.090295432513592063e-03,9.481099503726516664e-01,5.413571180278929387e+04
3.162277660168379394e-03,9.463585280617720086e-01,5.514762867152984836e+04
3.235936569296281144e-03,9.445577370694142605e-01,5.617220368990455609e+04
3.311311214825910908e-03,9.427066066675662270e-01,5.720928814657509065e+04
3.388441561392027332e-03,9.408041618073283985e-01,5.825871513843339926e+04
3.467368504525316676e-03,9.388494233326494243e-01,5.932029883304287796e+04
3.548133892335753221e-03,9.368414081464995213e-01,6.039383371036494646e+04
3.630780547701014001e-03,9.347791293216396458e-01,6.147909378225594264e+04
3.715352290971727939e-03,9.326615961474563621e-01,6.257583178795729327e+04
3.801893963205612691e-03,9.304878141036054817e-01,6.368377836351008591e+04
3.890451449942804868e-03,9.282567847504544778e-01,6.480264118269608298e+04
3.981071705534973415e-03,9.259675055255306431e-01,6.593210406674645492e+04
4.073802778041130286e-03,9.236189694343817091e-01,6.707182605965987023e+04
4.168693834703355271e-03,9.212101646234439611e-01,6.822144046553691442e+04
4.265795188015925922e-03,9.187400738217150753e-01,6.938055384386573860e+04
4.365158322401660983e-03,9.162076736372422037e-01,7.054874495818851574e+04
4.466835921509634821e-03,9.136119336937029711e-01,7.172556367303988372e+04
4.570881896148752156e-03,9.109518155916935811e-01,7.291052979348793451e+04
4.677351412871981126e-03,9.082262716787876666e-01,7.410313184102493688e+04
4.786300923226380170e-03,9.054342436120297322e-01,7.530282575896747585e+04
4.897788193684460972e-03,9.025746606963392926e-01,7.650903353994632198e+04
5.011872336272724625e-03,8.996464379823907453e-01,7.772114176751239575e+04
5.128613839913647929e-03,8.966484741079688847e-01,7.893850006338630919e+04
5.248074602497722861e-03,8.935796488677051341e-01,8.016041943146511039e+04
5.370317963702526953e-03,8.904388204975569598e-01,8.138617048941487155e+04
5.495408738576248141e-03,8.872248226625626399e-01,8.261498157856837497e+04
5.623413251903490971e-03,8.839364611394329163e-01,8.384603674298558326e+04
5.754399373371566623e-03,8.805725101896202389e-01,8.507847356898490398e+04
5.888436553555889859e-03,8.771317086238504812e-01,8.631138087732346321e+04
6.025595860743580487e-03,8.736127555659329857e-01,8.754379626158933388e+04
6.165950018614822260e-03,8.700143059322914540e-01,8.877470346841446008e+04
6.309573444801930275e-03,8.663349656543291033e-01,9.000302961795915326e+04
6.456542290346555836e-03,8.625732866838288215e-01,9.122764226694230456e+04
6.606934480075964296e-03,8.587277618373926336e-01,9.244734632148854143e+04
6.760829753919818386e-03,8.547968195548194537e-01,9.366088081344684178e+04
6.918309709189362708e-03,8.507788186686335852e-01,9.486691556184570072e+04
7.079457843841380389e-03,8.466720433080257013e-01,9.606404775102720305e+04
7.244359600749906113e-03,8.424746980904906923e-01,9.725079846900423581e+04
7.413102413009176744e-03,8.381849037886055509e-01,9.842560926393499540e+04
7.585775750291835935e-03,8.338006936976630756e-01,9.958683879352659278e+04
7.762471166286919952e-03,8.293200109720558766e-01,1.007327596617992822e+05
7.943282347242820729e-03,8.247407072438451836e-01,1.018615555600268126e+05
8.128305161640994592e-03,8.200605428849597756e-01,1.029713188537232199e+05
8.317637711026708985e-03,8.152771893235357670e-01,1.040600487850035424e+05
8.511380382023758795e-03,8.103882338730148405e-01,1.051256504889670759e+05
8.709635899560804612e-03,8.053911875770375373e-01,1.061659350530858210e+05
8.912509381337458889e-03,8.002834966103608005e-01,1.071786208786745701e+05
9.120108393559096804e-03,7.950625578015395600e-01,1.081613366316414031e+05
9.332543007969904686e-03,7.897257388515953602e-01,1.091116260936227627e+05
9.549925860214358853e-03,7.842704038081178552e-01,1.100269552414665814e+05
9.772372209558111839e-03,7.786939443093008340e-01,1.109047218894650578e+05
1.000000000000000021e-02,7.729938170299663902e-01,1.117422682208774349e+05
1.023292992280754737e-02,7.671675876344831169e-01,1.125368965088996047e+05
1.047128548050899575e-02,7.612129813632007025e-01,1.132858882780300337e+05
1.071519305237607009e-02,7.551279401448508510e-01,1.139865270807112101e+05
1.096478196143185063e-02,7.489106858354311891e-01,1.146361249579715222e+05
1.122018454301963036e-02,7.425597888364465771e-01,1.152320525147148437e+05
1.148153621496882971e-02,7.360742409495465433e-01,1.157717723706108081e+05
1.174897554939529146e-02,7.294535308944172236e-01,1.162528755493557255e+05
1.202264434617413176e-02,7.226977204734430504e-01,1.166731201490445965e+05
