T_Gyr,deriveeP_initial
1.7112905338858272e-05,-0.2025672387734905
1.7254349846258365e-05,-0.2040811004106263
1.7396963444954032e-05,-0.2056061489531575
1.7540755797918325e-05,-0.20714246591177157
1.7685736647992227e-05,-0.2086901333790229
1.7831915818545073e-05,-0.210249234034163
1.7979303214139837e-05,-0.21181985115250843
1.8127908821204526e-05,-0.21340206860180588
1.8277742708708524e-05,-0.21499597084776914
1.8428815028845104e-05,-0.216601642959782
1.8581136017719166e-05,-0.21821917062097046
1.8734715996040744e-05,-0.21984864012147914
1.888956536982437e-05,-0.2214901383670385
1.904569463109421e-05,-0.22314375288961572
1.9203114358594916e-05,-0.22480957184370093
1.9361835218508253e-05,-0.22648768401131472
1.9521867965176063e-05,-0.22817817881124555
1.9683223441828802e-05,-0.22988114629832987
1.9845912581320174e-05,-0.23159667717112337
2.0009946406867965e-05,-0.23332486277966272
2.017533603280103e-05,-0.23506579511776896
2.0342092665312272e-05,-0.23681956684124006
2.0510227603217803e-05,-0.23858627126460907
2.0679752238722813e-05,-0.24036600236990907
2.085067805819312e-05,-0.2421588548060828
2.1023016642933785e-05,-0.24396492390009714
2.119677966997348e-05,-0.24578430565504927
2.137197891285597e-05,-0.2476170967616986
2.1548626242437736e-05,-0.24946339459719247
2.1726733627692153e-05,-0.2513232972333677
2.190631313652077e-05,-0.25319690343978657
2.2087376936570637e-05,-0.2550843126924432
2.2269937296059113e-05,-0.25698562516848084
2.2454006584604727e-05,-0.25890094176785233
2.263959727406563e-05,-0.26083036409982346
2.282672193938451e-05,-0.26277399450155203
2.3015393259440473e-05,-0.264731936037553
2.3205624017908458e-05,-0.2667042925047867
2.339742710412502e-05,-0.2686911684396964
2.3590815513962044e-05,-0.2706926691187987
2.3785802350706945e-05,-0.2727089005729587
2.3982400825950788e-05,-0.2747399695786373
2.4180624260483345e-05,-0.27678598367928225
2.4380486085195516e-05,-0.27884705117568254
2.458199984198968e-05,-0.2809232811428622
2.478517918469686e-05,-0.2830147834293052
2.4990037880002262e-05,-0.2851216686614951
2.519658980837765e-05,-0.28724404825345573
2.5404848965022173e-05,-0.28938203440869414
2.5614829460810504e-05,-0.29153574012873706
2.5826545523248817e-05,-0.2937052792157603
2.60400114974389e-05,-0.29589076628019007
2.6255241847050228e-05,-0.29809231674255193
2.6472251155299872e-05,-0.3003100468476614
2.6691054125940437e-05,-0.3025440736581632
2.6911665584256655e-05,-0.3047945150693766
2.7134100478069734e-05,-0.30706148981535486
2.7358373878750057e-05,-0.3093451174652278
2.758450098223847e-05,-0.31164551843881033
2.7812497110076014e-05,-0.31396281400938797
2.8042377710441954e-05,-0.316297126308383
2.8274158359200306e-05,-0.3186485783318067
2.8507854760955612e-05,-0.3210172939456598
2.874348275011656e-05,-0.3234033978930627
2.8981058291969324e-05,-0.32580701580168886
2.9220597483758864e-05,-0.32822827418610706
2.946211655578001e-05,-0.3306673004546594
2.9705631872476987e-05,-0.33312422292061433
2.9951159933552057e-05,-0.33559917080034973
3.0198717375083864e-05,-0.33809227422657223
3.0448320970654176e-05,-0.34060366425125627
3.0699987632484874e-05,-0.34313347284912527
3.095373441258338e-05,-0.34568183293302923
3.1209578503898464e-05,-0.3482488783504309
3.1467537241484985e-05,-0.3508347438956918
3.1727628103678284e-05,-0.3534395653138095
3.1989868713278865e-05,-0.3560634793095801
3.2254276838745965e-05,-0.35870662355093375
3.252087039540197e-05,-0.3613691366776509
3.2789667446645805e-05,-0.36405115830916385
3.306068620517727e-05,-0.3667528290479659
3.333394503423087e-05,-0.3694742904882798
3.360946244881994e-05,-0.3722156852227021
3.388725711699126e-05,-0.37497715684926575
3.4167347861090065e-05,-0.3777588499789006
3.444975365903525e-05,-0.38056091023872385
3.4734493645605055e-05,-0.38338348428269536
3.502158711373395e-05,-0.3862267198002809
3.5311053515819666e-05,-0.38909076551879174
3.560291246504108e-05,-0.39197577121078286
3.5897183736687254e-05,-0.3948818877051484
3.6193887269497495e-05,-0.3978092668930428
3.649304316701217e-05,-0.40075806173214995
3.679467169893467e-05,-0.4037284262557961
3.709879330250526e-05,-0.40672051558242844
3.74054285838853e-05,-0.409734485920185
3.7714598319554e-05,-0.4127704945751821
3.8026323457715586e-05,-0.4158286999571109
3.8340625119719174e-05,-0.4189092615925519
3.865752460148967e-05,-0.4220123401262965
3.8977043374970455e-05,-0.4251380973304745
3.9299203089578796e-05,-0.4282866961140893
3.962402557367211e-05,-0.4314583005309445
3.9951532836027603e-05,-0.43465307578314616
4.028174706733286e-05,-0.4378711882359807
4.061469064168995e-05,-0.44111280541847697
4.095038611813123e-05,-0.44437809603532624
4.128885624214754e-05,-0.44766722997530867
4.163012394722998e-05,-0.4509803783164342
4.197421235642314e-05,-0.45431771333731574
4.232114478389245e-05,-0.45767940852241584
4.267094473650326e-05,-0.46106563857344096
4.302363591541409e-05,-0.4644765794119943
4.337924221768236e-05,-0.46791240819565943
4.373778773788324e-05,-0.47137330331988475
4.409929676974288e-05,-0.4748594444287182
4.4463793807783704e-05,-0.478371012424178
4.4831303548984815e-05,-0.4819081894726323
4.520185089445464e-05,-0.48547115901527044
4.557546095111876e-05,-0.48906010577474124
4.5952159033420835e-05,-0.492675215767538
4.633197066503758e-05,-0.4963166763082978
4.6714921580608356e-05,-0.49998467601906743
4.710103772747906e-05,-0.5036794048432682
4.7490345267460036e-05,-0.5074010540467663
4.7882870578598374e-05,-0.5111498162346223
4.827864025696581e-05,-0.5149258853534336
4.8677681118460476e-05,-0.5187294567050349
4.908002020062363e-05,-0.5225607269525709
4.9485684764471856e-05,-0.5264198941312687
4.989470229634433e-05,-0.5303071576589395
5.030710050976502e-05,-0.5342227183423351
5.0722907347320135e-05,-0.5381667783865657
5.114215098255214e-05,-0.5421395414081966
5.156485982186784e-05,-0.546141212441921
5.199106250646397e-05,-0.5501719979480008
5.2420787914266935e-05,-0.5542321058271397
5.285406516189021e-05,-0.5583217454261052
5.3290923606606926e-05,-0.5624411275485767
5.373139284833859e-05,-0.5665904644651142
5.4175502731661485e-05,-0.5707699699223237
5.462328334782794e-05,-0.5749798591548372
5.507476503680611e-05,-0.5792203488914561
5.5529978389334756e-05,-0.5834916573691719
5.5988954248996776e-05,-0.5877940043399776
5.645172371430875e-05,-0.5921276110840429
5.691831814082763e-05,-0.5964927004165284
5.7388769143276196e-05,-0.6008894967014046
5.786310859768412e-05,-0.605318225858985
5.834136864354876e-05,-0.6097791153769937
5.8823581686011874e-05,-0.6142723943229411
5.930978039805607e-05,-0.6187982933518361
5.9799997722718294e-05,-0.6233570447180061
6.0294266875321635e-05,-0.6279488822869211
6.0792621345726176e-05,-0.6325740415438115
6.129509490059831e-05,-0.6372327596050298
6.180172158569853e-05,-0.6419252752307433
6.231253572818768e-05,-0.646651828833865
6.282757193895376e-05,-0.6514126624904579
6.334686511495659e-05,-0.6562080199527579
6.387045044159202e-05,-0.661038146660399
6.439836339507628e-05,-0.6659032897493531
6.493063974484989e-05,-0.6708036980647636
6.546731555600109e-05,-0.6757396221720702
6.600842719170906e-05,-0.6807113143695118
6.655401131570862e-05,-0.6857190286960746
6.710410489477349e-05,-0.690763020947968
6.765874520122196e-05,-0.6958435486858339
6.82179698154413e-05,-0.700960871249265
6.87818166284351e-05,-0.7061152497668888
6.935032384439006e-05,-0.71130694716959
6.992352998326425e-05,-0.7165362282011247
7.050147388339809e-05,-0.7218033594307488
7.108419470414467e-05,-0.7271086092655247
7.16717319285242e-05,-0.7324522479618357
7.226412536589819e-05,-0.7378345476382999
7.286141515466763e-05,-0.7432557822862907
7.346364176499234e-05,-0.7487162277851297
7.407084600153256e-05,-0.7542161619116512
7.468306900621474e-05,-0.7597558643549989
7.530035226101804e-05,-0.7653356167274801
7.592273759078616e-05,-0.7709557025774496
7.655026716606002e-05,-0.7766164074040769
7.718298350593614e-05,-0.782318018666337
7.782092948094718e-05,-0.7880608258001301
7.846414831596613e-05,-0.7938451202281209
7.911268359313625e-05,-0.7996711953736404
7.976657925482272e-05,-0.8055393466739771
8.04258796065913e-05,-0.8114498715941395
8.109062932020905e-05,-0.8174030696390903
8.176087343667221e-05,-0.8233992423670102
8.243665736925755e-05,-0.8294386934044617
8.311802690659911e-05,-0.8355217284572515
8.380502821579095e-05,-0.8416486553261423
8.449770784551561e-05,-0.8478197839197418
8.519611272919778e-05,-0.8540354262679448
8.590029018818372e-05,-0.860295896535484
8.661028793494876e-05,-0.8666015110383242
8.73261540763295e-05,-0.8729525882533037
8.804793711678301e-05,-0.8793494488361383
8.877568596167371e-05,-0.8857924156336487
8.95094499205873e-05,-0.8922818136979982
9.024927871067156e-05,-0.8988179703024052
9.099522246000433e-05,-0.9054012149531052
9.174733171099136e-05,-0.912031879406787
9.250565742378935e-05,-0.9187102976817269
9.327025097976036e-05,-0.9254368060756678
9.404116418495172e-05,-0.9322117431791811
9.481844927360745e-05,-0.9390354498902246
9.560215891170707e-05,-0.945908269428573
9.639234620053328e-05,-0.9528305473530135
9.718906468027137e-05,-0.9598026315739323
9.799236833363537e-05,-0.9668248723695341
9.880231158952718e-05,-0.9738976224011909
9.961894932672298e-05,-0.981021236729134
0.00010044233687759312,-0.9881960728269675
0.00010127253003185006,-0.9954224905977666
0.00010210958504032904,-1.0027008523886518
0.0001029535586187993,-1.0100315230085049
0.00010380450795180686,-1.0174148697422534
0.00010466249069654948,-1.0248512623668113
0.00010552756498678278,-1.0323410731671157
0.00010639978943675946,-1.0398846769526582
0.00010727922314520082,-1.0474824510737653
0.00010816592569930096,-1.0551347754362173
0.00010905995717876426,-1.0628420325197243
0.0001099613781598761,-1.0706046073925692
0.00011087024971960722,-1.078422887729381
0.00011178663343975252,-1.0862972638269852
0.0001127105914111029,-1.09422812862088
0.0001136421862376528,-1.102215877703383
0.0001145814810408419,-1.1102609093382412
0.00011552853946383196,-1.118363624480064
0.00011648342567581906,-1.1265244267896
0.00011744620437638136,-1.1347437226514412
0.00011841694079986341,-1.1430219211910853
0.00011939570071979542,-1.1513594342930333
0.00012038255045335033,-1.1597566766176433
0.00012137755686583711,-1.1682140656177766
0.0001223807873752313,-1.1767320215578558
0.000123392309956743,-1.1853109675314113
0.00012441219314742266,-1.1939513294775321
0.00012544050605080463,-1.202653536200387
0.00012647731834159012,-1.211418019386089
0.0001275227002703671,-1.220245213621677
0.00012857672266837082,-1.2291355564121824
0.000129639456952283,-1.23808948820044
0.00013071097512907067,-1.2471074523835106
0.0001317913498008652,-1.2561898953328001
0.00013288065416988142,-1.2653372664123612
0.0001339789620433775,-1.2745500179966898
0.0001350863478386564,-1.2838286054898251
0.0001362028865881072,-1.293173487345105
0.0001373286539442897,-1.3025851250830316
0.00013846372618506018,-1.3120639833107648
0.00013960818021873953,-1.3216105297409357
0.00014076209358932464,-1.3312252352115233
0.0001419255444817421,-1.3409085737048294
0.0001430986117271459,-1.350661022366451
0.00014428137480825906,-1.3604830615262014
0.00014547391386475844,-1.370375174715476
0.00014667630969870512,-1.3803378486896192
0.00014788864378001922,-1.3903715734457385
0.00014911099825199987,-1.4004768422436216
0.00015034345593689118,-1.4106541516251876
0.00015158610034149365,-1.4209040014354166
0.00015283901566282238,-1.4312268948413935
0.00015410228679381248,-1.4416233383536532
0.00015537599932907015,-1.452093841846461
0.0001566602395706729,-1.4626389185778743
0.00015795509453401694,-1.4732590852101202
0.00015926065195371296,-1.48395486183154
0.00016057700028953076,-1.4947267719758917
0.0001619042287323929,-1.505575342644524
0.0001632424272104179,-1.5165011043262484
0.00016459168639501386,-1.5275045910196001
0.00016595209770702137,-1.5385863402528908
0.00016732375332290821,-1.5497468931062104
0.0001687067461810149,-1.5609867942325053
0.00017010116998785173,-1.5723065918796586
0.00017150711922444813,-1.58370683791082
0.00017292468915275426,-1.5951880878274163
0.00017435397582209533,-1.606750900790235
0.00017579507607568047,-1.6183958396414109
0.0001772480875571633,-1.6301234709261607
0.00017871310871725858,-1.6419343649150238
0.00018019023882041274,-1.6538290956263606
0.0001816795779515297,-1.6658082408482866
0.00018318122702275214,-1.6778723821605244
0.00018469528778029912,-1.6900221049577209
0.0001862218628113596,-1.7022579984714243
0.00018776105555104442,-1.7145806557927463
0.00018931297028939323,-1.7269906738952434
0.00019087771217844187,-1.739488653657483
0.00019245538723934659,-1.7520751998865343
0.00019404610236956792,-1.7647509213397576
0.00019564996535011346,-1.7775164307490352
0.00019726708485284068,-1.7903723448437605
0.00019889757044782075,-1.8033192843732975
0.00020054153261076158,-1.8163578741309176
0.00020219908273049392,-1.829488742977638
0.0002038703331165185,-1.8427125238648394
0.00020555539700661577,-1.8560298538582571
0.00020725438857451835,-1.869441374161794
0.00020896742293764712,-1.8829477301413915
0.00021069461616491094,-1.8965495713482552
0.00021243608528457181,-1.9102475515435455
0.00021419194829217314,-1.9240423287219055
0.0002159623241585354,-1.9379345651357944
0.00021774733283781705,-1.9519249273194907
0.00021954709527564212,-1.9660140861135802
0.00022136173341729507,-1.980202716688856
0.00022319137021598336,-1.9944914985716515
0.00022503612964116802,-2.008881115666898
0.0002268961366869644,-2.023372256284282
0.0002287715173806098,-2.037965613161509
0.00023066239879100363,-2.052661883490018
0.00023256890903731686,-2.067461768939152
0.0002344911772976729,-2.082365975681252
0.00023642933381790027,-2.0973752144166857
0.0002383835099203575,-2.112490200398531
0.0002403538380128309,-2.1277116534577605
0.00024234045159750694,-2.143040298028687
0.0002443434852800164,-2.158476863173481
0.00024636307477855595,-2.174022082608026
0.0002483993569330831,-2.189676694726958
0.00025045246971458864,-2.205441442629108
0.0002525225522344447,-2.2213170741425827
0.00025460974475383037,-2.237304341850796
0.0002567141886932352,-2.2534040031174274
0.00025883602664204233,-2.2696168201128915
0.00026097540236818823,-2.2859435598385924
0.0002631324608279049,-2.302384994153697
0.0002653073481755413,-2.318941899800713
0.00026750021177346633,-2.3356150584304625
0.0002697112002020535,-2.3524052566289897
0.0002719404632697482,-2.369313285942601
0.00027418815202321793,-2.3863399429040357
0.00027645441875758756,-2.403486029058217
0.00027873941702675695,-2.4207523509883155
0.0002810433016538062,-2.438139720341933
0.00028336622874148534,-2.4556489538562816
0.0002857083556827918,-2.4732808733853973
0.00028806984117163426,-2.491036305924926
0.00029045084521358547,-2.508916083639149
0.0002928515291367233,-2.5269210438862677
0.0002952720556025629,-2.5450520292454426
0.0002977125886170761,-2.5633098875415428
0.0003001732935418054,-2.5816954718725262
0.00030265433710506757,-2.600209640634546
0.00030515588741325094,-2.618853257548934
0.0003076781139622053,-2.6376271916873164
0.00031022118764872654,-2.656532317498183
0.00031278528078213566,-2.6755695148333642
0.0003153705670959549,-2.694739668972987
0.0003179772217596777,-2.714043670652603
0.00032060542139063843,-2.73348241608842
0.0003232553440659794,-2.75305680700366
0.00032592716933471644,-2.7727677506541317
0.0003286210782299045,-2.7926161598547883
0.00033133725328090364,-2.812602953004637
0.0003340758785257477,-2.8327290541135848
0.000336837139523612,-2.8529953928272613
0.0003396212233673878,-2.8734029044531817
0.00034242831869635835,-2.8939525299864393
0.0003452586157089804,-2.914645216135265
0.0003481123061757717,-2.935481915346167
0.0003509895834523042,-2.956463585829848
0.0003538906424923052,-2.9775911915862303
0.0003568156798608677,-2.998865702429825
0.00035976489374776714,-3.02028809401498
0.00036273848398089126,-3.041859347860815
0.00036573665203977934,-3.063580451376278
0.00036875960106927386,-3.0854523978849886
0.0003718075358932846,-3.1074761866497935
0.0003748806630286669,-3.129652822897855
0.0003779791906992143,-3.151983317844521
0.00038,-3.166531086923548
0.0003811033288497681,-3.1744686887182687
0.0003842532891604406,-3.1971099587845395
0.00038742928506095884,-3.2199081573698427
0.00039063153174512597,-3.242864319885713
0.00039386024618540155,-3.265979487852631
0.000397115647147603,-3.289254708923205
0.00040039795520572824,-3.3126910369058624
0.00040370739275690084,-3.33628953178803
0.0004070441840364401,-3.360051259758944
0.00041040855513305223,-3.3839772932323786
0.0004138007340041509,-3.408068710869813
