file,status,reason,elapsed_sec,out_path,out_size
zz-scripts/chapter08/plot_fig03_mu_vs_z.py,FAIL,SyntaxError: unexpected character after line continuation character,0.03,zz-out/pass14_run/zz-scripts/chapter08/plot_fig03_mu_vs_z.out,0
zz-scripts/chapter08/plot_fig04_chi2_heatmap.py,FAIL,SyntaxError: invalid syntax,0.03,zz-out/pass14_run/zz-scripts/chapter08/plot_fig04_chi2_heatmap.out,0
zz-scripts/chapter08/plot_fig05_residuals.py,OK,,1.42,zz-out/pass14_run/zz-scripts/chapter08/plot_fig05_residuals.out,36
zz-scripts/chapter08/plot_fig06_normalized_residuals_distribution.py,OK,,1.78,zz-out/pass14_run/zz-scripts/chapter08/plot_fig06_normalized_residuals_distribution.out,32
zz-scripts/chapter08/plot_fig07_chi2_profile.py,OK,,0.90,zz-out/pass14_run/zz-scripts/chapter08/plot_fig07_chi2_profile.out,39
zz-scripts/chapter08/utils/cosmo.py,OK,,0.36,zz-out/pass14_run/zz-scripts/chapter08/utils/cosmo.out,1009
zz-scripts/chapter08/utils/coupling_example_model.py,OK,,1.02,zz-out/pass14_run/zz-scripts/chapter08/utils/coupling_example_model.out,112
zz-scripts/chapter08/utils/extract_bao_data.py,FAIL,FileNotFoundError: [Errno 2] No such file or directory: '/home/jplal/MCGT/zz-data/chapter08/bao_distances_DR12v5.dat',0.36,zz-out/pass14_run/zz-scripts/chapter08/utils/extract_bao_data.out,0
zz-scripts/chapter08/utils/extract_pantheon_plus_data.py,FAIL,FileNotFoundError: [Errno 2] No such file or directory: '/home/jplal/MCGT/zz-data/chapter08/pantheon_plus_sh0es.dat',0.33,zz-out/pass14_run/zz-scripts/chapter08/utils/extract_pantheon_plus_data.out,0
zz-scripts/chapter08/utils/generate_coupling_milestones.py,FAIL,FileNotFoundError: [Errno 2] No such file or directory: '/home/jplal/MCGT/zz-scripts/zz-data/chapter08/08_bao_data.csv',0.35,zz-out/pass14_run/zz-scripts/chapter08/utils/generate_coupling_milestones.out,0
zz-scripts/chapter08/utils/verify_z_grid.py,FAIL,,0.09,zz-out/pass14_run/zz-scripts/chapter08/utils/verify_z_grid.out,111
zz-scripts/chapter09/apply_poly_unwrap_rebranch.py,NEEDS_INPUT,apply_poly_unwrap_rebranch.py: error: the following arguments are required: --csv,0.32,zz-out/pass14_run/zz-scripts/chapter09/apply_poly_unwrap_rebranch.out,0
zz-scripts/chapter09/check_p95_methods.py,NEEDS_INPUT,check_p95_methods.py: error: the following arguments are required: --csv,0.61,zz-out/pass14_run/zz-scripts/chapter09/check_p95_methods.out,0
zz-scripts/chapter09/extract_phenom_phase.py,FAIL,ModuleNotFoundError: No module named 'pycbc',0.31,zz-out/pass14_run/zz-scripts/chapter09/extract_phenom_phase.out,0
zz-scripts/chapter09/fetch_gwtc3_confident.py,OK,,0.75,zz-out/pass14_run/zz-scripts/chapter09/fetch_gwtc3_confident.out,484
zz-scripts/chapter09/flag_jalons.py,NEEDS_INPUT,flag_jalons.py: error: the following arguments are required: --csv, --meta,0.37,zz-out/pass14_run/zz-scripts/chapter09/flag_jalons.out,0
zz-scripts/chapter09/generate_data_chapter09.py,FAIL,TypeError: float() argument must be a string or a real number, not 'NoneType',0.41,zz-out/pass14_run/zz-scripts/chapter09/generate_data_chapter09.out,0
zz-scripts/chapter09/generate_mcgt_raw_phase.py,FAIL,SyntaxError: unmatched ')',0.03,zz-out/pass14_run/zz-scripts/chapter09/generate_mcgt_raw_phase.out,0
zz-scripts/chapter09/opt_poly_rebranch.py,NEEDS_INPUT,opt_poly_rebranch.py: error: the following arguments are required: --csv, --meta,0.38,zz-out/pass14_run/zz-scripts/chapter09/opt_poly_rebranch.out,0
zz-scripts/chapter09/plot_fig01_phase_overlay.py,FAIL,IndentationError: expected an indented block after function definition on line 48,0.03,zz-out/pass14_run/zz-scripts/chapter09/plot_fig01_phase_overlay.out,0
zz-scripts/chapter09/plot_fig02_residual_phase.py,FAIL,IndentationError: expected an indented block after 'if' statement on line 59,0.03,zz-out/pass14_run/zz-scripts/chapter09/plot_fig02_residual_phase.out,0
zz-scripts/chapter09/plot_fig03_hist_absdphi_20_300.py,FAIL,SyntaxError: invalid syntax,0.03,zz-out/pass14_run/zz-scripts/chapter09/plot_fig03_hist_absdphi_20_300.out,0
zz-scripts/chapter09/plot_fig04_absdphi_milestones_vs_f.py,FAIL,IndentationError: expected an indented block after function definition on line 68,0.03,zz-out/pass14_run/zz-scripts/chapter09/plot_fig04_absdphi_milestones_vs_f.out,0
zz-scripts/chapter09/plot_fig05_scatter_phi_at_fpeak.py,FAIL,SyntaxError: unmatched ')',0.02,zz-out/pass14_run/zz-scripts/chapter09/plot_fig05_scatter_phi_at_fpeak.out,0
zz-scripts/chapter10/add_phi_at_fpeak.py,FAIL,ImportError: cannot import name 'phi_mcgt' from 'mcgt.phase' (/home/jplal/MCGT/mcgt/phase.py),0.40,zz-out/pass14_run/zz-scripts/chapter10/add_phi_at_fpeak.out,0
zz-scripts/chapter10/bootstrap_topk_p95.py,NEEDS_INPUT,bootstrap_topk_p95.py: error: the following arguments are required: --best, --out,0.32,zz-out/pass14_run/zz-scripts/chapter10/bootstrap_topk_p95.out,0
zz-scripts/chapter10/check_metrics_consistency.py,NEEDS_INPUT,check_metrics_consistency.py: error: the following arguments are required: --results, --manifest,0.33,zz-out/pass14_run/zz-scripts/chapter10/check_metrics_consistency.out,0
zz-scripts/chapter10/diag_phi_fpeak.py,FAIL,ImportError: cannot import name 'phi_mcgt' from 'mcgt.phase' (/home/jplal/MCGT/mcgt/phase.py),0.50,zz-out/pass14_run/zz-scripts/chapter10/diag_phi_fpeak.out,0
zz-scripts/chapter10/eval_primary_metrics_20_300.py,FAIL,ModuleNotFoundError: No module named 'joblib',0.31,zz-out/pass14_run/zz-scripts/chapter10/eval_primary_metrics_20_300.out,0
zz-scripts/chapter10/generate_data_chapter10.py,FAIL,FileNotFoundError: Script manquant (samples) : /home/jplal/MCGT/zz-scripts/chapter10/generate_8d_samples.py,0.07,zz-out/pass14_run/zz-scripts/chapter10/generate_data_chapter10.out,0
zz-scripts/chapter10/inspect_topk_residuals.py,FAIL,ImportError: cannot import name 'phi_mcgt' from 'mcgt.phase' (/home/jplal/MCGT/mcgt/phase.py),0.72,zz-out/pass14_run/zz-scripts/chapter10/inspect_topk_residuals.out,0
zz-scripts/chapter10/plot_fig01_iso_p95_maps.py,NEEDS_INPUT,plot_fig01_iso_p95_maps.py: error: the following arguments are required: --results, --out,0.57,zz-out/pass14_run/zz-scripts/chapter10/plot_fig01_iso_p95_maps.out,0
zz-scripts/chapter10/plot_fig02_scatter_phi_at_fpeak.py,NEEDS_INPUT,plot_fig02_scatter_phi_at_fpeak.py: error: the following arguments are required: --results, --out,0.64,zz-out/pass14_run/zz-scripts/chapter10/plot_fig02_scatter_phi_at_fpeak.out,0
zz-scripts/chapter10/plot_fig03_convergence_p95_vs_n.py,NEEDS_INPUT,plot_fig03_convergence_p95_vs_n.py: error: the following arguments are required: --results, --out,0.71,zz-out/pass14_run/zz-scripts/chapter10/plot_fig03_convergence_p95_vs_n.out,0
zz-scripts/chapter10/plot_fig03b_bootstrap_coverage_vs_n.py,NEEDS_INPUT,plot_fig03b_bootstrap_coverage_vs_n.py: error: the following arguments are required: --results, --out,0.60,zz-out/pass14_run/zz-scripts/chapter10/plot_fig03b_bootstrap_coverage_vs_n.out,0
zz-scripts/chapter10/plot_fig04_scatter_p95_recalc_vs_orig.py,NEEDS_INPUT,plot_fig04_scatter_p95_recalc_vs_orig.py: error: the following arguments are required: --results, --out,0.66,zz-out/pass14_run/zz-scripts/chapter10/plot_fig04_scatter_p95_recalc_vs_orig.out,0
zz-scripts/chapter10/plot_fig05_hist_cdf_metrics.py,NEEDS_INPUT,plot_fig05_hist_cdf_metrics.py: error: the following arguments are required: --results, --out,0.57,zz-out/pass14_run/zz-scripts/chapter10/plot_fig05_hist_cdf_metrics.out,0
zz-scripts/chapter10/plot_fig06_residual_map.py,NEEDS_INPUT,plot_fig06_residual_map.py: error: the following arguments are required: --results, --out,0.61,zz-out/pass14_run/zz-scripts/chapter10/plot_fig06_residual_map.out,0
zz-scripts/chapter10/plot_fig07_synthesis.py,NEEDS_INPUT,plot_fig07_synthesis.py: error: the following arguments are required: --manifests, --out,0.43,zz-out/pass14_run/zz-scripts/chapter10/plot_fig07_synthesis.out,0
zz-scripts/chapter10/qc_wrapped_vs_unwrapped.py,FAIL,SyntaxError: unterminated string literal (detected at line 29),0.02,zz-out/pass14_run/zz-scripts/chapter10/qc_wrapped_vs_unwrapped.out,0
zz-scripts/chapter10/recompute_p95_circular.py,FAIL,IndentationError: expected an indented block after 'if' statement on line 54,0.02,zz-out/pass14_run/zz-scripts/chapter10/recompute_p95_circular.out,0
zz-scripts/chapter10/regen_fig05_using_circp95.py,NEEDS_INPUT,regen_fig05_using_circp95.py: error: the following arguments are required: --results,0.63,zz-out/pass14_run/zz-scripts/chapter10/regen_fig05_using_circp95.out,0
zz-scripts/chapter10/update_manifest_with_hashes.py,FAIL,,0.06,zz-out/pass14_run/zz-scripts/chapter10/update_manifest_with_hashes.out,60
zz-scripts/manifest_tools/populate_manifest.py,NEEDS_INPUT,populate_manifest.py: error: the following arguments are required: manifest,0.04,zz-out/pass14_run/zz-scripts/manifest_tools/populate_manifest.out,0
zz-scripts/manifest_tools/verify_manifest.py,NEEDS_INPUT,verify_manifest.py: error: the following arguments are required: manifest,0.04,zz-out/pass14_run/zz-scripts/manifest_tools/verify_manifest.out,0
