event,f_Hz,phi_ref_at_fpeak,phi_mcgt_at_fpeak,phi_mcgt_at_fpeak_raw,phi_mcgt_at_fpeak_cal,obs_phase,sigma_phase,epsilon_rel,classe,variant
GW200219_094415-v1,67.356155,1.4156521055022013,1.2164584722329064,3.1463177275914744,1.2164584722329064,1.612110872576291,0.08060554362881456,-0.2454250554808915,ordre2,calibrated
GW200220_061928-v1,30.599254,1.0612457666084256,1.341873856129641,2.696619518618239,1.341873856129641,1.631797605682819,0.01631797605682819,-0.17767139046135602,primaire,calibrated
GW200220_124850-v1,66.703545,1.4134626466868039,1.213167301036531,3.1328155518862344,1.213167301036531,1.6174733740861884,0.08087366870430943,-0.2499615013929211,ordre2,calibrated
GW200225_060421-v1,131.351932,1.52236909231567,1.627652047995119,4.558815554736995,1.627652047995119,1.6171840925050143,0.08085920462525072,0.006472952299382336,ordre2,calibrated
GW200302_015811-v1,76.804679,1.442540516411849,1.269674285495445,3.3473690339756486,1.269674285495445,1.7877294091708307,0.08938647045854153,-0.2897838571194426,ordre2,calibrated
GW200306_093714-v1,102.215784,1.4896812569989464,1.4350281071381161,3.910315457218385,1.4350281071381161,1.7376669205083766,0.08688334602541883,-0.17416388019961823,ordre2,calibrated
GW200308_173609-v1,47.17362,1.3119055269929967,1.1620595363254222,2.7761345470580925,1.1620595363254222,2.049942803959269,0.02049942803959269,-0.4331258735214392,primaire,calibrated
GW200311_115853-v1,71.346897,1.4279626213636136,1.2378655621730161,3.2301656084414896,1.2378655621730161,1.598064128016438,0.07990320640082191,-0.2253968157651536,ordre2,calibrated
GW200316_215756-v1,203.397719,1.5643959906591223,2.046940848002254,6.1053623739311815,2.046940848002254,1.7539061613749645,0.08769530806874823,0.1670754645149127,ordre2,calibrated
GW200322_091133-v1,65.559267,1.4095293298014884,1.2075124252988143,3.109256831865725,1.2075124252988143,2.399122661358161,0.11995613306790805,-0.49668583238873126,ordre2,calibrated
