event,f_Hz,phi_ref_at_fpeak,phi_mcgt_at_fpeak,phi_mcgt_at_fpeak_raw,phi_mcgt_at_fpeak_cal,obs_phase,sigma_phase,epsilon_rel,classe,variant,_abs_phase_diff_rad,_z_score,flag,flag_reason
GW200112_155838-v1,69.47849,1.4224019330105258,1.227605942692011,3.1906721244757335,1.227605942692011,1.6077499956906645,0.08038749978453322,-0.2364447544814636,ordre2,calibrated,2.931093922281569,0.6363830168387816,OK,
GW200115_042309-v2,549.568226,1.5755806299855755,3.1278394782512144,12.602587152741716,3.1278394782512144,2.8729884631503446,0.2872988463150345,0.0887058957492005,ordre2,calibrated,2.035516955545475,0.12365685873824712,WARN,f_peak hors fenêtre metrics
GW200128_022011-v1,59.490471,1.3855846380817534,1.1813919759904614,2.988181503963148,1.1813919759904614,1.6037958497796263,0.0801897924889813,-0.263377582531596,ordre2,calibrated,0.930782010622508,0.20258452104022864,OK,
GW200129_065458-v1,69.250532,1.4217133449170631,1.2263658086134488,3.1858652657594364,1.2263658086134488,1.62066844103828,0.081033422051914,-0.2432962982682759,ordre2,calibrated,2.5408645398772762,0.5472612527657873,OK,
GW200202_154313-v1,251.360656,1.5754603583204743,2.277708242206448,7.086577609825458,2.277708242206448,1.6220214281811252,0.08110107140905629,0.4042405375375257,ordre2,calibrated,0.13102471704720742,0.02819707155819832,OK,
GW200208_130117-v1,67.659127,1.4166597842536883,1.2179969433266313,3.152596623223683,1.2179969433266313,1.6210854991316817,0.0810542749565841,-0.2486534831265597,ordre2,calibrated,2.037468211065402,0.43872490015927806,OK,
GW200208_222617-v1,48.654178,1.3234025962281104,1.1607559708474282,2.7979964010705056,1.1607559708474282,3.6993597828553617,0.036993597828553625,-0.6862278775297991,primaire,calibrated,0.9380222187463723,0.4425516071689091,OK,
GW200209_085452-v1,70.82217,1.4264566049892842,1.2349205653818613,3.2190105171637,1.2349205653818613,1.6053869988761313,0.08026934994380656,-0.2307645656490423,ordre2,calibrated,2.3766071689469115,0.5167554010797771,OK,
GW200210_092254-v1,160.497016,1.543991135282328,1.80827199161496,5.195451471350236,1.80827199161496,4.3378967919551235,0.2168948395977562,-0.5831454554270393,ordre2,calibrated,0.423562745984416,0.03408363481550036,OK,
GW200216_220804-v1,54.29842,1.3597589286419385,1.1660850453484086,2.8916376076428913,1.1660850453484086,1.705885559416509,0.08529427797082546,-0.3164341893208457,ordre2,calibrated,0.48763530080355366,0.09978209266143338,OK,
GW200219_094415-v1,67.356155,1.4156521055022013,1.2164584722329064,3.146317727591474,1.2164584722329064,1.612110872576291,0.08060554362881456,-0.2454250554808915,ordre2,calibrated,2.4635285348220037,0.533420931288223,OK,
GW200220_061928-v1,30.599254,1.0612457666084256,1.341873856129641,2.696619518618239,1.341873856129641,1.631797605682819,0.01631797605682819,-0.177671390461356,primaire,calibrated,2.238148691533773,2.3938669648998228,OK,
GW200220_124850-v1,66.703545,1.4134626466868039,1.213167301036531,3.1328155518862344,1.213167301036531,1.6174733740861884,0.08087366870430943,-0.2499615013929211,ordre2,calibrated,1.9677096114650112,0.4246500992649145,OK,
GW200225_060421-v1,131.351932,1.52236909231567,1.6276520479951193,4.558815554736995,1.6276520479951193,1.6171840925050143,0.08085920462525072,0.0064729522993823,ordre2,calibrated,0.5997696697138224,0.1294590459876498,OK,
GW200302_015811-v1,76.804679,1.442540516411849,1.269674285495445,3.3473690339756486,1.269674285495445,1.7877294091708307,0.08938647045854153,-0.2897838571194426,ordre2,calibrated,1.7335543941704472,0.3384878246727852,OK,
GW200306_093714-v1,102.215784,1.4896812569989464,1.4350281071381161,3.910315457218385,1.4350281071381161,1.7376669205083766,0.08688334602541883,-0.1741638801996182,ordre2,calibrated,1.5096291985754462,0.30325719720412686,OK,
GW200308_173609-v1,47.17362,1.3119055269929967,1.1620595363254222,2.7761345470580925,1.1620595363254222,2.049942803959269,0.02049942803959269,-0.4331258735214392,primaire,calibrated,0.6064814782672521,0.5163606822435179,OK,
GW200311_115853-v1,71.346897,1.4279626213636136,1.2378655621730161,3.230165608441489,1.2378655621730161,1.598064128016438,0.07990320640082191,-0.2253968157651536,ordre2,calibrated,1.7883016879544087,0.3906195242930276,OK,
GW200316_215756-v1,203.397719,1.5643959906591223,2.046940848002254,6.1053623739311815,2.046940848002254,1.7539061613749645,0.08769530806874823,0.1670754645149127,ordre2,calibrated,2.0599051268563997,0.40996636575096107,OK,
GW200322_091133-v1,65.559267,1.4095293298014884,1.2075124252988143,3.109256831865725,1.2075124252988143,2.399122661358161,0.11995613306790805,-0.4966858323887312,ordre2,calibrated,0.840801028187169,0.1223342727104438,OK,
