w0,wa,omega_m,chi2_total,chi2_sn,chi2_bao,chi2_cmb,accepted
-3.466424104862039224e-01,-2.279907566565048338e+00,3.063493022772835195e-01,1.214678639907142951e+03,1.004605841037084701e+03,2.065112403736290503e+02,3.561558496429116261e+00,1.000000000000000000e+00
-3.466424104862039224e-01,-2.279907566565048338e+00,3.063493022772835195e-01,1.214678639907142951e+03,1.004605841037084701e+03,2.065112403736290503e+02,3.561558496429116261e+00,0.000000000000000000e+00
-3.466424104862039224e-01,-2.279907566565048338e+00,3.063493022772835195e-01,1.214678639907142951e+03,1.004605841037084701e+03,2.065112403736290503e+02,3.561558496429116261e+00,0.000000000000000000e+00
-3.732375931339181885e-01,-2.343465718651232432e+00,3.067842902933273219e-01,1.213740779600124370e+03,1.035056990123740434e+03,1.781104232007619714e+02,5.733662756218944612e-01,1.000000000000000000e+00
-3.732375931339181885e-01,-2.343465718651232432e+00,3.067842902933273219e-01,1.213740779600124370e+03,1.035056990123740434e+03,1.781104232007619714e+02,5.733662756218944612e-01,0.000000000000000000e+00
-3.301831321193858249e-01,-2.391374853326345917e+00,3.194792080889164998e-01,1.210213520204402585e+03,9.867019484452019924e+02,2.235106647647080820e+02,9.069944925106103624e-04,1.000000000000000000e+00
-3.479085285809527250e-01,-2.561239371710769763e+00,3.164008422056800440e-01,1.204386514500696194e+03,1.018051541425802725e+03,1.852143149847001951e+02,1.120658090193296097e+00,1.000000000000000000e+00
-3.479085285809527250e-01,-2.561239371710769763e+00,3.164008422056800440e-01,1.204386514500696194e+03,1.018051541425802725e+03,1.852143149847001951e+02,1.120658090193296097e+00,0.000000000000000000e+00
-3.479085285809527250e-01,-2.561239371710769763e+00,3.164008422056800440e-01,1.204386514500696194e+03,1.018051541425802725e+03,1.852143149847001951e+02,1.120658090193296097e+00,0.000000000000000000e+00
-3.252484983626052206e-01,-2.525031177908784397e+00,3.169352510770431786e-01,1.202241988150082534e+03,9.940757384913766828e+02,2.080182632669053362e+02,1.479863918003929968e-01,1.000000000000000000e+00
-3.532217053488392322e-01,-2.567221110057837485e+00,3.106439504918056538e-01,1.203455162381809259e+03,1.029868874594310455e+03,1.733141794487393952e+02,2.721083387592885261e-01,1.000000000000000000e+00
-3.532217053488392322e-01,-2.567221110057837485e+00,3.106439504918056538e-01,1.203455162381809259e+03,1.029868874594310455e+03,1.733141794487393952e+02,2.721083387592885261e-01,0.000000000000000000e+00
-3.532217053488392322e-01,-2.567221110057837485e+00,3.106439504918056538e-01,1.203455162381809259e+03,1.029868874594310455e+03,1.733141794487393952e+02,2.721083387592885261e-01,0.000000000000000000e+00
-3.532217053488392322e-01,-2.567221110057837485e+00,3.106439504918056538e-01,1.203455162381809259e+03,1.029868874594310455e+03,1.733141794487393952e+02,2.721083387592885261e-01,0.000000000000000000e+00
