R_over_R0,f_R,f_RR,m_s2_over_R0
6.357016614133867,1.0000055029070742,1.0500000000000005e-06,317459.945409406
6.5941227155803945,1.0000057537903175,1.0600000000000004e-06,314465.0201321505
6.840805248627418,1.0000060110101987,1.0600000000000004e-06,314465.01879139454
7.097449754312232,1.0000062873212108,1.0600000000000004e-06,314465.02013348136
7.36445733958453,1.000006564137207,1.0600000000000004e-06,314465.01818000834
7.642245304318218,1.0000068624195042,1.0700000000000001e-06,311526.07016106806
7.9312477936167545,1.0000071747270156,1.0700000000000001e-06,311526.0711189646
8.231916476432295,1.0000074954741844,1.0700000000000001e-06,311526.0708173067
8.544721251559812,1.0000078291932752,1.0742212374525567e-06,310301.8929457735
8.870150982110461,1.0000081768416993,1.0799999999999994e-06,308641.542308222
9.208714259612446,1.0000085490272945,1.0799999999999994e-06,308641.5443258934
9.56094019893435,1.0000089270343735,1.086622318870299e-06,306760.53692172974
9.927379265273656,1.0000093283359082,1.0900000000000004e-06,305809.9411292076
10.30860413450351,1.000009642150435,1.0900000000000004e-06,305809.91002199636
10.705210588222855,1.0000097822438743,1.0900000000000004e-06,305809.8206618755
11.117818444908778,1.0000096920688446,1.0900000000000004e-06,305809.6555494616
11.547072528627425,1.0000093145464937,1.0900000000000004e-06,305809.3970145068
11.993643676816852,1.0000085920974235,1.0900000000000004e-06,305809.02722502005
12.458229788718123,1.0000074666712526,1.0900000000000004e-06,305808.528195958
12.941556916093276,1.0000058797748543,1.0900000000000004e-06,305807.8817974971
13.444380397928414,1.000003772499312,1.0900000000000004e-06,305807.0697628985
13.96748604092636,1.0000010855456358,1.0900000000000004e-06,305806.07369597885
14.51169134756188,0.9999977592492787,1.0900000000000004e-06,305804.8750781987
15.07784679371849,0.9999937336034983,1.0900000000000004e-06,305803.45527538005
15.666837157820522,0.9999889482816046,1.0900000000000004e-06,305801.795544068
16.27958290357783,0.9999833426581358,1.0900000000000004e-06,305799.87703754456
16.917041618495215,0.9999768558290067,1.0900000000000004e-06,305797.6808115114
17.580209510395207,0.9999694266306671,1.0900000000000004e-06,305795.1878294497
18.270122964292568,0.999960993658315,1.0900000000000004e-06,305792.37896767084
18.987860162054684,0.9999514952832023,1.0900000000000004e-06,305789.23502006894
19.73454276737846,0.999940869669074,1.0900000000000004e-06,305785.73670258635
20.511337678714845,0.9999290547877788,1.0900000000000004e-06,305781.8646574033
21.31945885289686,0.9999159884340885,1.0900000000000004e-06,305777.5994568619
22.160169202275142,0.9999016082397645,1.0900000000000004e-06,305772.9216071357
23.034782568395862,0.9998858516869054,1.0900000000000004e-06,305767.8115516531
23.94466577524764,0.9998686561206119,1.0900000000000004e-06,305762.24967428646
