R_over_R0,f_R,f_RR,m_s2_over_R0,z,T_Gyr,hamiltonian_energy_proxy
7839.252391781769,0.9485813868746154,1.0900000000000004e-06,287472.96690139844,28.640792313690827,0.10930162266885192,-147529.36102016474
7535.436126052653,0.9494571112547732,1.0900000000000004e-06,287842.0446108182,28.252783916451413,0.11148342442589255,-147652.4120223132
7243.395165450132,0.950323370000861,1.0900000000000004e-06,288204.30252921104,27.869854182957468,0.11370877776790321,-147772.57298059438
6962.673124550047,0.9511801962596922,1.0900000000000004e-06,288559.9029216919,27.491936627095583,0.11597855204084868,-147889.930143226
6692.831306348986,0.9520276236768433,1.0900000000000004e-06,288909.0023097623,27.118965632768433,0.11829363394396357,-148004.5665366009
6433.448016708033,0.9528656863920686,1.0900000000000004e-06,289251.7516984271,26.750876442502108,0.12065492787614605,-148116.5620933314
6184.117905367679,0.9536944190347032,1.0900000000000004e-06,289588.2967944502,26.387605146203953,0.12306335628926607,-148225.9937751843
5944.451332500566,0.9545138567190662,1.0900000000000004e-06,289918.77821609797,26.029088670063913,0.12551986004852592,-148332.9356911127
5714.073759817474,0.9553240350398484,1.0900000000000004e-06,290243.3316946933,25.675264765604904,0.1280253988000143,-148437.45921057955
5492.6251652704705,0.9561249900675003,1.0900000000000004e-06,290562.08826830436,25.32607199887382,0.13058095134559694,-148539.63307236205
5279.759480440955,0.9569167583436122,1.0900000000000004e-06,290875.1744678689,24.981449739774625,0.13318751602529083,-148639.52348901832
5075.144049731995,0.957699376876295,1.0900000000000004e-06,291182.71249605104,24.64133815153933,0.13584611110727093,-148737.19424718936
4878.459110523745,0.9584728831355441,1.0900000000000004e-06,291484.8203991049,24.305678180341616,0.138557775185662,-148832.7068039019
4689.397293471208,0.9592373150486231,1.0900000000000004e-06,291781.6122320303,23.97441154503724,0.14132356758627077,-148926.12037903588
4507.6631421744505,0.959992710995423,1.0900000000000004e-06,292073.1982172638,23.647480727047643,0.1441445687804172,-149017.49204410476
4332.972651461675,0.9607391098038345,1.0900000000000004e-06,292359.6848971685,23.324828960370187,0.1470218808070263,-149106.87680750046
4165.052823568255,0.9614765507451137,1.0900000000000004e-06,292641.1752805578,23.006400221720707,0.14995662770314533,-149194.32769634237
4003.641241516826,0.9622050735292511,1.0900000000000004e-06,292917.76898348547,22.692139220804645,0.15294995594305485,-149279.89583506642
3848.485659031966,0.9629247183003401,1.0900000000000004e-06,293189.56236452446,22.38199139071523,0.1560030348861449,-149363.63052088508
3699.343606348646,0.9636355256319475,1.0900000000000004e-06,293456.6486547484,22.075902878457104,0.1591170572337313,-149445.57929624268
3555.9820112983866,0.9643375365224881,1.0900000000000004e-06,293719.1180826216,21.77382053559364,0.1622932394949908,-149525.78801838675
3418.1768350811667,0.9650307923906001,1.0900000000000004e-06,293977.0579939943,21.475691909016565,0.16553282246219678,-149604.30092617037
3285.7127221537107,0.9657153350705274,1.0900000000000004e-06,294230.55296739435,21.18146523183594,0.1688370716954411,-149681.16070419614
3158.3826636872286,0.9663912068075045,1.0900000000000004e-06,294479.6849247967,20.891089414389274,0.17220727801703198,-149756.4085444083
3035.9876740685936,0.9670584502531482,1.0900000000000004e-06,294724.53323804686,20.60451403536794,0.17564475801576043,-149830.08420523428
2918.336479939434,0.967717108460855,1.0900000000000004e-06,294965.17483110726,20.32168933305943,0.1791508545612326,-149902.2260683745
2805.2452212872945,0.968367224881206,1.0900000000000004e-06,295201.6842782882,20.042566196704012,0.1827269373284687,-149972.8711933334
2696.537164121695,0.9690088433573788,1.0900000000000004e-06,295434.1338986195,19.767096157964207,0.18637440333297403,-150042.05536978264
2592.0424242860854,0.9696420081205683,1.0900000000000004e-06,295662.5938465126,19.49523138250558,0.19009467747649011,-150109.81316784248
2491.5977019742477,0.970266763785416,1.0900000000000004e-06,295887.13219885743,19.226924661687697,0.1938892131036402,-150176.17798636472
2395.046026535412,0.9708831553454532,1.0900000000000004e-06,296107.815038694,18.962129404361523,0.19775949256968606,-150241.18209929738
2302.2365111723293,0.971491228168541,1.0900000000000004e-06,296324.706535585,18.70079962878006,0.20170702781961752,-150304.85670020565
2213.024117142913,0.9720910279923451,1.0900000000000004e-06,296537.86902283155,18.442889954604304,0.20573336097880215,-150367.23194502693
2127.269427104271,0.9726826009197996,1.0900000000000004e-06,296747.3630716378,18.18835559502305,0.20984006495542426,-150428.33699312495
2044.8384272395915,0.9732659934145953,1.0900000000000004e-06,296953.24756235594,17.9371523489706,0.21402874405494995,-150488.20004671527
1965.6022978296496,0.9738412522966783,1.0900000000000004e-06,297155.57975291857,17.689236593447117,0.21830103460685737,-150546.8483887247
1889.4372119412224,0.9744084247377631,1.0900000000000004e-06,297354.41534457094,17.444565275939084,0.2226586056038775,-150604.30841914835
1816.2241419178533,0.9749675582568594,1.0900000000000004e-06,297549.80854500574,17.203095906938625,0.22710315935399486,-150660.605689963
1745.8486733705308,0.9755187007158148,1.0900000000000004e-06,297741.8121290033,16.964786552560295,0.23163643214546298,-150715.76493865572
1678.200826377642,0.9760619003148726,1.0900000000000004e-06,297930.477496673,16.729595827254137,0.23626019492509476,-150769.8101204217
1613.1748836148035,0.976597205588247,1.0900000000000004e-06,298115.8547293904,16.497482886613803,0.24097625399009184,-150822.7644390853
1550.6692251459226,0.9771246653997148,1.0900000000000004e-06,298297.9926435185,16.268407420278255,0.2457864516936844,-150874.65037679437
1490.5861696173831,0.9776443289382246,1.0900000000000004e-06,298476.93884200044,16.042329644926056,0.25069266716485583,-150925.48972253743
1432.8318216071632,0.9781562457135253,1.0900000000000004e-06,298652.73976390617,15.819210297360913,0.25569681704243447,-150975.3035995301
1377.315924890323,0.9786604655518126,1.0900000000000004e-06,298825.44073201285,15.599010627687228,0.26080085622383864,-151024.11249151622
1323.951721391506,0.9791570385913964,1.0900000000000004e-06,298995.0859984952,15.381692392574273,0.26600677862876765,-151071.93626802636
1272.6558156045844,0.9796460152783839,1.0900000000000004e-06,299161.7187887996,15.167217848609987,0.2713166179781367,-151118.7942086356
1223.348044265881,0.9801274463623945,1.0900000000000004e-06,299325.381343775,14.955549745736349,0.27673244858856105,-151164.7050262611
1175.9513510801423,0.9806013828922808,1.0900000000000004e-06,299486.1149601233,14.746651320776797,0.2822563861826983,-151209.68688953578
1130.3916663006764,0.9810678762118841,1.0900000000000004e-06,299643.9600292404,14.540486291043019,0.2878905887157669,-151253.75744429676
1086.5977909770659,0.9815269779558065,1.0900000000000004e-06,299798.956074508,14.337018848026437,0.29363725721856226,-151296.93383422325
1044.501285689301,0.9819787400452067,1.0900000000000004e-06,299951.14178709633,14.136213651172417,0.2994986366573016,-151339.23272065714
1004.0363635940669,0.9824232146836214,1.0900000000000004e-06,300100.5550603375,13.938035821734184,0.30547701681063105,-151380.67030163945
965.1397876164792,0.9828604543528089,1.0900000000000004e-06,300247.23302272375,13.742450936707455,0.31157473316414036,-151421.2623301937
927.7507716263949,0.9832905118086185,1.0900000000000004e-06,300391.21206958574,13.549425022843684,0.31779416782273223,-151461.02413188602
891.8108854449157,0.9837134400768839,1.0900000000000004e-06,300532.5278935011,13.358924550741168,0.3241377504412041,-151499.9706216908
857.263963532565,0.9841292924493447,1.0900000000000004e-06,300671.2155134844,13.17091642901255,0.33060795917340574,-151538.11632018967
824.0560172167059,0.98453812247959,1.0900000000000004e-06,300807.3093030041,12.985367998529172,0.3372073216403429,-151575.47536912974
792.1351503201895,0.9849399839790385,1.0900000000000004e-06,300940.8430168774,12.802247026736525,0.3439384159176059,-151612.06154636838
761.4514780614026,0.9853349310129269,1.0900000000000004e-06,301071.84981707635,12.621521702051176,0.35080387154250803,-151647.8882802249
731.9570490958896,0.9857230178963489,1.0900000000000004e-06,301200.36229750275,12.443160628320735,0.3578063705413286,-151682.96866326846
703.6057705806802,0.9861042991903062,1.0900000000000004e-06,301326.41250775935,12.267132819362658,0.36494864847706016,-151717.31546555934
676.3533361424934,0.9864788296977938,1.0900000000000004e-06,301450.03197596275,12.093407693571125,0.37223349551807083,-151750.9411473682
650.1571566377859,0.9868466644599142,1.0900000000000004e-06,301571.2517306357,11.921955068594086,0.37966375752809806,-151783.8578713934
624.9762935962968,0.9872078587520223,1.0900000000000004e-06,301690.1023217132,11.752745156078586,0.3872423371780002,-151816.07751449628
600.7713952448667,0.9875624680798896,1.0900000000000004e-06,301806.61384069495,11.585748556488843,0.39497219507970044,-151847.61167897235
577.504635009301,0.9879105481759212,1.0900000000000004e-06,301920.815939988,11.42093625398092,0.40285635094276484,-151878.47170338038
555.1396524015054,0.9882521549953781,1.0900000000000004e-06,302032.7378514557,11.258279611355558,0.41089788475406824,-151908.66867294195
533.6414961966558,0.9885873447126456,1.0900000000000004e-06,302142.40840421745,11.097750365069084,0.41909993798100703,-151938.2134295326
512.9765698129955,0.9889161737175283,1.0900000000000004e-06,302249.8560417223,10.939320620310772,0.4274657147987299,-151967.11658127865
493.11257880858494,0.989238698611576,1.0900000000000004e-06,302355.1088381267,10.782962846143768,0.43599848334186586,-151995.38851177625
474.0184804129718,0.9895549762044431,1.0900000000000004e-06,302458.1945140039,10.628649870708767,0.44470157698123797,-152023.03938894716
455.6644350148876,0.9898650635102783,1.0900000000000004e-06,302559.1404514103,10.476354876489445,0.4535783956260621,-152050.07917354567
438.0217595301956,0.9901690177441461,1.0900000000000004e-06,302657.9737083358,10.326051395639073,0.46263240705213976,-152076.51762733108
421.06288257719234,0.9904668963184826,1.0900000000000004e-06,302754.7210325606,10.177713305367318,0.4718671482565623,-152102.36432091793
404.7613013892217,0.9907587568395808,1.0900000000000004e-06,302849.4088749438,10.031314823386458,0.4812862268394579,-152127.6286413181
389.0915403972694,0.9910446571041107,1.0900000000000004e-06,302942.0634021643,9.886830503416267,0.4908933224133191,-152152.31979918553
374.029111417807,0.9913246550956705,1.0900000000000004e-06,303032.71050893725,9.744235230746686,0.5006921880404632,-152176.4468357765
359.55047538365966,0.9915988089813711,1.0900000000000004e-06,303121.3758297256,9.603504217857406,0.5106866516991854,-152200.01862963603
345.6330055582081,0.9918671771084514,1.0900000000000004e-06,303208.08474996715,9.464613000094735,0.5208806177791784,-152223.0439030214
332.254952175102,0.9921298180009298,1.0900000000000004e-06,303292.86241683754,9.327537431401689,0.5312780686068035,-152245.53122807379
319.3954084487244,0.9923867903562837,1.0900000000000004e-06,303375.73374956404,9.192253680105408,0.5418830660008065,-152267.4890327463
307.03427790187465,0.992638153042164,1.0900000000000004e-06,303456.72344931215,9.058738224757123,0.5526997528590889,-152288.92560650024
295.15224295980624,0.9928839650931395,1.0900000000000004e-06,303535.8560086584,8.926967850025825,0.5637323547771529,-152309.8491057769
283.730734761483,0.9931242857074754,1.0900000000000004e-06,303613.1557206682,8.79691964264434,0.5749851816988519,-152330.26755925475
272.75190414090383,0.9933591742439409,1.0900000000000004e-06,303688.6466875924,8.668570987407398,0.5864626296000931,-152350.1888729
262.1985937331232,0.9935886902186498,1.0900000000000004e-06,303762.35282919894,8.541899563220689,0.5981691822061487,-152369.62083481892
252.05431116139584,0.9938128933019292,1.0900000000000004e-06,303834.29789075325,8.416883339200487,0.6101094127432461,-152388.57111991936
242.30320326352563,0.9940318433152208,1.0900000000000004e-06,303904.5054506615,8.293500570822859,0.6222879857251236,-152407.0472943895
232.93003131715946,0.9942456002280093,1.0900000000000004e-06,303972.99892779003,8.17172979612208,0.6347096587752461,-152425.05682000035
223.9201472252931,0.9944542241547818,1.0900000000000004e-06,304039.8015884728,8.051549831937297,0.6473792844853969,-152442.60705823923
215.25947062478429,0.9946577753520127,1.0900000000000004e-06,304104.9365532206,7.9329397702069855,0.6603018123113672,-152459.7052742809
206.93446688209494,0.9948563142151777,1.0900000000000004e-06,304168.4268031425,7.815878974310431,0.6734822905064873,-152476.3586408023
198.9321259418727,0.9950499012757932,1.0900000000000004e-06,304230.29518609063,7.700347075455579,0.6869258680937534,-152492.5742416476
