beta,gamma_min,gamma_max
650.1571566377859,0.0,301571.2517306357
676.3533361424934,0.0,301450.03197596275
703.6057705806802,0.0,301326.41250775935
731.9570490958896,0.0,301200.36229750275
761.4514780614026,0.0,301071.84981707635
792.1351503201895,0.0,300940.8430168774
824.0560172167059,0.0,300807.3093030041
857.263963532565,0.0,300671.2155134844
891.8108854449157,0.0,300532.5278935011
927.7507716263949,0.0,300391.21206958574
965.1397876164792,0.0,300247.23302272375
1004.0363635940669,0.0,300100.5550603375
1044.501285689301,0.0,299951.14178709633
1086.5977909770659,0.0,299798.956074508
1130.3916663006764,0.0,299643.9600292404
1175.9513510801423,0.0,299486.1149601233
1223.348044265881,0.0,299325.381343775
1272.6558156045844,0.0,299161.7187887996
1323.951721391506,0.0,298995.0859984952
1377.315924890323,0.0,298825.44073201285
1432.8318216071632,0.0,298652.73976390617
1490.5861696173831,0.0,298476.93884200044
1550.6692251459226,0.0,298297.9926435185
1613.1748836148035,0.0,298115.8547293904
1678.200826377642,0.0,297930.477496673
1745.8486733705308,0.0,297741.8121290033
1816.2241419178533,0.0,297549.80854500574
1889.4372119412224,0.0,297354.41534457094
1965.6022978296496,0.0,297155.57975291857
2044.8384272395915,0.0,296953.24756235594
2127.269427104271,0.0,296747.3630716378
2213.024117142913,0.0,296537.86902283155
2302.2365111723293,0.0,296324.706535585
2395.046026535412,0.0,296107.815038694
2491.5977019742477,0.0,295887.13219885743
2592.0424242860854,0.0,295662.5938465126
2696.537164121695,0.0,295434.1338986195
2805.2452212872945,0.0,295201.6842782882
2918.336479939434,0.0,294965.17483110726
3035.9876740685936,0.0,294724.53323804686
3158.3826636872286,0.0,294479.6849247967
3285.7127221537107,0.0,294230.55296739435
3418.1768350811667,0.0,293977.0579939943
3555.9820112983866,0.0,293719.1180826216
3699.343606348646,0.0,293456.6486547484
3848.485659031966,0.0,293189.56236452446
4003.641241516826,0.0,292917.76898348547
4165.052823568255,0.0,292641.1752805578
4332.972651461675,0.0,292359.6848971685
4507.6631421744505,0.0,292073.1982172638
4689.397293471208,0.0,291781.6122320303
4878.459110523745,0.0,291484.8203991049
5075.144049731995,0.0,291182.71249605104
5279.759480440955,0.0,290875.1744678689
5492.6251652704705,0.0,290562.08826830436
