R_over_R0,f_R,f_RR,m_s2_over_R0,hamiltonian_energy_proxy
792.1351503201895,0.9849399839790385,1.0900000000000004e-06,300940.8430168774,-151612.06154636838
824.0560172167059,0.98453812247959,1.0900000000000004e-06,300807.3093030041,-151575.47536912974
857.263963532565,0.9841292924493447,1.0900000000000004e-06,300671.2155134844,-151538.11632018967
891.8108854449157,0.9837134400768839,1.0900000000000004e-06,300532.5278935011,-151499.9706216908
927.7507716263949,0.9832905118086185,1.0900000000000004e-06,300391.21206958574,-151461.02413188602
965.1397876164792,0.9828604543528089,1.0900000000000004e-06,300247.23302272375,-151421.2623301937
1004.0363635940669,0.9824232146836214,1.0900000000000004e-06,300100.5550603375,-151380.67030163945
1044.501285689301,0.9819787400452067,1.0900000000000004e-06,299951.14178709633,-151339.23272065714
1086.5977909770659,0.9815269779558065,1.0900000000000004e-06,299798.956074508,-151296.93383422325
1130.3916663006764,0.9810678762118841,1.0900000000000004e-06,299643.9600292404,-151253.75744429676
1175.9513510801423,0.9806013828922808,1.0900000000000004e-06,299486.1149601233,-151209.68688953578
1223.348044265881,0.9801274463623945,1.0900000000000004e-06,299325.381343775,-151164.7050262611
1272.6558156045844,0.9796460152783839,1.0900000000000004e-06,299161.7187887996,-151118.7942086356
1323.951721391506,0.9791570385913964,1.0900000000000004e-06,298995.0859984952,-151071.93626802636
1377.315924890323,0.9786604655518126,1.0900000000000004e-06,298825.44073201285,-151024.11249151622
1432.8318216071632,0.9781562457135253,1.0900000000000004e-06,298652.73976390617,-150975.3035995301
1490.5861696173831,0.9776443289382246,1.0900000000000004e-06,298476.93884200044,-150925.48972253743
1550.6692251459226,0.9771246653997148,1.0900000000000004e-06,298297.9926435185,-150874.65037679437
1613.1748836148035,0.976597205588247,1.0900000000000004e-06,298115.8547293904,-150822.7644390853
1678.200826377642,0.9760619003148726,1.0900000000000004e-06,297930.477496673,-150769.8101204217
1745.8486733705308,0.9755187007158148,1.0900000000000004e-06,297741.8121290033,-150715.76493865572
1816.2241419178533,0.9749675582568594,1.0900000000000004e-06,297549.80854500574,-150660.605689963
1889.4372119412224,0.9744084247377631,1.0900000000000004e-06,297354.41534457094,-150604.30841914835
1965.6022978296496,0.9738412522966783,1.0900000000000004e-06,297155.57975291857,-150546.8483887247
2044.8384272395915,0.9732659934145953,1.0900000000000004e-06,296953.24756235594,-150488.20004671527
2127.269427104271,0.9726826009197996,1.0900000000000004e-06,296747.3630716378,-150428.33699312495
2213.024117142913,0.9720910279923451,1.0900000000000004e-06,296537.86902283155,-150367.23194502693
2302.2365111723293,0.971491228168541,1.0900000000000004e-06,296324.706535585,-150304.85670020565
2395.046026535412,0.9708831553454532,1.0900000000000004e-06,296107.815038694,-150241.18209929738
2491.5977019742477,0.970266763785416,1.0900000000000004e-06,295887.13219885743,-150176.17798636472
2592.0424242860854,0.9696420081205683,1.0900000000000004e-06,295662.5938465126,-150109.81316784248
2696.537164121695,0.9690088433573788,1.0900000000000004e-06,295434.1338986195,-150042.05536978264
2805.2452212872945,0.968367224881206,1.0900000000000004e-06,295201.6842782882,-149972.8711933334
2918.336479939434,0.967717108460855,1.0900000000000004e-06,294965.17483110726,-149902.2260683745
