# z    H_over_H0
9.593608e-01  1.744843e+00
9.794697e-01  1.765736e+00
1.000000e+00  1.787249e+00
1.020961e+00  1.809402e+00
1.042361e+00  1.832213e+00
1.064209e+00  1.855701e+00
1.086516e+00  1.879888e+00
1.109290e+00  1.904794e+00
1.132541e+00  1.930440e+00
1.156280e+00  1.956848e+00
1.180517e+00  1.984042e+00
1.205261e+00  2.012044e+00
1.230524e+00  2.040879e+00
1.256317e+00  2.070570e+00
1.282650e+00  2.101145e+00
1.309535e+00  2.132628e+00
1.336984e+00  2.165047e+00
1.365008e+00  2.198430e+00
1.393619e+00  2.232804e+00
1.422830e+00  2.268200e+00
1.452654e+00  2.304647e+00
1.483103e+00  2.342177e+00
1.514189e+00  2.380821e+00
1.545928e+00  2.420613e+00
1.578331e+00  2.461586e+00
1.611414e+00  2.503775e+00
1.645191e+00  2.547217e+00
1.679675e+00  2.591947e+00
1.714882e+00  2.638005e+00
1.750827e+00  2.685429e+00
1.787526e+00  2.734259e+00
1.824993e+00  2.784538e+00
1.863246e+00  2.836308e+00
1.902301e+00  2.889613e+00
1.942175e+00  2.944499e+00
1.982884e+00  3.001012e+00
2.024447e+00  3.059200e+00
2.066880e+00  3.119114e+00
2.110203e+00  3.180803e+00
2.154435e+00  3.244321e+00
2.199593e+00  3.309723e+00
2.245698e+00  3.377063e+00
2.292769e+00  3.446399e+00
2.340827e+00  3.517792e+00
2.389893e+00  3.591301e+00
2.439986e+00  3.666990e+00
2.491130e+00  3.744924e+00
2.543346e+00  3.825170e+00
2.596656e+00  3.907797e+00
2.651084e+00  3.992876e+00
2.706652e+00  4.080479e+00
2.763385e+00  4.170684e+00
2.821308e+00  4.263567e+00
2.880444e+00  4.359208e+00
2.940820e+00  4.457692e+00
3.002462e+00  4.559102e+00
3.065395e+00  4.663527e+00
3.129648e+00  4.771057e+00
3.195248e+00  4.881787e+00
3.262222e+00  4.995812e+00
3.330600e+00  5.113231e+00
3.400412e+00  5.234148e+00
3.471687e+00  5.358668e+00
3.544456e+00  5.486900e+00
3.618750e+00  5.618956e+00
3.694601e+00  5.754952e+00
3.772042e+00  5.895008e+00
3.851107e+00  6.039247e+00
3.931829e+00  6.187795e+00
4.014242e+00  6.340785e+00
4.098384e+00  6.498351e+00
4.184289e+00  6.660632e+00
4.271994e+00  6.827773e+00
4.361538e+00  6.999921e+00
4.452959e+00  7.177230e+00
4.546295e+00  7.359857e+00
4.641589e+00  7.547965e+00
4.738880e+00  7.741721e+00
4.838210e+00  7.941298e+00
4.939622e+00  8.146876e+00
5.043159e+00  8.358638e+00
5.148867e+00  8.576773e+00
5.256791e+00  8.801478e+00
5.366977e+00  9.032954e+00
5.479472e+00  9.271411e+00
5.594326e+00  9.517062e+00
5.711586e+00  9.770129e+00
5.831305e+00  1.003084e+01
5.953533e+00  1.029943e+01
6.078323e+00  1.057615e+01
6.205729e+00  1.086124e+01
6.335805e+00  1.115496e+01
6.468608e+00  1.145759e+01
6.604194e+00  1.176939e+01
6.742622e+00  1.209064e+01
6.883952e+00  1.242165e+01
7.028244e+00  1.276272e+01
7.175561e+00  1.311415e+01
7.325965e+00  1.347626e+01
7.479523e+00  1.384940e+01
7.636298e+00  1.423389e+01
7.796360e+00  1.463010e+01
7.959777e+00  1.503838e+01
8.126619e+00  1.545912e+01
8.296959e+00  1.589269e+01
8.470868e+00  1.633951e+01
8.648423e+00  1.679997e+01
8.829700e+00  1.727451e+01
9.014776e+00  1.776356e+01
9.203732e+00  1.826757e+01
9.396648e+00  1.878702e+01
9.593608e+00  1.932238e+01
9.794697e+00  1.987415e+01
1.000000e+01  2.044284e+01
1.020961e+01  2.102897e+01
1.042361e+01  2.163310e+01
1.064209e+01  2.225578e+01
1.086516e+01  2.289760e+01
1.109290e+01  2.355914e+01
1.132541e+01  2.424104e+01
1.156280e+01  2.494391e+01
1.180517e+01  2.566843e+01
1.205261e+01  2.641526e+01
1.230524e+01  2.718510e+01
1.256317e+01  2.797868e+01
1.282650e+01  2.879674e+01
1.309535e+01  2.964003e+01
1.336984e+01  3.050936e+01
1.365008e+01  3.140554e+01
1.393619e+01  3.232940e+01
1.422830e+01  3.328182e+01
1.452654e+01  3.426369e+01
1.483103e+01  3.527593e+01
1.514189e+01  3.631950e+01
1.545928e+01  3.739537e+01
1.578331e+01  3.850457e+01
1.611414e+01  3.964813e+01
1.645191e+01  4.082713e+01
1.679675e+01  4.204269e+01
1.714882e+01  4.329594e+01
1.750827e+01  4.458809e+01
1.787526e+01  4.592034e+01
1.824993e+01  4.729395e+01
1.863246e+01  4.871022e+01
1.902301e+01  5.017050e+01
1.942175e+01  5.167616e+01
1.982884e+01  5.322864e+01
2.024447e+01  5.482939e+01
2.066880e+01  5.647994e+01
2.110203e+01  5.818185e+01
2.154435e+01  5.993674e+01
2.199593e+01  6.174626e+01
2.245698e+01  6.361215e+01
2.292769e+01  6.553617e+01
2.340827e+01  6.752015e+01
2.389893e+01  6.956597e+01
2.439986e+01  7.167557e+01
2.491130e+01  7.385098e+01
2.543346e+01  7.609424e+01
2.596656e+01  7.840751e+01
2.651084e+01  8.079298e+01
2.706652e+01  8.325292e+01
2.763385e+01  8.578968e+01
2.821308e+01  8.840567e+01
2.880444e+01  9.110339e+01
2.940820e+01  9.388541e+01
3.002462e+01  9.675439e+01
3.065395e+01  9.971305e+01
3.129648e+01  1.027642e+02
3.195248e+01  1.059108e+02
3.262222e+01  1.091559e+02
3.330600e+01  1.125025e+02
3.400412e+01  1.159538e+02
3.471687e+01  1.195131e+02
3.544456e+01  1.231839e+02
3.618750e+01  1.269696e+02
3.694601e+01  1.308739e+02
3.772042e+01  1.349005e+02
3.851107e+01  1.390532e+02
3.931829e+01  1.433361e+02
4.014242e+01  1.477532e+02
4.098384e+01  1.523087e+02
4.184289e+01  1.570071e+02
4.271994e+01  1.618528e+02
4.361538e+01  1.668504e+02
4.452959e+01  1.720048e+02
4.546295e+01  1.773210e+02
4.641589e+01  1.828039e+02
4.738880e+01  1.884588e+02
4.838210e+01  1.942913e+02
4.939622e+01  2.003068e+02
5.043159e+01  2.065112e+02
5.148867e+01  2.129104e+02
5.256791e+01  2.195105e+02
5.366977e+01  2.263179e+02
5.479472e+01  2.333391e+02
5.594326e+01  2.405809e+02
5.711586e+01  2.480502e+02
5.831305e+01  2.557542e+02
5.953533e+01  2.637003e+02
6.078323e+01  2.718961e+02
6.205729e+01  2.803496e+02
6.335805e+01  2.890688e+02
6.468608e+01  2.980621e+02
6.604194e+01  3.073382e+02
6.742622e+01  3.169060e+02
6.883952e+01  3.267747e+02
7.028244e+01  3.369537e+02
7.175561e+01  3.474530e+02
7.325965e+01  3.582825e+02
7.479523e+01  3.694528e+02
7.636298e+01  3.809745e+02
7.796360e+01  3.928588e+02
7.959777e+01  4.051171e+02
8.126619e+01  4.177611e+02
8.296959e+01  4.308032e+02
8.470868e+01  4.442558e+02
8.648423e+01  4.581319e+02
8.829700e+01  4.724448e+02
9.014776e+01  4.872084e+02
9.203732e+01  5.024368e+02
9.396648e+01  5.181449e+02
9.593608e+01  5.343475e+02
9.794697e+01  5.510605e+02
1.000000e+02  5.683000e+02
1.020961e+02  5.860824e+02
1.042361e+02  6.044250e+02
1.064209e+02  6.233455e+02
1.086516e+02  6.428620e+02
1.109290e+02  6.629935e+02
1.132541e+02  6.837594e+02
1.156280e+02  7.051796e+02
1.180517e+02  7.272748e+02
1.205261e+02  7.500663e+02
1.230524e+02  7.735762e+02
1.256317e+02  7.978271e+02
1.282650e+02  8.228424e+02
1.309535e+02  8.486462e+02
1.336984e+02  8.752635e+02
1.365008e+02  9.027199e+02
1.393619e+02  9.310420e+02
1.422830e+02  9.602570e+02
1.452654e+02  9.903931e+02
1.483103e+02  1.021480e+03
1.514189e+02  1.053546e+03
1.545928e+02  1.086624e+03
1.578331e+02  1.120745e+03
1.611414e+02  1.155942e+03
1.645191e+02  1.192250e+03
1.679675e+02  1.229702e+03
1.714882e+02  1.268336e+03
1.750827e+02  1.308188e+03
1.787526e+02  1.349298e+03
1.824993e+02  1.391704e+03
1.863246e+02  1.435448e+03
1.902301e+02  1.480572e+03
1.942175e+02  1.527120e+03
1.982884e+02  1.575136e+03
2.024447e+02  1.624668e+03
2.066880e+02  1.675762e+03
2.110203e+02  1.728468e+03
2.154435e+02  1.782838e+03
2.199593e+02  1.838923e+03
2.245698e+02  1.896778e+03
2.292769e+02  1.956459e+03
2.340827e+02  2.018023e+03
2.389893e+02  2.081531e+03
2.439986e+02  2.147042e+03
2.491130e+02  2.214622e+03
2.543346e+02  2.284334e+03
2.596656e+02  2.356246e+03
2.651084e+02  2.430429e+03
2.706652e+02  2.506953e+03
2.763385e+02  2.585892e+03
2.821308e+02  2.667324e+03
2.880444e+02  2.751326e+03
2.940820e+02  2.837979e+03
3.002462e+02  2.927369e+03
3.065395e+02  3.019580e+03
3.129648e+02  3.114702e+03
3.195248e+02  3.212828e+03
3.262222e+02  3.314052e+03
3.330600e+02  3.418471e+03
3.400412e+02  3.526187e+03
3.471687e+02  3.637305e+03
3.544456e+02  3.751930e+03
3.618750e+02  3.870175e+03
3.694601e+02  3.992154e+03
3.772042e+02  4.117985e+03
3.851107e+02  4.247788e+03
3.931829e+02  4.381691e+03
4.014242e+02  4.519822e+03
4.098384e+02  4.662315e+03
4.184289e+02  4.809308e+03
4.271994e+02  4.960942e+03
4.361538e+02  5.117366e+03
4.452959e+02  5.278729e+03
4.546295e+02  5.445189e+03
4.641589e+02  5.616905e+03
4.738880e+02  5.794045e+03
4.838210e+02  5.976779e+03
4.939622e+02  6.165284e+03
5.043159e+02  6.359744e+03
5.148867e+02  6.560345e+03
5.256791e+02  6.767282e+03
5.366977e+02  6.980754e+03
5.479472e+02  7.200970e+03
5.594326e+02  7.428141e+03
5.711586e+02  7.662488e+03
5.831305e+02  7.904237e+03
5.953533e+02  8.153622e+03
6.078323e+02  8.410884e+03
6.205729e+02  8.676273e+03
6.335805e+02  8.950044e+03
6.468608e+02  9.232464e+03
6.604194e+02  9.523805e+03
6.742622e+02  9.824349e+03
6.883952e+02  1.013439e+04
7.028244e+02  1.045422e+04
7.175561e+02  1.078415e+04
7.325965e+02  1.112451e+04
7.479523e+02  1.147562e+04
7.636298e+02  1.183783e+04
