# z   H_over_H0
1.174898e-01 8.951222e-01
1.202264e-01 8.929388e-01
1.230269e-01 8.907154e-01
1.258925e-01 8.884516e-01
1.288250e-01 8.861469e-01
1.318257e-01 8.838007e-01
1.348963e-01 8.814126e-01
1.380384e-01 8.789821e-01
1.412538e-01 8.765087e-01
1.445440e-01 8.739919e-01
1.479108e-01 8.714312e-01
1.513561e-01 8.688263e-01
1.548817e-01 8.661765e-01
1.584893e-01 8.634816e-01
1.621810e-01 8.607411e-01
1.659587e-01 8.579547e-01
1.698244e-01 8.551218e-01
1.737801e-01 8.522423e-01
1.778279e-01 8.493157e-01
1.819701e-01 8.463418e-01
1.862087e-01 8.433201e-01
1.905461e-01 8.402503e-01
1.949845e-01 8.371321e-01
1.995262e-01 8.339651e-01
2.041738e-01 8.307491e-01
2.089296e-01 8.274838e-01
2.137962e-01 8.241688e-01
2.187762e-01 8.208041e-01
2.238721e-01 8.173893e-01
2.290868e-01 8.139244e-01
2.344229e-01 8.104090e-01
2.398833e-01 8.068430e-01
2.454709e-01 8.032263e-01
2.511886e-01 7.995588e-01
2.570396e-01 7.958405e-01
2.630268e-01 7.920711e-01
2.691535e-01 7.882508e-01
2.754229e-01 7.843794e-01
2.818383e-01 7.804571e-01
2.884032e-01 7.764838e-01
2.951209e-01 7.724597e-01
3.019952e-01 7.683848e-01
3.090295e-01 7.642593e-01
3.162278e-01 7.600833e-01
3.235937e-01 7.558571e-01
3.311311e-01 7.515809e-01
3.388442e-01 7.472548e-01
3.467369e-01 7.428793e-01
3.548134e-01 7.384546e-01
3.630781e-01 7.339812e-01
3.715352e-01 7.294593e-01
3.801894e-01 7.248895e-01
3.890451e-01 7.202721e-01
3.981072e-01 7.156077e-01
4.073803e-01 7.108969e-01
4.168694e-01 7.061401e-01
4.265795e-01 7.013380e-01
4.365158e-01 6.964913e-01
4.466836e-01 6.916006e-01
4.570882e-01 6.866665e-01
4.677351e-01 6.816900e-01
4.786301e-01 6.766717e-01
4.897788e-01 6.716125e-01
5.011872e-01 6.665131e-01
5.128614e-01 6.613746e-01
5.248075e-01 6.561979e-01
5.370318e-01 6.509838e-01
5.495409e-01 6.457335e-01
5.623413e-01 6.404478e-01
5.754399e-01 6.351280e-01
5.888437e-01 6.297749e-01
6.025596e-01 6.243899e-01
6.165950e-01 6.189740e-01
6.309573e-01 6.135284e-01
6.456542e-01 6.080543e-01
6.606934e-01 6.025530e-01
6.760830e-01 5.970257e-01
6.918310e-01 5.914738e-01
7.079458e-01 5.858984e-01
7.244360e-01 5.803011e-01
7.413102e-01 5.746831e-01
7.585776e-01 5.690458e-01
7.762471e-01 5.633906e-01
7.943282e-01 5.577189e-01
8.128305e-01 5.520322e-01
8.317638e-01 5.463320e-01
8.511380e-01 5.406196e-01
8.709636e-01 5.348966e-01
8.912509e-01 5.291645e-01
9.120108e-01 5.234247e-01
9.332543e-01 5.176787e-01
9.549926e-01 5.119282e-01
9.772372e-01 5.061746e-01
1.000000e+00 5.004194e-01
1.023293e+00 4.946642e-01
1.047129e+00 4.889104e-01
1.071519e+00 4.831596e-01
1.096478e+00 4.774133e-01
1.122018e+00 4.716731e-01
1.148154e+00 4.659404e-01
1.174898e+00 4.602167e-01
1.202264e+00 4.545036e-01
1.230269e+00 4.488025e-01
1.258925e+00 4.431148e-01
1.288250e+00 4.374421e-01
1.318257e+00 4.317858e-01
1.348963e+00 4.261472e-01
1.380384e+00 4.205278e-01
1.412538e+00 4.149289e-01
1.445440e+00 4.093520e-01
1.479108e+00 4.037984e-01
1.513561e+00 3.982694e-01
1.548817e+00 3.927662e-01
1.584893e+00 3.872901e-01
1.621810e+00 3.818425e-01
1.659587e+00 3.764244e-01
1.698244e+00 3.710371e-01
1.737801e+00 3.656817e-01
1.778279e+00 3.603594e-01
1.819701e+00 3.550711e-01
1.862087e+00 3.498181e-01
1.905461e+00 3.446013e-01
1.949845e+00 3.394217e-01
1.995262e+00 3.342803e-01
2.041738e+00 3.291779e-01
2.089296e+00 3.241156e-01
2.137962e+00 3.190940e-01
2.187762e+00 3.141142e-01
2.238721e+00 3.091768e-01
2.290868e+00 3.042825e-01
2.344229e+00 2.994322e-01
2.398833e+00 2.946264e-01
2.454709e+00 2.898659e-01
2.511886e+00 2.851512e-01
2.570396e+00 2.804829e-01
2.630268e+00 2.758616e-01
2.691535e+00 2.712876e-01
2.754229e+00 2.667616e-01
2.818383e+00 2.622839e-01
2.884032e+00 2.578550e-01
2.951209e+00 2.534751e-01
3.019952e+00 2.491446e-01
3.090295e+00 2.448638e-01
3.162278e+00 2.406330e-01
