alpha,k,P_R
-0.4,0.026560877829466867,1.4109208987112048e-09
-0.4,0.030538555088334154,1.4047950535423921e-09
-0.4,0.03511191734215131,1.3986958051722142e-09
-0.4,0.040370172585965536,1.3926230381244091e-09
-0.4,0.04641588833612782,1.3865766374240836e-09
-0.4,0.05336699231206313,1.3805564885955337e-09
-0.4,0.061359072734131756,1.3745624776600797e-09
-0.4,0.07054802310718646,1.368594491133906e-09
-0.4,0.08111308307896872,1.3626524160259153e-09
-0.4,0.093260334688322,1.3567361398355858e-09
-0.4,0.10722672220103231,1.3508455505508452e-09
-0.4,0.12328467394420659,1.344980536645946e-09
-0.4,0.14174741629268048,1.3391409870793577e-09
-0.4,0.16297508346206452,1.3333267912916615e-09
-0.4,0.1873817422860385,1.3275378392034592e-09
-0.4,0.21544346900318845,1.321774021213288e-09
-0.4,0.24770763559917114,1.316035228195545e-09
-0.4,0.2848035868435802,1.3103213514984229e-09
-0.4,0.32745491628777285,1.3046322829418504e-09
-0.4,0.37649358067924676,1.2989679148154471e-09
-0.4,0.43287612810830617,1.2933281398764812e-09
-0.4,0.49770235643321137,1.2877128513478411e-09
-0.4,0.572236765935022,1.2821219429160127e-09
-0.4,0.6579332246575682,1.276555308729068e-09
-0.4,0.7564633275546291,1.271012843394659e-09
-0.4,0.8697490026177834,1.2654944419780238e-09
-0.4,1.0,1.26e-09
-0.4,1.1497569953977356,1.254529413435045e-09
-0.4,1.3219411484660286,1.2490825787092681e-09
-0.4,1.5199110829529332,1.2436593926984695e-09
-0.4,1.747528400007683,1.2382597527261867e-09
-0.4,2.009233002565046,1.2328835565617513e-09
-0.4,2.310129700083158,1.227530702418354e-09
-0.4,2.6560877829466896,1.222201088951116e-09
-0.4,3.0538555088334185,1.216894615255172e-09
-0.4,3.5111917342151346,1.2116111808637585e-09
-0.4,4.037017258596558,1.206350685746312e-09
-0.4,4.641588833612782,1.2011130303065753e-09
-0.4,5.336699231206313,1.1958981153807121e-09
-0.4,6.135907273413176,1.1907058422354291e-09
-0.4,7.054802310718645,1.1855361125661062e-09
-0.4,8.111308307896872,1.180388828494937e-09
-0.4,9.326033468832199,1.175263892569074e-09
-0.4,10.722672220103231,1.1701612077587841e-09
-0.4,12.32846739442066,1.165080677455612e-09
-0.4,14.174741629268048,1.1600222054705509e-09
-0.4,16.297508346206435,1.15498569603222e-09
-0.4,18.73817422860383,1.149971053785054e-09
-0.4,21.544346900318867,1.1449781837874955e-09
-0.4,24.77076355991714,1.1400069915101982e-09
-0.4,28.48035868435805,1.1350573828342375e-09
-0.4,32.745491628777316,1.130129264049328e-09
-0.4,37.649358067924716,1.1252225418520494e-09
-0.4,43.287612810830616,1.120337123344081e-09
-0.4,49.770235643321136,1.1154729160304407e-09
-0.4,57.223676593502205,1.1106298278177366e-09
-0.4,65.79332246575683,1.1058077670124206e-09
-0.4,75.64633275546291,1.1010066423190546e-09
-0.4,86.97490026177834,1.0962263628385809e-09
-0.4,100.0,1.0914668380666013e-09
-0.375,0.0001,1.7530702191078497e-09
-0.375,0.00011497569953977356,1.7453991760899783e-09
-0.375,0.00013219411484660288,1.7377616998399072e-09
-0.375,0.0001519911082952933,1.7301576434769708e-09
-0.375,0.0001747528400007683,1.7225868607632214e-09
-0.375,0.00020092330025650479,1.7150492061006147e-09
-0.375,0.00023101297000831605,1.7075445345282125e-09
-0.375,0.00026560877829466864,1.7000727017193914e-09
-0.375,0.0003053855508833416,1.6926335639790704e-09
-0.375,0.0003511191734215131,1.6852269782409448e-09
-0.375,0.0004037017258596554,1.6778528020647375e-09
-0.375,0.0004641588833612782,1.6705108936334571e-09
-0.375,0.0005336699231206312,1.6632011117506717e-09
-0.375,0.0006135907273413176,1.6559233158377937e-09
-0.375,0.0007054802310718645,1.6486773659313763e-09
-0.375,0.0008111308307896872,1.6414631226804203e-09
-0.375,0.0009326033468832199,1.6342804473436964e-09
-0.375,0.0010722672220103231,1.6271292017870756e-09
-0.375,0.0012328467394420659,1.6200092484808725e-09
-0.375,0.0014174741629268048,1.6129204504972009e-09
-0.375,0.0016297508346206436,1.6058626715073408e-09
-0.375,0.001873817422860383,1.5988357757791164e-09
-0.375,0.0021544346900318843,1.5918396281742843e-09
-0.375,0.0024770763559917113,1.5848740941459377e-09
-0.375,0.002848035868435802,1.577939039735915e-09
-0.375,0.0032745491628777285,1.5710343315722265e-09
-0.375,0.0037649358067924675,1.5641598368664887e-09
-0.375,0.004328761281083062,1.5573154234113702e-09
-0.375,0.004977023564332114,1.5505009595780489e-09
-0.375,0.00572236765935022,1.5437163143136812e-09
-0.375,0.006579332246575682,1.5369613571388814e-09
-0.375,0.007564633275546291,1.5302359581452128e-09
-0.375,0.008697490026177835,1.5235399879926885e-09
-0.375,0.01,1.5168733179072844e-09
-0.375,0.011497569953977356,1.5102358196784626e-09
-0.375,0.013219411484660288,1.503627365656707e-09
-0.375,0.01519911082952933,1.4970478287510654e-09
-0.375,0.01747528400007685,1.4904970824267084e-09
-0.375,0.02009233002565048,1.4839750007024944e-09
-0.375,0.023101297000831605,1.4774814581485471e-09
-0.375,0.026560877829466867,1.471016329883843e-09
-0.375,0.030538555088334154,1.4645794915738107e-09
-0.375,0.03511191734215131,1.4581708194279383e-09
-0.375,0.040370172585965536,1.451790190197394e-09
-0.375,0.04641588833612782,1.4454374811726547e-09
-0.375,0.05336699231206313,1.4391125701811477e-09
