a w(a)
1.0556300776e-05 -1.0310047081e+00
1.0629510288e-05 -1.0310047408e+00
1.0703227520e-05 -1.0310047736e+00
1.0777455991e-05 -1.0310048067e+00
1.0852199248e-05 -1.0310048401e+00
1.0927460861e-05 -1.0310048736e+00
1.1003244423e-05 -1.0310049074e+00
1.1079553557e-05 -1.0310049415e+00
1.1156391905e-05 -1.0310049758e+00
1.1233763139e-05 -1.0310050103e+00
1.1311670953e-05 -1.0310050450e+00
1.1390119070e-05 -1.0310050800e+00
1.1469111236e-05 -1.0310051152e+00
1.1548651225e-05 -1.0310051507e+00
1.1628742835e-05 -1.0310051864e+00
1.1709389893e-05 -1.0310052224e+00
1.1790596249e-05 -1.0310052586e+00
1.1872365784e-05 -1.0310052951e+00
1.1954702403e-05 -1.0310053318e+00
1.2037610039e-05 -1.0310053688e+00
1.2121092651e-05 -1.0310054060e+00
1.2205154227e-05 -1.0310054435e+00
1.2289798783e-05 -1.0310054813e+00
1.2375030362e-05 -1.0310055193e+00
1.2460853034e-05 -1.0310055575e+00
1.2547270899e-05 -1.0310055961e+00
1.2634288085e-05 -1.0310056349e+00
1.2721908748e-05 -1.0310056740e+00
1.2810137073e-05 -1.0310057133e+00
1.2898977275e-05 -1.0310057529e+00
1.2988433597e-05 -1.0310057928e+00
1.3078510312e-05 -1.0310058330e+00
1.3169211722e-05 -1.0310058735e+00
1.3260542160e-05 -1.0310059142e+00
1.3352505988e-05 -1.0310059552e+00
1.3445107598e-05 -1.0310059965e+00
1.3538351415e-05 -1.0310060381e+00
1.3632241891e-05 -1.0310060800e+00
1.3726783512e-05 -1.0310061221e+00
1.3821980793e-05 -1.0310061646e+00
1.3917838281e-05 -1.0310062074e+00
1.4014360555e-05 -1.0310062504e+00
1.4111552226e-05 -1.0310062938e+00
1.4209417935e-05 -1.0310063374e+00
1.4307962357e-05 -1.0310063814e+00
1.4407190200e-05 -1.0310064256e+00
1.4507106202e-05 -1.0310064702e+00
1.4607715137e-05 -1.0310065150e+00
1.4709021809e-05 -1.0310065602e+00
1.4811031058e-05 -1.0310066057e+00
1.4913747757e-05 -1.0310066515e+00
1.5017176811e-05 -1.0310066977e+00
1.5121323161e-05 -1.0310067441e+00
1.5226191781e-05 -1.0310067909e+00
1.5331787681e-05 -1.0310068380e+00
1.5438115904e-05 -1.0310068854e+00
1.5545181529e-05 -1.0310069332e+00
1.5652989671e-05 -1.0310069812e+00
1.5761545477e-05 -1.0310070296e+00
1.5870854134e-05 -1.0310070784e+00
1.5980920863e-05 -1.0310071275e+00
1.6091750921e-05 -1.0310071769e+00
1.6203349602e-05 -1.0310072267e+00
1.6315722236e-05 -1.0310072768e+00
1.6428874192e-05 -1.0310073273e+00
1.6542810872e-05 -1.0310073781e+00
1.6657537721e-05 -1.0310074293e+00
1.6773060217e-05 -1.0310074808e+00
1.6889383879e-05 -1.0310075327e+00
1.7006514263e-05 -1.0310075849e+00
1.7124456964e-05 -1.0310076375e+00
1.7243217614e-05 -1.0310076905e+00
1.7362801888e-05 -1.0310077438e+00
1.7483215496e-05 -1.0310077975e+00
1.7604464190e-05 -1.0310078516e+00
1.7726553762e-05 -1.0310079060e+00
1.7849490043e-05 -1.0310079609e+00
1.7973278906e-05 -1.0310080161e+00
