z H(z)_km_s_Mpc chi_Mpc
3.0915457729e+00 2.9473485819e+02 6.7882460822e+03
3.1015507754e+00 2.9579059991e+02 6.7984046074e+03
3.1115557779e+00 2.9684779296e+02 6.8085269143e+03
3.1215607804e+00 2.9790643433e+02 6.8186132110e+03
3.1315657829e+00 2.9896652101e+02 6.8286637040e+03
3.1415707854e+00 3.0002805004e+02 6.8386785985e+03
3.1515757879e+00 3.0109101847e+02 6.8486580979e+03
3.1615807904e+00 3.0215542335e+02 6.8586024039e+03
3.1715857929e+00 3.0322126179e+02 6.8685117171e+03
3.1815907954e+00 3.0428853090e+02 6.8783862363e+03
3.1915957979e+00 3.0535722782e+02 6.8882261588e+03
3.2016008004e+00 3.0642734970e+02 6.8980316805e+03
3.2116058029e+00 3.0749889371e+02 6.9078029957e+03
3.2216108054e+00 3.0857185707e+02 6.9175402975e+03
3.2316158079e+00 3.0964623699e+02 6.9272437771e+03
3.2416208104e+00 3.1072203070e+02 6.9369136248e+03
3.2516258129e+00 3.1179923547e+02 6.9465500290e+03
3.2616308154e+00 3.1287784859e+02 6.9561531769e+03
3.2716358179e+00 3.1395786733e+02 6.9657232544e+03
3.2816408204e+00 3.1503928904e+02 6.9752604459e+03
3.2916458229e+00 3.1612211104e+02 6.9847649344e+03
3.3016508254e+00 3.1720633070e+02 6.9942369015e+03
3.3116558279e+00 3.1829194538e+02 7.0036765275e+03
3.3216608304e+00 3.1937895248e+02 7.0130839915e+03
3.3316658329e+00 3.2046734942e+02 7.0224594711e+03
3.3416708354e+00 3.2155713363e+02 7.0318031426e+03
3.3516758379e+00 3.2264830255e+02 7.0411151811e+03
3.3616808404e+00 3.2374085365e+02 7.0503957602e+03
3.3716858429e+00 3.2483478442e+02 7.0596450525e+03
3.3816908454e+00 3.2593009236e+02 7.0688632292e+03
3.3916958479e+00 3.2702677498e+02 7.0780504601e+03
3.4017008504e+00 3.2812482982e+02 7.0872069139e+03
3.4117058529e+00 3.2922425444e+02 7.0963327582e+03
3.4217108554e+00 3.3032504640e+02 7.1054281590e+03
3.4317158579e+00 3.3142720329e+02 7.1144932816e+03
3.4417208604e+00 3.3253072271e+02 7.1235282895e+03
3.4517258629e+00 3.3363560227e+02 7.1325333456e+03
3.4617308654e+00 3.3474183962e+02 7.1415086111e+03
3.4717358679e+00 3.3584943240e+02 7.1504542464e+03
3.4817408704e+00 3.3695837828e+02 7.1593704106e+03
3.4917458729e+00 3.3806867493e+02 7.1682572615e+03
3.5017508754e+00 3.3918032005e+02 7.1771149561e+03
3.5117558779e+00 3.4029331136e+02 7.1859436499e+03
3.5217608804e+00 3.4140764657e+02 7.1947434977e+03
3.5317658829e+00 3.4252332344e+02 7.2035146527e+03
3.5417708854e+00 3.4364033970e+02 7.2122572673e+03
3.5517758879e+00 3.4475869313e+02 7.2209714928e+03
3.5617808904e+00 3.4587838152e+02 7.2296574794e+03
3.5717858929e+00 3.4699940267e+02 7.2383153761e+03
3.5817908954e+00 3.4812175437e+02 7.2469453310e+03
3.5917958979e+00 3.4924543447e+02 7.2555474910e+03
3.6018009005e+00 3.5037044079e+02 7.2641220021e+03
3.6118059030e+00 3.5149677120e+02 7.2726690092e+03
3.6218109055e+00 3.5262442355e+02 7.2811886561e+03
3.6318159080e+00 3.5375339573e+02 7.2896810857e+03
3.6418209105e+00 3.5488368562e+02 7.2981464399e+03
3.6518259130e+00 3.5601529114e+02 7.3065848594e+03
3.6618309155e+00 3.5714821020e+02 7.3149964841e+03
3.6718359180e+00 3.5828244073e+02 7.3233814528e+03
3.6818409205e+00 3.5941798068e+02 7.3317399035e+03
3.6918459230e+00 3.6055482800e+02 7.3400719731e+03
3.7018509255e+00 3.6169298066e+02 7.3483777975e+03
3.7118559280e+00 3.6283243664e+02 7.3566575118e+03
3.7218609305e+00 3.6397319393e+02 7.3649112499e+03
3.7318659330e+00 3.6511525054e+02 7.3731391451e+03
3.7418709355e+00 3.6625860449e+02 7.3813413295e+03
3.7518759380e+00 3.6740325379e+02 7.3895179345e+03
3.7618809405e+00 3.6854919649e+02 7.3976690904e+03
3.7718859430e+00 3.6969643065e+02 7.4057949266e+03
3.7818909455e+00 3.7084495432e+02 7.4138955718e+03
3.7918959480e+00 3.7199476558e+02 7.4219711537e+03
3.8019009505e+00 3.7314586251e+02 7.4300217990e+03
