T,dP_dT
1.742064588074538e-05,-0.0035257458440373225
1.782677714644193e-05,-0.003604693832212293
1.8242376637720096e-05,-0.0036794748801561566
1.8667665089360067e-05,-0.0037502091690113774
1.9102868382179465e-05,-0.003817014212871662
1.954821766300402e-05,-0.0038800049444855465
2.000394946743513e-05,-0.003939293700224024
2.0470305845479573e-05,-0.003994990233210082
2.0947534490108014e-05,-0.004047201914866783
2.143588886881063e-05,-0.004096033635741604
2.1935628358219744e-05,-0.004141587753521038
2.244701838187091e-05,-0.0041839644877923274
2.2970330551175673e-05,-0.004223261642914865
2.3505842809680864e-05,-0.0042595747058638755
2.4053839580691023e-05,-0.004292996951114555
2.461461191833238e-05,-0.004323619533424215
2.5188457662138635e-05,-0.004351531332104435
2.577568159524063e-05,-0.004376819196105945
2.63765956062439e-05,-0.0043995678684380975
2.6991518854880165e-05,-0.0044198600947825805
2.762077794152063e-05,-0.004437776551261874
2.8264707080641226e-05,-0.004453396004201104
2.892364827833188e-05,-0.004466795307159633
2.959795151394407e-05,-0.004478049389437937
3.0287974925973207e-05,-0.004487231343037079
3.09940850022745e-05,-0.0044944124564530235
3.1716656774713376e-05,-0.004499662218672582
3.245607401835385e-05,-0.004503048409386731
3.321272945529055e-05,-0.004504637068450133
3.398702496323283e-05,-0.004504492565562888
3.4779371788951514e-05,-0.004502677633741362
3.5590190766701924e-05,-0.004499253434756621
3.641991254173888e-05,-0.004494279497330402
3.726897779904272e-05,-0.004487813824987693
3.8137837497377524e-05,-0.004479912918376972
3.902695310880608e-05,-0.004470631784175452
3.993679686378867e-05,-0.004460023994647762
4.08678520019959e-05,-0.004448141722962522
4.182061302896878e-05,-0.004435035699655531
4.279558597876242e-05,-0.004420755348073407
4.379328868271272e-05,-0.00440534873716432
4.481425104446894e-05,-0.00438886263171276
4.5859015321438124e-05,-0.004371342522214029
4.692813641279092e-05,-0.0043528326670219915
4.8022182154181755e-05,-0.00433337609575514
4.914173361933981e-05,-0.004313014640217631
5.028738542869117e-05,-0.00429178897894461
5.1459746065175835e-05,-0.004269738636041482
5.265943819742752e-05,-0.0042469020135891536
5.388709901048777e-05,-0.004223316455769508
5.51433805442301e-05,-0.004199018226887681
5.642895003967388e-05,-0.0041740425343202315
5.7744490293371964e-05,-0.004148423571157624
5.909070002006012e-05,-0.004122194538505433
6.0468294223761095e-05,-0.004095387653913894
6.187800457754028e-05,-0.004068034224713085
6.332057981211466e-05,-0.004040164602630357
6.479678611352151e-05,-0.00401180821196179
6.630740753005805e-05,-0.003982993630889738
6.785324638870819e-05,-0.003953748558487726
6.943512372127738e-05,-0.003924099834205446
7.105387970046225e-05,-0.0038940734838887833
7.271037408608629e-05,-0.0038636947389032762
7.440548668173871e-05,-0.003832988045943232
7.614011780205911e-05,-0.0038019770600958894
7.791518875091601e-05,-0.003770684709670949
7.973164231073323e-05,-0.0037391331855446993
8.15904432432241e-05,-0.0037073439696454344
8.349257880179936e-05,-0.0036753378532016164
8.54390592559209e-05,-0.0036431349423552343
8.743091842767997e-05,-0.003610754694791341
8.946921424088471e-05,-0.00357821589604778
9.155502928294856e-05,-0.0035455367317467263
9.36894713798783e-05,-0.003512734765911905
9.587367418466677e-05,-0.0034798269722035955
9.810879777940294e-05,-0.0034468297353076973
0.00010039602929141914,-0.0034137588607162928
0.00010273658352380259,-0.0033806296177602154
0.0001051317036006063,-0.003347456732749335
0.00010758266162710182,-0.0033142544096563574
0.00011009075936542456,-0.0032810363304783554
0.00011265732892597068,-0.003247815691828252
0.00011528373347491266,-0.003214605209806072
0.00011797136795820926,-0.003181417115175259
0.00012072165984249448,-0.0031482631853778395
0.00012353606987323916,-0.0031151547502238997
0.00012641609285058756,-0.0030821027008824634
0.0001293632584232813,-0.0030491175186047595
