T,P_calc
0.0012961916350670867,0.9999744005268041
0.0013264100295479091,0.9999714541127375
0.001357332911961144,0.9999682840992545
0.001388976706185539,0.9999648909545981
0.0014213582189932618,0.9999612751471538
0.001454494648976375,0.9999574371454504
0.0014884035956814188,0.9999533774181568
0.0015231030689569485,0.9999490964340827
0.001558611498518994,0.9999445946621768
0.0015949477437395205,0.9999398725715256
0.0016321311036630892,0.9999349306313529
0.0016701813272570398,0.9999297693110182
0.0017091186239006372,0.9999243890800165
0.0017489636741187533,0.9999187904079762
0.0017897376405657853,0.9999129737646588
0.0018314621792656467,0.9999069396199579
0.0018741594511137954,0.9999006884438978
0.0019178521336474142,0.9998942207066326
0.0019625634330899884,0.9998875368784454
0.0020083170966766857,0.9998806374297472
0.0020551374252670757,0.9998735228310756
0.002103049286251897,0.9998661935530941
0.0021520781267607174,0.9998586500665912
0.0022022499871775137,0.9998508928424791
0.002253591514971335,0.9998429223517925
0.0023061299788494126,0.9998347390656884
0.002359893283240214,0.9998263434554445
0.002414909983114153,0.9998177359924579
0.002471209299149812,0.999808917148245
0.002528821133253741,0.9997998873944398
0.002587776084442071,0.9997906472027931
0.00264810546509238,0.9997811970451718
0.002709841317574441,0.9997715373935573
0.002773016431268689,0.9997616687200452
0.0028376643599814385,0.9997515914968438
0.0029038194397661117,0.9997413061962732
0.002971516807159932,0.9997308132907649
0.003040792417845774,0.9997201132528599
0.003111683065749085,0.9997092065552083
0.003184226402580011,0.9996980936705685
0.00325846095783112,0.9996867750718056
0.0033344261592413286,0.9996752512318908
0.003412162353736916,0.9996635226239007
0.0034917108288607325,0.9996515897210158
0.0035731138347010007,0.9996394529965197
0.00365641460633134,0.9996271129237987
0.003741657386773942,0.9996145699763399
0.0038288874504980967,0.999601824627731
0.003918151127466536,0.9995888773516588
0.0040094958277423825,0.9995757286219088
0.004102970066669762,0.999562378912364
0.004198623490641454,0.9995488286970036
0.004296506903467278,0.9995350784499026
0.0043966722933572,0.9995211286452308
0.004499172860533514,0.9995069797572513
0.0046040630454867405,0.9994926322603203
0.004711398557890271,0.9994780866288856
0.004821236406189097,0.9994633433374862
0.004933634927878356,0.9994484028607507
0.005048653820487762,0.999433265673397
0.005166354173288383,0.9994179322502309
0.005286798499738609,0.9994024030661456
0.005410050770686533,0.9993866785961205
0.005536176448346397,0.9993707593152202
0.005665242521067126,0.999354645698594
0.0057973175389114395,0.9993383382214743
0.005932471650064416,0.9993218373591765
0.006070776638090869,0.9993051435870974
0.006212305960061302,0.9992882573807148
0.006357134785566707,0.9992711792155862
0.006505340036642926,0.999253909567348
0.006657000428625774,0.9992364489117149
0.006812196511958626,0.9992187977244786
0.006971010714974675,0.9992009564815071
0.007133527387676587,0.9991829256587437
0.0072998328465367695,0.9991647057322062
0.007470015420342143,0.9991462971779859
0.007644165497107638,0.999127700472247
0.007822375572083422,0.9991089160912252
0.008004740296881335,0.9990899445112273
0.008191356529746606,0.9990707862086302
0.008382323387001577,0.9990514416598798
0.008577742295688737,0.9990319113414902
0.008777717047441045,0.9990121957300431
0.008982353853608124,0.9989922953021864
0.009191761401667648,0.998972210534634
0.009406050912951845,0.9989519419041645
0.009625336201719788,0.9989314898876201
0.009849733735606863,0.9989108549619063
0.010079362697483487,0.9988900376039908
0.010314345048756012,0.9988690382909025
0.010554805594143265,0.9988478574997306
0.010800872047963348,0.9988264957076242
0.011052675101965738,0.998804953391791
0.011310348494744792,0.9987832310294966
0.011574029082771487,0.9987613290980636
0.01184385691308116,0.9987392480748707
0.012119975297655813,0.9987169884373521
0.01240253088954052,0.9986945506629964
0.01269167376073435,0.9986719352293459
0.012987557481897172,0.9986491426139958
0.013290339203914698,0.998626173294593
0.013600179741365046,0.9986030277488358
0.013917243657931202,0.9985797064544726
0.014241699353804692,0.9985562098893014
0.014573719155126947,0.9985325385311687
0.01491347940551581,0.9985086928579693
0.015261160559725831,0.9984846733476442
0.015616947279492074,0.9984604804781814
0.015981028531608373,0.9984361147276134
0.01635359768829208,0.998411576574018
0.01673485262988866,0.9983868664955163
0.017124995849970643,0.9983619849702724
0.01752423456288679,0.9983369324764925
0.017932780813818557,0.998311709492424
0.018350851591402338,0.9982863164963549
0.01877866894297734,0.9982607539666128
0.019216460092520045,0.9982350223815643
0.019664457561328504,0.9982091222196138
0.02012289929151978,0.9981822799989792
0.020592028772406713,0.9981393409126598
0.021072095169820875,0.9980746493742553
0.021563353458450493,0.9979884790324709
0.022066064557263544,0.9978811048413097
0.022580495468088064,0.9977528030018702
0.02310691941742314,0.9976038509047601
0.023645616001556034,0.9974345270731398
0.024196871335062396,0.9972451111064059
0.024760978202768555,0.9970358836245279
0.025338236215256486,0.9968071262130471
0.02592895196799412,0.9965591213687504
0.026533439204175512,0.9962921524460261
0.027152018981357297,0.9960065036039152
0.027785019841980015,0.9957024597538632
0.028432777987864807,0.9953803065081857
0.029095637458778204,0.9950403301292524
0.02977395031515985,0.9946828174794012
0.030468076825110164,0.9943080559715862
0.031178385655737304,0.993916333520771
0.03190525406896504,0.9935079384960713
0.032649068121905565,0.9930831596736555
0.03341022287190357,0.9926422861904073
0.034189122586360615,0.9921856074983592
0.03498618095745122,0.991713413319899
0.03580182132184455,0.9912259936037581
0.036636476885548615,0.990723638481783
0.037490590953996324,0.9902066382264977
0.03836461716749552,0.9896752832094585
0.03925901974216814,0.9891298638604071
0.04017427371650645,0.9885706706272244
0.04111086520367732,0.9879979939366885
0.04206929164970846,0.9874121241560403
0.043050062097693846,0.9868133515553585
0.044053697458158646,0.9862019662707472
0.04508073078572718,0.9855782582683373
0.0461317075622409,0.9849425173091044
0.047207185986476816,0.9842950329145037
0.048307737270620134,0.9836360943329241
0.04943394594364862,0.9829659905069613
0.05058641016178988,0.9822850100415118
0.05176574202621634,0.9815934411726875
0.05297256790814677,0.9808915717375511
0.05420752878152695,0.9801796891446727
0.055471280563466153,0.9794580803455061
0.056764494462610345,0.978727031806587
0.058087857335637094,0.9779868294825488
0.059442072052061465,0.9772377587899574
0.06082785786754676,0.9764801045819641
0.06224595080591832,0.9757141511237725
0.06369710405008329,0.9749401820689219
0.065182088342064,0.9741584804363819
0.06670169239235735,0.9733693285884581
0.06825672329883778,0.9725730082095064
0.06984800697542613,0.9717698002854532
0.07147638859075219,0.9709599850841205
0.07314273301704384,0.970143842136351
0.07484792528948132,0.9693216502179323
0.07659287107626045,0.9684936873323171
0.07837849715961458,0.9676602306941358
0.08020575192805061,0.9668215567134976
0.08207560588006087,0.9659779409810794
0.08398905213957775,0.9651296582539964
0.08594710698344561,0.9642769824424524
0.08795081038118956,0.9634201865971653
0.09000122654736799,0.962559542897565
0.09209944450680226,0.9616953226407591
0.09424657867298372,0.960827796231263
0.09644376943996524,0.9599572331714902
0.0986921837880516,0.9590839020529985
0.10099301590361051,0.9582080705484886
0.10334748781333343,0.9573300054045497
0.10575685003328299,0.9564499724351502
0.10822238223307189,0.9555682365158658
0.1107453939155258,0.9546850615788437
0.11332722511219159,0.9538007106084974
0.11596924709505983,0.9529154456379265
0.1186728631048801,0.9520295277460589
0.12143950909645548,0.9511432170555099
0.12427065450131236,0.9502567727311538
0.12716780300815045,0.9493704529794044
0.1301324933614877,0.9484845150481965
0.133166300178924,0.9475992152276704
0.13627083478745822,0.9467148088515468
0.13944774607930224,0.9458315502991943
0.14269872138764683,0.9449496929983817
0.14602548738284454,0.9440694894287106
0.14942981098948527,0.9431911911257247
0.15291350032485218,0.9423150486856922
0.1564784056592556,0.941441311771054
0.16012642039875574,0.9405702291165366
0.16385948209079573,0.9397020485359238
0.16767957345327905,0.9388370169294814
0.17158872342763834,0.937975380292035
0.17558900825645438,0.9371173837216918
0.17968255258619795,0.9362632714292057
0.18387153059568018,0.9354132867479802
0.1881581671508106,0.9345676721447052
0.19254473898627647,0.9337266692306246
0.19703357591477055,0.9328905187734302
0.20162706206441033,0.932059460709778
0.20632763714500502,0.9312337341584235
0.2111377977438435,0.9304135774339737
0.2160600986516914,0.92959922806125
0.22109715421970105,0.9287909227902601
0.2262516397479558,0.9279888976117763
0.2315262929063854,0.9271933877735153
0.2369239151888078,0.9264046277969182
0.24244737340086894,0.9256228514945266
0.24809960118267185,0.9248482919879525
0.2538836005669023,0.9240811817264406
0.2598024435732801,0.9233217525060174
0.26585927384018165,0.9225702354892288
0.27205730829430136,0.9218268612254599
0.2783998388592378,0.9210918596718389
0.28489023420391263,0.9203654602147199
0.2915319415317509,0.9196478916917442
0.2983284884115728,0.9189393824144799
0.30528348465116956,0.9182401601916353
0.312400624214558,0.9175504523528472
0.319683687183933,0.9168704857730425
0.32713654176735874,0.9162004868973725
0.33476314635326665,0.9155406817667171
0.342567551612849,0.9148912960437611
0.35055390265146746,0.9142525550396413
0.35872644121021663,0.9136246837411633
0.36708950791881395,0.9130079068385887
0.37564754460101146,0.9124024487539936
0.384405096633754,0.9118085336701972
0.3933668153613372,0.9112263855602637
0.40253746056584705,0.9106562282175744
0.4119219029951933,0.9100982852864761
0.4215251269500799,0.9095527802935016
0.43135223293128533,0.9090199366791699
0.4414084403486604,0.908499977830361
0.4516990902932807,0.907993127113274
0.4622296483742272,0.9074996079069654
0.47300570762150146,0.9070196436374736
0.4840329914566168,0.90655345781253
0.4953173567324439,0.9061012740568615
0.5068647968439245,0.9056633161480857
0.518681444911306,0.9052398080532045
0.5307735770375881,0.9048309739656974
