z,r_s_lcdm_Mpc,r_s_psitmg_Mpc,delta_r_s_Mpc
1224.2677824267782,134.78975485597473,126.06010768329311,8.729647172681624
1226.3598326359834,134.6336402968131,125.9139705076196,8.719669789193503
1228.4518828451883,134.47791334353545,125.76819655690464,8.709716786630807
1230.5439330543932,134.32257247295752,125.62278440207535,8.699788070882164
1232.6359832635983,134.1676161702024,125.47773262186277,8.689883548339623
1234.7280334728034,134.01304292864216,125.33303980274701,8.680003125895155
1236.8200836820083,133.85885124984003,125.18870453890266,8.670146710937374
1238.9121338912134,133.70503964349294,125.04472543214489,8.660314211348052
1241.0041841004183,133.5516066273748,124.90110109187619,8.650505535498624
1243.0962343096235,133.3985507272799,124.75783013503292,8.640720592246993
1245.1882845188284,133.24587047696716,124.61491118603311,8.630959290934044
1247.2803347280335,133.09356441810482,124.47234287672414,8.621221541380677
1249.3723849372384,132.94163110021518,124.33012384633103,8.611507253884142
1251.4644351464435,132.7900690806203,124.18825274140531,8.601816339214992
1253.5564853556484,132.63887692438797,124.04672821577407,8.592148708613905
1255.6485355648535,132.4880532042782,123.9055489304898,8.582504273788402
1257.7405857740587,132.3375965006899,123.76471355378013,8.572882946909772
1259.8326359832636,132.18750540160863,123.62422076099881,8.563284640609822
1261.9246861924685,132.0377785025538,123.48406923457586,8.55370926797795
1264.0167364016736,131.8884144065276,123.34425766396971,8.544156742557888
1266.1087866108787,131.73941172396303,123.20478474561837,8.534626978344662
1268.2008368200836,131.59076907267348,123.06564918289163,8.525119889781848
1270.2928870292887,131.4424850778018,122.92684968604384,8.515635391757954
1272.3849372384936,131.29455837177088,122.78838497216668,8.506173399604194
1274.4769874476988,131.14698759423334,122.65025376514241,8.496733829090928
1276.5690376569037,130.9997713920228,122.51245479559775,8.48731659642506
1278.6610878661088,130.8529084191048,122.37498680085785,8.477921618246953
1280.753138075314,130.70639733652865,122.23784852490101,8.468548811627642
1282.8451882845188,130.5602368123792,122.10103871831319,8.45919809406601
1284.9372384937237,130.41442552172936,121.96455613824358,8.449869383485776
1287.0292887029289,130.26896214659303,121.82839954836008,8.440562598232944
1289.121338912134,130.12384537587783,121.69256771880517,8.43127765707267
1291.2133891213389,129.97907390533945,121.55705942615262,8.422014479186828
1293.3054393305438,129.8346464375349,121.42187345336384,8.412772984171056
1295.397489539749,129.6905616817772,121.28700858974507,8.40355309203214
1297.489539748954,129.54681835408996,121.15246363090479,8.394354723185174
1299.581589958159,129.40341517716277,121.01823737871176,8.38517779845101
1301.673640167364,129.26035088030616,120.8843286412525,8.376022239053668
1303.765690376569,129.11762419940794,120.75073623279052,8.366887966617426
1305.857740585774,128.975233876889,120.6174589737246,8.357774903164412
1307.949790794979,128.8331786616601,120.48449569054809,8.348682971112012
1310.041841004184,128.69145730907866,120.35184521580844,8.339612093270219
1312.1338912133892,128.55006858090604,120.21950638806696,8.330562192839082
1314.2259414225941,128.4090112452653,120.08747805185911,8.321533193406196
1316.317991631799,128.26828407659852,119.95575905765429,8.312525018944228
1318.4100418410042,128.12788585562623,119.82434826181789,8.303537593808343
1320.5020920502093,127.9878153693047,119.69324452657094,8.294570842733762
1322.5941422594142,127.84807141078615,119.5624467199528,8.285624690833345
1324.6861924686193,127.70865277937698,119.43195371578187,8.276699063595103
1326.7782426778242,127.56955828049807,119.30176439361828,8.267793886879787
1328.8702928870293,127.4307867256445,119.17187763872596,8.258909086918536
1330.9623430962342,127.29233693234585,119.04229234203535,8.250044590310495
1333.0543933054394,127.15420772412676,118.91300740010638,8.241200324020383
1335.1464435146443,127.0163979304677,118.78402171509148,8.23237621537622
1337.2384937238494,126.87890638676652,118.65533419469952,8.223572192066996
1339.3305439330543,126.74173193429966,118.52694375215928,8.214788182140381
1341.4225941422594,126.60487342018413,118.39884930618385,8.206024114000286
1343.5146443514645,126.46832969733947,118.27104978093459,8.19727991640488
1345.6066945606694,126.33209962445054,118.14354410598636,8.18855551846417
1347.6987447698743,126.19618206592992,118.01633121629224,8.179850849637674
1349.7907949790795,126.06057589188113,117.88941005214872,8.17116583973241
1351.8828451882846,125.92527997806168,117.76277955916112,8.162500418900564
1353.9748953974895,125.79029320584708,117.63643868820972,8.153854517637356
