alpha,k,P_R
-8.000000e-02,8.111308e-04,2.424416e-09
-8.000000e-02,9.326033e-04,2.413647e-09
-8.000000e-02,1.072267e-03,2.402926e-09
-8.000000e-02,1.232847e-03,2.392253e-09
-8.000000e-02,1.417474e-03,2.381627e-09
-8.000000e-02,1.629751e-03,2.371049e-09
-8.000000e-02,1.873817e-03,2.360517e-09
-8.000000e-02,2.154435e-03,2.350032e-09
-8.000000e-02,2.477076e-03,2.339594e-09
-8.000000e-02,2.848036e-03,2.329202e-09
-8.000000e-02,3.274549e-03,2.318856e-09
-8.000000e-02,3.764936e-03,2.308556e-09
-8.000000e-02,4.328761e-03,2.298302e-09
-8.000000e-02,4.977024e-03,2.288094e-09
-8.000000e-02,5.722368e-03,2.277930e-09
-8.000000e-02,6.579332e-03,2.267812e-09
-8.000000e-02,7.564633e-03,2.257739e-09
-8.000000e-02,8.697490e-03,2.247711e-09
-8.000000e-02,1.000000e-02,2.237727e-09
-8.000000e-02,1.149757e-02,2.227788e-09
-8.000000e-02,1.321941e-02,2.217892e-09
-8.000000e-02,1.519911e-02,2.208041e-09
-8.000000e-02,1.747528e-02,2.198233e-09
-8.000000e-02,2.009233e-02,2.188469e-09
-8.000000e-02,2.310130e-02,2.178749e-09
-8.000000e-02,2.656088e-02,2.169071e-09
-8.000000e-02,3.053856e-02,2.159437e-09
-8.000000e-02,3.511192e-02,2.149845e-09
-8.000000e-02,4.037017e-02,2.140296e-09
-8.000000e-02,4.641589e-02,2.130789e-09
-8.000000e-02,5.336699e-02,2.121325e-09
-8.000000e-02,6.135907e-02,2.111902e-09
-8.000000e-02,7.054802e-02,2.102522e-09
-8.000000e-02,8.111308e-02,2.093183e-09
-8.000000e-02,9.326033e-02,2.083885e-09
-8.000000e-02,1.072267e-01,2.074629e-09
-8.000000e-02,1.232847e-01,2.065414e-09
-8.000000e-02,1.417474e-01,2.056240e-09
-8.000000e-02,1.629751e-01,2.047107e-09
-8.000000e-02,1.873817e-01,2.038014e-09
-8.000000e-02,2.154435e-01,2.028961e-09
-8.000000e-02,2.477076e-01,2.019949e-09
-8.000000e-02,2.848036e-01,2.010977e-09
-8.000000e-02,3.274549e-01,2.002045e-09
-8.000000e-02,3.764936e-01,1.993152e-09
-8.000000e-02,4.328761e-01,1.984299e-09
-8.000000e-02,4.977024e-01,1.975485e-09
-8.000000e-02,5.722368e-01,1.966711e-09
