T_Gyr,dchi2_smooth
2.813291774810224e-05,1324.0674461407139
2.8787858618253083e-05,1292.2668455971675
2.9458046664229584e-05,1261.2219109573116
3.0143836843832196e-05,1230.9148662579723
3.0845592378361364e-05,1201.3283495104126
3.15636849449941e-05,1172.4454032955948
3.229849487363849e-05,1144.2494654252323
3.3050411348371385e-05,1116.7243596833725
3.381983261356553e-05,1089.8542870990489
3.460716618481513e-05,1063.6238171109496
3.541282906477243e-05,1038.0178790045013
3.623724796400842e-05,1013.0217536947233
3.7080859527015274e-05,988.6210656514633
3.7944110563470706e-05,964.8017749180576
3.8827458284885626e-05,941.5501693020798
3.9731370546761274e-05,918.8528567899735
4.0656326096383896e-05,896.6967582703397
4.1602814826387684e-05,875.0691001901758
4.2571338034221657e-05,853.9574074358767
4.356240868765574e-05,833.349496564713
4.457655169646913e-05,813.233468969918
4.561430419046272e-05,793.5977043100208
4.667621580394413e-05,774.4308540445427
4.776284896683563e-05,755.7218351605277
4.8874779202558616e-05,737.459824019447
5.0012595432853944e-05,719.6342502839982
5.11769002896976e-05,702.2347912066977
5.2368310434477865e-05,685.2513657045306
5.35874568846039e-05,668.6741288267563
5.483498534771686e-05,652.4934663188826
5.611155656368202e-05,636.6999892129984
5.741784665454253e-05,621.2845286553172
5.875454748261966e-05,606.2381307474918
6.012236701695082e-05,591.5520515746131
6.152202970825735e-05,577.2177523107586
6.295427687264151e-05,563.2268945005255
6.441986708421729e-05,549.5713353343448
6.591957657688039e-05,536.2431231623337
6.74541996554322e-05,523.2344930471608
6.90245491162748e-05,510.5378623934602
7.06314566778992e-05,498.14582672718774
7.22757734213968e-05,486.0511555176337
7.395837024122479e-05,474.24678818388907
7.56801383064655e-05,462.725830130709
7.744198953282529e-05,451.48154882024596
7.924485706562014e-05,440.5073700554618
8.108969577400607e-05,429.79687435233876
8.297748275671541e-05,419.3437931783536
8.490921785956572e-05,409.1420055572979
8.68859242050184e-05,399.1855346318481
8.890864873406371e-05,389.4685442482538
9.09784627607212e-05,379.9853356832318
9.30964625394506e-05,370.7303444373425
9.526376984577033e-05,361.6981371898431
9.748153257039377e-05,352.8834086121179
9.975092532719749e-05,344.280978432637
0.00010207315007534164,335.88578855851483
0.00010444943675587603,327.6929001756121
0.00010688104394316375,319.69749098449455
0.00010936925951147221,311.89485244182754
0.00011191540131708102,304.2803871387331
0.00011452081789627101,296.849606194869
0.00011718688917956085,289.5981267255126
0.00011991502722257323,282.52166937565596
0.00012270667695391376,275.6160558657745
0.0001255633169404626,268.8772066390232
0.00012848646017048042,262.3011385649532
0.00013147765485494703,255.88396267953857
0.00013453848524755358,249.62188196590256
0.00013767057248378624,243.51118921852307
0.0001408755754395418,237.5482649323207
0.00014415519160973457,231.72957524698467
0.00014751115800735467,226.05166994730925
0.00015094525208345943,220.51118048966345
0.00015445929266857963,215.10481810007138
0.00015805514093604462,209.82937191310833
0.00016173470138773117,204.68170712114406
0.0001654999228627635,199.6587632013899
0.00016935279956969336,194.75755217997366
0.00017329537214271217,189.97515689713984
0.0001773297287224494,185.3087293991773
0.0001814580060619349,180.75548928367152
0.00018568239065830538,176.3127220950694
0.00019000511991086038,171.97777781649793
0.00019442848330607486,167.74806931546456
0.0001989548236302023,163.62107088204803
0.00020358653821010445,159.5943168052426
0.0002083260801829709,155.6653999500062
0.00021317595979559493,151.8319703512179
0.00021813874573390002,148.091733899791
0.0002232170664834146,144.44245102150037
0.00022841361172142269,140.88193539791592
0.0002337311337415202,137.40805270677632
0.00023917244891133931,134.01871938282537
0.00024474043916420486,130.71190146363435
0.00025043805352552095,127.48561338823014
0.0002562683096746882,124.33791685304739
0.00026223429554338666,121.26691972040852
0.00026833917095106334,118.27077491507981
0.0002745861692784981,115.34767936572001
0.0002809785991803265,112.49587296624581
0.00028751984633743484,109.71363757556855
0.0002942133752501471,106.99929600508374
0.00030106273107316175,104.35121106178471
0.0003080715414932025,101.76778460964998
0.00031524351865038484,99.24745663901321
0.0003225824611043088,96.78870437667695
0.0003300922558459267,94.39004139292776
0.0003377768803562433,92.05001674942277
0.00034564040471294776,89.7672141627653
0.0003536869937460835,87.54025118532675
0.00036192090924390755,85.36777840295501
0.0003703465122100979,83.24847864748803
0.000378968265173513,81.18106624092593
0.0003877907345517221,79.16428626132074
0.0003968185930695566,77.19691379517711
0.00040605662223397037,75.27775322764
0.00041550971486651,73.40563756527371
0.00042518287769474785,71.57942774808545
0.00043508123400403694,69.79801198787848
0.0004452100263510072,68.06030511780587
0.00045557461934022454,66.3652479783754
0.00046618050246549934,64.71180677813052
0.00047703329301733286,63.098972502970796
0.0004881387390580581,61.52576033799396
0.0004995027224662343,59.99120907508585
0.0005111312620519243,58.49438056175956
0.0005230305167444871,57.03435915707124
0.0005352067888545921,55.61025119536311
0.0005476665274121654,54.22118445947323
0.0005604163315820521,52.866307677349674
0.0005734629541591878,51.54479001499694
