alpha,q0star,chi2
-0.04000000000000001,-0.1,1176260.9169487674
-0.04000000000000001,-0.09000000000000001,1014980.0206718098
-0.04000000000000001,-0.08,859764.3301858109
-0.04000000000000001,-0.07,711252.2238524824
-0.04000000000000001,-0.060000000000000005,569701.5081237527
-0.04000000000000001,-0.05,436201.305929051
-0.04000000000000001,-0.04000000000000001,313145.3141584911
-0.04000000000000001,-0.03,203889.7727143083
-0.04000000000000001,-0.020000000000000004,112559.77515644999
-0.04000000000000001,-0.010000000000000009,44571.31601980441
-0.04000000000000001,0.0,7188.714055210095
-0.04000000000000001,0.009999999999999995,9344.84826240225
-0.04000000000000001,0.01999999999999999,59697.476781254365
-0.04000000000000001,0.03,163956.3699484266
-0.04000000000000001,0.04000000000000001,322696.65250045795
-0.04000000000000001,0.04999999999999999,530626.4161512456
-0.04000000000000001,0.06,778958.0086533073
-0.04000000000000001,0.07,1060181.7597429394
-0.04000000000000001,0.07999999999999999,1373066.0061471355
-0.04000000000000001,0.09,1726579.968485999
-0.04000000000000001,0.1,2138381.5397403655
-0.03,-0.1,1155848.7238383119
-0.03,-0.09000000000000001,994784.2438444262
-0.03,-0.08,840014.3564476528
-0.03,-0.07,692195.1742174926
-0.03,-0.060000000000000005,551623.199753717
-0.03,-0.05,419432.7320590303
-0.03,-0.04000000000000001,298053.51538076636
-0.03,-0.03,190881.902888126
-0.03,-0.020000000000000004,102125.44442651307
-0.03,-0.010000000000000009,37356.6291457417
-0.03,0.0,4062.789744705849
-0.03,0.009999999999999995,11406.912578683276
-0.03,0.01999999999999999,68220.66665676204
-0.03,0.03,180264.04793586745
-0.03,0.04000000000000001,348019.8302134392
-0.03,0.04999999999999999,565999.8658456268
-0.03,0.06,825214.7411520933
-0.03,0.07,1118048.5259917395
-0.03,0.07999999999999999,1443306.7111338323
-0.03,0.09,1810177.248737174
-0.03,0.1,2236667.4622022016
-0.020000000000000004,-0.1,1135733.629263984
-0.020000000000000004,-0.09000000000000001,974922.8066715668
-0.020000000000000004,-0.08,820639.5316546132
-0.020000000000000004,-0.07,673558.0441614985
-0.020000000000000004,-0.060000000000000005,534013.9408562784
-0.020000000000000004,-0.05,403186.9797102816
-0.020000000000000004,-0.04000000000000001,283543.1715319759
-0.020000000000000004,-0.03,178519.5972964875
-0.020000000000000004,-0.020000000000000004,92407.62043999214
-0.020000000000000004,-0.010000000000000009,30938.081376822003
-0.020000000000000004,0.0,1823.1132897223672
-0.020000000000000004,0.009999999999999995,14456.696571427583
-0.020000000000000004,0.01999999999999999,77844.60183515446
-0.020000000000000004,0.03,197796.5081563899
-0.020000000000000004,0.04000000000000001,374702.2574836002
-0.020000000000000004,0.04999999999999999,602877.3463125642
-0.020000000000000004,0.06,873131.3445497412
-0.020000000000000004,0.07,1177743.4096190555
-0.020000000000000004,0.07999999999999999,1515557.1002305974
-0.020000000000000004,0.09,1895979.3289429627
-0.020000000000000004,0.1,2337366.4549910896
-0.010000000000000009,-0.1,1115915.7307454883
-0.010000000000000009,-0.09000000000000001,955395.7566126778
-0.010000000000000009,-0.08,801639.8508729492
