ell,cl_lcdm,cl_mcgt,delta_cls,delta_cls_rel
87,3.1164497291899355e-10,3.1164497291899355e-10,0.0,0.0
88,3.1548022792995324e-10,3.1548022792995324e-10,0.0,0.0
89,3.1934153369157684e-10,3.1934153369157684e-10,0.0,0.0
90,3.2322922792725745e-10,3.2322922792725745e-10,0.0,0.0
91,3.2714459818916483e-10,3.2714459818916483e-10,0.0,0.0
92,3.3108773115329374e-10,3.3108773115329374e-10,0.0,0.0
93,3.350606633562027e-10,3.350606633562027e-10,0.0,0.0
94,3.390624314497664e-10,3.3906243144976646e-10,5.169878828456423e-26,1.5247571977676811e-16
95,3.430950722142784e-10,3.4309507221427843e-10,5.169878828456423e-26,1.50683564036373e-16
96,3.471576225702511e-10,3.4715762257025113e-10,5.169878828456423e-26,1.4892021641870308e-16
97,3.512501195888303e-10,3.512501195888303e-10,0.0,0.0
98,3.5537360050075337e-10,3.553736005007534e-10,5.169878828456423e-26,1.454772898485312e-16
99,3.5952510270379797e-10,3.59525102703798e-10,5.169878828456423e-26,1.4379743694046679e-16
100,3.637066637686786e-10,3.6370666376867865e-10,5.169878828456423e-26,1.4214418770574196e-16
101,3.679173214433674e-10,3.6791732144336747e-10,5.169878828456423e-26,1.4051740777451298e-16
102,3.7215711365583e-10,3.7215711365583006e-10,5.169878828456423e-26,1.3891656611560874e-16
103,3.764240785151812e-10,3.764240785151812e-10,0.0,0.0
104,3.807182543112832e-10,3.8071825431128326e-10,5.169878828456423e-26,1.3579277510107046e-16
105,3.850386795128232e-10,3.850386795128233e-10,1.0339757656912846e-25,2.6853815491979667e-16
106,3.893843927639208e-10,3.893843927639209e-10,1.0339757656912846e-25,2.6554114261024633e-16
107,3.937544328793332e-10,3.937544328793333e-10,1.0339757656912846e-25,2.625940635462378e-16
108,3.981468388383365e-10,3.981468388383366e-10,1.0339757656912846e-25,2.596970928384339e-16
109,4.0256264977737656e-10,4.0256264977737666e-10,1.0339757656912846e-25,2.5684841012028547e-16
110,4.0699990498159485e-10,4.0699990498159495e-10,1.0339757656912846e-25,2.540481589886471e-16
111,4.1145762138346944e-10,4.1145762138346954e-10,1.0339757656912846e-25,2.512958107847617e-16
112,4.1593572607682304e-10,4.1593572607682315e-10,1.0339757656912846e-25,2.485902750994537e-16
113,4.204331237813317e-10,4.204331237813318e-10,1.0339757656912846e-25,2.4593109039359563e-16
114,4.2494871932267665e-10,4.2494871932267675e-10,1.0339757656912846e-25,2.433177742809374e-16
115,4.2948141762036435e-10,4.294814176203644e-10,5.169878828456423e-26,1.2037491300790767e-16
116,4.340311236752417e-10,4.340311236752418e-10,1.0339757656912846e-25,2.3822617994209645e-16
117,4.3859674255686363e-10,4.385967425568637e-10,5.169878828456423e-26,1.1787316974398535e-16
118,4.4317617939087046e-10,4.4317617939087056e-10,1.0339757656912846e-25,2.3331032076508413e-16
119,4.477693393465357e-10,4.477693393465358e-10,1.0339757656912846e-25,2.309170536777362e-16
120,4.5237512762463937e-10,4.523751276246394e-10,5.169878828456423e-26,1.1428300347993838e-16
121,4.56992449445824e-10,4.5699244944582404e-10,5.169878828456423e-26,1.1312832049469796e-16
122,4.6161921003958225e-10,4.6161921003958225e-10,0.0,0.0
123,4.662553146340226e-10,4.662553146340227e-10,1.0339757656912846e-25,2.2176171149982112e-16
124,4.708996684465506e-10,4.708996684465506e-10,0.0,0.0
125,4.755501766755947e-10,4.755501766755948e-10,1.0339757656912846e-25,2.1742726980346183e-16
126,4.802067444934992e-10,4.802067444934992e-10,0.0,0.0
127,4.84867277040691e-10,4.84867277040691e-10,0.0,0.0
128,4.895306794212201e-10,4.895306794212201e-10,0.0,0.0
129,4.941968566997573e-10,4.941968566997573e-10,0.0,0.0
130,4.988637139001209e-10,4.988637139001209e-10,0.0,0.0
131,5.035291878844243e-10,5.035291878844243e-10,0.0,0.0
132,5.081943429919173e-10,5.081943429919173e-10,0.0,0.0
133,5.128562754052808e-10,5.128562754052808e-10,0.0,0.0
134,5.175150812766539e-10,5.175150812766539e-10,0.0,0.0
135,5.221688567343551e-10,5.221688567343551e-10,0.0,0.0
136,5.268176978912439e-10,5.268176978912438e-10,-1.0339757656912846e-25,-1.962682289965016e-16
137,5.314597008546841e-10,5.314597008546841e-10,0.0,0.0
138,5.360939617380588e-10,5.360939617380588e-10,0.0,0.0
