alpha,q0star,chi2
-0.03,-0.05,377600.36504768505
-0.03,-0.04000000000000001,260932.3426854894
-0.03,-0.03,159577.27982647895
-0.03,-0.020000000000000004,77968.0109792124
-0.03,-0.010000000000000009,22101.053834371287
-0.03,0.0,62.808521402858915
-0.03,0.009999999999999995,21628.679317461956
-0.03,0.01999999999999999,96089.71153894109
-0.03,0.03,229336.08541485958
-0.03,0.04000000000000001,421605.2511196396
-0.03,0.04999999999999999,666894.1072219934
-0.03,0.06,955690.6724092193
-0.03,0.07,1280110.787089006
-0.03,0.07999999999999999,1639063.7310327168
-0.03,0.09,2042311.1777867707
-0.03,0.1,2508771.6032947414
-0.020000000000000004,-0.1,1101005.8800807148
-0.020000000000000004,-0.09000000000000001,940733.1425728248
-0.020000000000000004,-0.08,787405.3660536278
-0.020000000000000004,-0.07,641729.4428278095
-0.020000000000000004,-0.060000000000000005,504112.01187995885
-0.020000000000000004,-0.05,375815.09388964606
-0.020000000000000004,-0.04000000000000001,259369.72685964467
-0.020000000000000004,-0.03,158286.90987634542
-0.020000000000000004,-0.020000000000000004,77009.50868735061
-0.020000000000000004,-0.010000000000000009,21552.863491884225
-0.020000000000000004,0.0,30.224825359796906
-0.020000000000000004,0.009999999999999995,22244.639628554163
-0.020000000000000004,0.01999999999999999,97508.2606320859
-0.020000000000000004,0.03,231717.0736123918
-0.020000000000000004,0.04000000000000001,425096.79851106694
-0.020000000000000004,0.04999999999999999,671619.4962604989
-0.020000000000000004,0.06,961747.3543249089
-0.020000000000000004,0.07,1287582.109600506
-0.020000000000000004,0.07999999999999999,1648037.3645810138
-0.020000000000000004,0.09,2052902.6877662432
-0.020000000000000004,0.1,2521141.1513201375
-0.010000000000000009,-0.1,1098699.092069722
-0.010000000000000009,-0.09000000000000001,938466.3797160122
-0.010000000000000009,-0.08,785208.3098779334
-0.010000000000000009,-0.07,639634.0253813148
-0.010000000000000009,-0.060000000000000005,502154.3478921697
-0.010000000000000009,-0.05,374036.0948030576
-0.010000000000000009,-0.04000000000000001,257814.26390755048
-0.010000000000000009,-0.03,157004.6605989835
-0.010000000000000009,-0.020000000000000004,76060.20102497847
-0.010000000000000009,-0.010000000000000009,21015.079028160082
-0.010000000000000009,0.0,9.43185181752691
-0.010000000000000009,0.009999999999999995,22873.975137452428
-0.010000000000000009,0.01999999999999999,98941.9834947758
-0.010000000000000009,0.03,234115.24284690528
-0.010000000000000009,0.04000000000000001,428607.72500245704
-0.010000000000000009,0.04999999999999999,676366.6313720541
-0.010000000000000009,0.06,967828.3059516944
-0.010000000000000009,0.07,1295080.385654041
-0.010000000000000009,0.07999999999999999,1657040.80918834
-0.010000000000000009,0.09,2063527.0642936446
-0.010000000000000009,0.1,2533546.848477696
0.0,-0.1,1096395.3106602167
0.0,-0.09000000000000001,936203.1423810828
0.0,-0.08,783015.3595173387
0.0,-0.07,637543.3618952718
0.0,-0.060000000000000005,500202.16045585164
0.0,-0.05,372263.3733737002
0.0,-0.04000000000000001,256265.96011363008
0.0,-0.03,155730.53903261654
0.0,-0.020000000000000004,75120.09585950062
0.0,-0.010000000000000009,20487.7092357178
0.0,0.0,0.4394198495391718
0.0,0.009999999999999995,23516.696772230178
0.0,0.01999999999999999,100390.89222032738
0.0,0.03,236530.60641459463
0.0,0.04000000000000001,432138.0451403565
0.0,0.04999999999999999,681135.5284406638
0.0,0.06,973933.5446547117
0.0,0.07,1302605.6342869468
0.0,0.07999999999999999,1666074.0857702806
0.0,0.09,2074184.3303415766
0.0,0.1,2545988.7199171414
0.009999999999999995,-0.1,1094094.5388007488
0.009999999999999995,-0.09000000000000001,933943.4339319629
0.009999999999999995,-0.08,780826.5187990777
0.009999999999999995,-0.07,635457.4567216543
0.009999999999999995,-0.060000000000000005,498255.4545127555
0.009999999999999995,-0.05,370496.93519136985
0.009999999999999995,-0.04000000000000001,254724.8217667611
0.009999999999999995,-0.03,154464.55222023535
0.009999999999999995,-0.020000000000000004,74189.20106376603
0.009999999999999995,-0.010000000000000009,19970.762912796898
0.009999999999999995,0.0,3.257354773358716
0.009999999999999995,0.009999999999999995,24172.815467759694
0.009999999999999995,0.01999999999999999,101854.99890958314
0.009999999999999995,0.03,238963.17761996118
0.009999999999999995,0.04000000000000001,435687.7734801281
0.009999999999999995,0.04999999999999999,685926.2033598669
0.009999999999999995,0.06,980063.087809313
0.009999999999999995,0.07,1310157.8745485612
0.009999999999999995,0.07999999999999999,1675137.2152547075
0.009999999999999995,0.09,2084874.5088945178
0.009999999999999995,0.1,2558466.7908014557
0.01999999999999999,-0.1,1091796.779442255
0.01999999999999999,-0.09000000000000001,931687.2577354044
0.01999999999999999,-0.08,778641.791553533
0.01999999999999999,-0.07,633376.3142158784
0.01999999999999999,-0.060000000000000005,496314.2350083989
0.01999999999999999,-0.05,368736.78585013375
