ell,delta_Cl
238,-9.907851639373702e-16
239,-1.0006761932759707e-15
240,-1.0104157625356904e-15
241,-1.0199958253171205e-15
242,-1.0294083264320585e-15
243,-1.0386452028340858e-15
244,-1.0476983820676048e-15
245,-1.056559781027067e-15
246,-1.065221306577359e-15
247,-1.0736748522450806e-15
248,-1.0819122996661097e-15
249,-1.0899255155870734e-15
250,-1.0977063516585526e-15
251,-1.105249082136347e-15
252,-1.1125577184328376e-15
253,-1.1196386916704915e-15
254,-1.1264984138432246e-15
255,-1.1331432752314616e-15
256,-1.139579644195341e-15
257,-1.145813866140739e-15
258,-1.151852261451319e-15
259,-1.1577011248681447e-15
260,-1.1633667241455126e-15
261,-1.1688552988101807e-15
262,-1.1741730593341881e-15
263,-1.1793261856872888e-15
264,-1.1843208263029759e-15
265,-1.1891630971479034e-15
266,-1.1938590803777178e-15
267,-1.1984148241302631e-15
268,-1.202836340871219e-15
269,-1.2071296066703187e-15
270,-1.211300560994553e-15
271,-1.2153551056741946e-15
272,-1.2192991039722208e-15
273,-1.223138380170722e-15
274,-1.2268787196743e-15
275,-1.230525867976092e-15
276,-1.2340855307611683e-15
277,-1.237563373182749e-15
278,-1.2409650202757947e-15
279,-1.2442960573705965e-15
280,-1.2475620283350173e-15
281,-1.2507684383662264e-15
282,-1.25392075140576e-15
283,-1.2570243934482436e-15
284,-1.260084749956453e-15
285,-1.263107168963241e-15
286,-1.266096960037562e-15
287,-1.269059395732038e-15
288,-1.2719997118931512e-15
289,-1.2749231085918226e-15
290,-1.2778347513641823e-15
291,-1.2807397720387507e-15
292,-1.2836432688398356e-15
293,-1.286550309179267e-15
294,-1.2894659287258192e-15
295,-1.2923951341969447e-15
296,-1.2953429038757625e-15
297,-1.2983141881280461e-15
298,-1.30131391167697e-15
299,-1.3043469742234948e-15
300,-1.3074182515837414e-15
301,-1.3105322695730338e-15
302,-1.3136922227628976e-15
303,-1.316900957895411e-15
304,-1.320161301963715e-15
305,-1.3234760644867599e-15
306,-1.3268480376127036e-15
307,-1.3302799969460914e-15
308,-1.3337747028920251e-15
309,-1.3373349014833432e-15
310,-1.3409633250010064e-15
311,-1.3446626924910858e-15
312,-1.348435710695341e-15
313,-1.3522850743614122e-15
314,-1.3562134669666044e-15
315,-1.3602235606144887e-15
316,-1.3643180169654813e-15
317,-1.3684994869266501e-15
318,-1.3727706108585105e-15
319,-1.3771340186784225e-15
320,-1.3815923298088921e-15
321,-1.3861481533843665e-15
322,-1.3908040873206557e-15
323,-1.3955627186768243e-15
324,-1.4004266230865046e-15
325,-1.4053983642926077e-15
326,-1.4104804939405282e-15
327,-1.4156755508026622e-15
328,-1.4209860604682151e-15
329,-1.4264145345677194e-15
330,-1.4319634705145407e-15
331,-1.4376353505226009e-15
332,-1.4434326411927878e-15
333,-1.4493577928925699e-15
334,-1.4554132392390079e-15
335,-1.4616013963749724e-15
336,-1.4679246624004567e-15
337,-1.474385417165782e-15
338,-1.4809860214961153e-15
339,-1.4877288170880719e-15
340,-1.4946161256825348e-15
341,-1.501650249788438e-15
342,-1.508833471441995e-15
343,-1.516168052827085e-15
344,-1.523656236016758e-15
345,-1.5313002433868262e-15
346,-1.5391022775124657e-15
347,-1.5470645219436984e-15
348,-1.5551891413087898e-15
349,-1.5634782821931282e-15
350,-1.5719340739664056e-15
