z,delta_lcdm,delta_k0,delta_ratio_k0_over_lcdm,delta_boost_pct,f_lcdm,f_k0,f_ratio_k0_over_lcdm,f_boost_pct
3.517587939698492594e+00,1.748006684401593347e+01,1.328651330041684986e+01,7.600951082727300800e-01,-2.399048917272699200e+01,9.872599968484443433e-01,1.002184733895759683e+00,1.015117331903407916e+00,1.511733190340791566e+00
3.618090452261306655e+00,1.727749655189305855e+01,1.314722555057447195e+01,7.609450542262709005e-01,-2.390549457737290950e+01,9.880601547282746866e-01,1.002490705844435226e+00,1.014604931741356353e+00,1.460493174135635286e+00
3.718592964824120717e+00,1.708156010360119836e+01,1.301235020921987839e+01,7.617776204456035982e-01,-2.382223795543963973e+01,9.887951960762898507e-01,1.002819519087298827e+00,1.014183243473127716e+00,1.418324347312771572e+00
3.819095477386934778e+00,1.689190576228575225e+01,1.288165789740338951e+01,7.625935213399088752e-01,-2.374064786600911248e+01,9.894715535873487289e-01,1.003174304882894274e+00,1.013848555065444801e+00,1.384855506544480086e+00
3.919597989949748840e+00,1.670820727895124591e+01,1.275493562711591622e+01,7.633934278026581755e-01,-2.366065721973418334e+01,9.900949199427271363e-01,1.003558063552242530e+00,1.013597831216318301e+00,1.359783121631830127e+00
4.020100502512563345e+00,1.653016178364824640e+01,1.263198546643338638e+01,7.641779694454676752e-01,-2.358220305545323114e+01,9.906703441119063536e-01,1.003973703574536636e+00,1.013428644091043385e+00,1.342864409104338463e+00
4.120603015075377407e+00,1.635749191317396622e+01,1.251262602860898276e+01,7.649477129517384677e-01,-2.350522870482615190e+01,9.912023137814104379e-01,1.004424068490484379e+00,1.013339107995655519e+00,1.333910799565551919e+00
4.221105527638191468e+00,1.618992960723290508e+01,1.239668170003448289e+01,7.657032489193914548e-01,-2.342967510806085585e+01,9.916948260854266950e-01,1.004911954124538154e+00,1.013327817884544402e+00,1.332781788454440175e+00
4.321608040201005529e+00,1.602722976777100783e+01,1.228399181107939775e+01,7.664451055528729295e-01,-2.335548944471270616e+01,9.921514484472365725e-01,1.005440118001581729e+00,1.013393791416766554e+00,1.339379141676655394e+00
4.422110552763819591e+00,1.586916340173951667e+01,1.217440610253475342e+01,7.671737819020908455e-01,-2.328262180979091411e+01,9.925753710399182195e-01,1.006011282368572735e+00,1.013536414181401391e+00,1.353641418140139052e+00
4.522613065326633652e+00,1.571551628790479782e+01,1.206778387308768252e+01,7.678897499775724222e-01,-2.321102500224275644e+01,9.929694521272053320e-01,1.006628131891968092e+00,1.013755387676330111e+00,1.375538767633011084e+00
4.623115577889447714e+00,1.556608777596431281e+01,1.196399321066270005e+01,7.685934566767875786e-01,-2.314065433232124036e+01,9.933362573410096097e-01,1.007293306854799786e+00,1.014050679627008567e+00,1.405067962700856654e+00
4.723618090452261775e+00,1.542068970273801121e+01,1.186291029804589314e+01,7.692853255415404989e-01,-2.307146744584595055e+01,9.936780937830123062e-01,1.008009392499125578e+00,1.014422476258435735e+00,1.442247625843573466e+00
4.824120603015075837e+00,1.527914541219093181e+01,1.176441878445038114e+01,7.699657583639318847e-01,-2.300342416360681241e+01,9.939970396974794342e-01,1.008778905032835738e+00,1.014871136175470978e+00,1.487113617547097810e+00
4.924623115577889898e+00,1.514128886774118499e+01,1.166840921574425849e+01,7.706351366563011229e-01,-2.293648633436988860e+01,9.942949703458773270e-01,1.009604274731558560e+00,1.015397145557676684e+00,1.539714555767668358e+00
5.025125628140703959e+00,1.500696384676309769e+01,1.157477851697424498e+01,7.712938229987704730e-01,-2.287061770012295270e+01,9.945735806167247395e-01,1.010487826507142861e+00,1.016001074430862960e+00,1.600107443086296044e+00
5.125628140703518021e+00,1.487602320844655956e+01,1.148342952160266783e+01,7.719421622764350843e-01,-2.280578377235649157e+01,9.948344048229902370e-01,1.011431758276726711e+00,1.016683533835653463e+00,1.668353383565346348e+00
5.226130653266332082e+00,1.474832822725195136e+01,1.139427054255217442e+01,7.725804828168828520e-01,-2.274195171831171436e+01,9.950788340714320501e-01,1.012438117445330743e+00,1.017445133771835986e+00,1.744513377183598557e+00
5.326633165829146144e+00,1.462374798513154062e+01,1.130721498073769027e+01,7.732090974375459558e-01,-2.267909025624540575e+01,9.953081315312934940e-01,1.013508775806040818e+00,1.018286441854690194e+00,1.828644185469019412e+00
5.427135678391960205e+00,1.450215881649539362e+01,1.122218096727256054e+01,7.738283044113375420e-01,-2.261716955886624447e+01,9.955234458818538190e-01,1.014645403161979376e+00,1.019207942675008471e+00,1.920794267500847141e+00
5.527638190954774267e+00,1.438344380060029160e+01,1.113909103597643124e+01,7.744383883581165140e-01,-2.255616116418834949e+01,9.957258231779407831e-01,1.015849439980739843e+00,1.020209997907428834e+00,2.020999790742883384e+00
5.628140703517588328e+00,1.426749229664988050e+01,1.105787182319651585e+01,7.750396210687278131e-01,-2.249603789312721958e+01,9.959162173383964145e-01,1.017122069402779605e+00,1.021292807261494628e+00,2.129280726149462843e+00
5.728643216080402389e+00,1.415419951742608973e+01,1.097845379228888696e+01,7.756322622676505851e-01,-2.243677377323493971e+01,9.960954994336074231e-01,1.018464188938619897e+00,1.022456370416020999e+00,2.245637041602099870e+00
5.829145728643216451e+00,1.404346613773644137e+01,1.090077098039962422e+01,7.762165603196758967e-01,-2.237834396803241077e+01,9.962644659237029909e-01,1.019876382204176535e+00,1.023700450119518601e+00,2.370045011951860126e+00
5.929648241206030512e+00,1.393519793436917809e+01,1.082476076544261545e+01,7.767927528854747798e-01,-2.232072471145252024e+01,9.964238459781933344e-01,1.021358891057878804e+00,1.025024536677167308e+00,2.502453667716730834e+00
6.030150753768844574e+00,1.382930545460519767e+01,1.075036365139643557e+01,7.773610675304402085e-01,-2.226389324695598049e+01,9.965743079900724055e-01,1.022911588516292714e+00,1.026427814077746303e+00,2.642781407774630331e+00
6.130653266331658635e+00,1.372570371065017980e+01,1.067752307024144365e+01,7.779217222907439666e-01,-2.220782777092560423e+01,9.967164653822535580e-01,1.024533952835874118e+00,1.027909128041696540e+00,2.790912804169654038e+00
6.231155778894472697e+00,1.362431189762691375e+01,1.060618519903328227e+01,7.784749262001753323e-01,-2.215250737998246677e+01,9.968508817912465902e-01,1.026225043156288708e+00,1.029466956293663138e+00,2.946695629366313796e+00
6.331658291457286758e+00,1.352505313301228540e+01,1.053629879076380149e+01,7.790208797809852204e-01,-2.209791202190147885e+01,9.969780757018743556e-01,1.027983477104797538e+00,1.031099381379169566e+00,3.109938137916956613e+00
6.432160804020100819e+00,1.342785421561950088e+01,1.046781501779717871e+01,7.795597755016466790e-01,-2.204402244983533166e+01,9.970985245972856514e-01,1.029807410760823938e+00,1.032804066355176742e+00,3.280406635517674196e+00
6.532663316582914881e+00,1.333264540241751206e+01,1.040068732679049646e+01,7.800917982041745136e-01,-2.199082017958254909e+01,9.972126686803119977e-01,1.031694521374470819e+00,1.034578233687896587e+00,3.457823368789658680e+00
6.633165829145728942e+00,1.323936020164930660e+01,1.033487130411575450e+01,7.806171255034120016e-01,-2.193828744965880162e+01,9.973209142151405748e-01,1.033641993222015332e+00,1.036418647688200023e+00,3.641864768820002318e+00
6.733668341708543004e+00,1.314793518086193735e+01,1.027032455089621443e+01,7.811359281604645100e-01,-2.188640718395354767e+01,9.974236365321641484e-01,1.035646506964916114e+00,1.038321600805095279e+00,3.832160080509527944e+00
6.834170854271357065e+00,1.305830978859548885e+01,1.020700656685528607e+01,7.816483704322594317e-01,-2.183516295677405594e+01,9.975211827335820347e-01,1.037704232856440978e+00,1.040282904081036408e+00,4.028290408103640807e+00
6.934673366834171127e+00,1.297042618859781804e+01,1.014487864225237601e+01,7.821546103990510979e-01,-2.178453896009489199e+01,9.976138741327477133e-01,1.039810828111518370e+00,1.042297882049258329e+00,4.229788204925832851e+00
7.035175879396985188e+00,1.288422910553927814e+01,1.008390375724835408e+01,7.826548002715204566e-01,-2.173451997284795567e+01,9.977020084562763236e-01,1.041961438720896860e+00,1.044361372323086901e+00,4.436137232308690059e+00
7.135678391959799249e+00,1.279966568129695226e+01,1.002404648810395216e+01,7.831490866789768690e-01,-2.168509133210231354e+01,9.977858618344727093e-01,1.044150705950260383e+00,1.046467730090446357e+00,4.646773009044635749e+00
7.236180904522613311e+00,1.271668534096402325e+01,9.965272919669313723e+00,7.836376109400430279e-01,-2.163623890599569677e+01,9.978656906026261986e-01,1.046372777718899583e+00,1.048610837683956465e+00,4.861083768395646487e+00
7.336683417085427372e+00,1.263523966781644603e+01,9.907550563671733812e+00,7.841205093170902085e-01,-2.158794906829097826e+01,9.979417329330878550e-01,1.048621325001244386e+00,1.050784119348533663e+00,5.078411934853366283e+00
7.437185929648241434e+00,1.255528228653833089e+01,9.850848282352705709e+00,7.845979132555787050e-01,-2.154020867444213039e+01,9.980142103157568778e-01,1.050889563338562205e+00,1.052980561274850402e+00,5.298056127485040179e+00
7.537688442211055495e+00,1.247676875406953201e+01,9.795136217045111948e+00,7.850699496093686003e-01,-2.149300503906313864e+01,9.980833289025862198e-01,1.053170279488022443e+00,1.055192736909057016e+00,5.519273690905701635e+00
7.638190954773869557e+00,1.239965645749475343e+01,9.740385721317013079e+00,7.855367408529780882e-01,-2.144632591470219296e+01,9.981492807299602310e-01,1.055455863172908071e+00,1.057412837487633928e+00,5.741283748763392758e+00
7.738693467336683618e+00,1.232390451844400836e+01,9.686569298340794276e+00,7.859984052816891831e-01,-2.140015947183108125e+01,9.982122448312525931e-01,1.057738343831808647e+00,1.059632707681940955e+00,5.963270768194095517e+00
7.839195979899497679e+00,1.224947370351966214e+01,9.633660542175393360e+00,7.864550572003218276e-01,-2.135449427996781679e+01,9.982723882505113444e-01,1.060009432197148049e+00,1.061843886171019768e+00,6.184388617101976848e+00
7.939698492462311741e+00,1.217632634030656469e+01,9.581634082675892117e+00,7.869068071014474475e-01,-2.130931928985525659e+01,9.983298669670219727e-01,1.062260566465342171e+00,1.064037650894433362e+00,6.403765089443336223e+00
8.040201005025126690e+00,1.210442633506838561e+01,9.530465600188936293e+00,7.873537610434053757e-01,-2.126462389565946154e+01,9.983848267394489495e-01,1.064482962753336537e+00,1.066205068670517120e+00,6.620506867051711986e+00
8.140703517587940752e+00,1.203373987861638206e+01,9.480132314172129426e+00,7.877960143561070216e-01,-2.122039856438929917e+01,9.984374038773203841e-01,1.066667669470340307e+00,1.068337048800511058e+00,6.833704880051105768e+00
8.241206030150754813e+00,1.196423239471432431e+01,9.430610884549510686e+00,7.882336762963463306e-01,-2.117663237036536827e+01,9.984877259468017963e-01,1.068805625170353490e+00,1.070424400216711369e+00,7.042440021671136918e+00
8.341708542713568875e+00,1.189587171666728871e+01,9.381879599642674705e+00,7.886668436830683859e-01,-2.113331563169316141e+01,9.985359124169744804e-01,1.070887719391718562e+00,1.072457891674236441e+00,7.245789167423644095e+00
8.442211055276382936e+00,1.182862688922819849e+01,9.333917553922843169e+00,7.890956102793997839e-01,-2.109043897206002072e+01,9.985820752521918919e-01,1.072904855935479240e+00,1.074428314432258391e+00,7.442831443225839116e+00
8.542713567839196998e+00,1.176246811066660314e+01,9.286704609882916017e+00,7.895200669204296418e-01,-2.104799330795703582e+01,9.986263194555106137e-01,1.074848017985855497e+00,1.076326546822743424e+00,7.632654682274342406e+00
8.643216080402011059e+00,1.169736667818392561e+01,9.240221362092302826e+00,7.899403016343583550e-01,-2.100596983656416583e+01,9.986687435676881996e-01,1.076708334434617997e+00,1.078143620063783947e+00,7.814362006378394732e+00
8.743718592964825120e+00,1.163329493644920909e+01,9.194449103288345526e+00,7.903563997574306610e-01,-2.096436002425693346e+01,9.987094401257858856e-01,1.078477146737413683e+00,1.079870784641407955e+00,7.987078464140795475e+00
8.844221105527639182e+00,1.157022622904682230e+01,9.149369792369304477e+00,7.907684440430381434e-01,-2.092315559569618699e+01,9.987484960850097071e-01,1.080146075604979661e+00,1.081499576559103781e+00,8.149957655910377241e+00
8.944723618090453243e+00,1.150813485264371927e+01,9.104966024164049543e+00,7.911765147653271324e-01,-2.088234852346728587e+01,9.987859932070690672e-01,1.081707086816256380e+00,1.083021882738794073e+00,8.302188273879407276e+00
9.045226130653267305e+00,1.144699601369791608e+01,9.061221000862996533e+00,7.915806898176596107e-01,-2.084193101823403893e+01,9.988220084180053915e-01,1.083152555434220510e+00,1.084430004851197671e+00,8.443000485119767973e+00
9.145728643216081366e+00,1.138678578754374904e+01,9.018118505003474894e+00,7.919810448062164498e-01,-2.080189551937835546e+01,9.988566141381620689e-01,1.084475327709086612e+00,1.085716720857676343e+00,8.571672085767634286e+00
9.246231155778895427e+00,1.132748107970108009e+01,8.975642873910407715e+00,7.923776531390388511e-01,-2.076223468609611444e+01,9.988898785867069696e-01,1.085668779967578823e+00,1.086875343560045115e+00,8.687534356004512404e+00
9.346733668341709489e+00,1.126905958926732154e+01,8.933778975500567654e+00,7.927705861107628982e-01,-2.072294138892371151e+01,9.989218660628913504e-01,1.086726873811185268e+00,1.087899775479302278e+00,8.789977547930227786e+00
9.447236180904523550e+00,1.121149977426098054e+01,8.892512185365205823e+00,7.931599129833070139e-01,-2.068400870166929906e+01,9.989526372060223425e-01,1.087644206980532324e+00,1.088784559418724873e+00,8.878455941872488211e+00
9.547738693467337612e+00,1.115478081879520111e+01,8.851828365051925829e+00,7.935457010627294805e-01,-2.064542989372705151e+01,9.989822492359420325e-01,1.088416059286838822e+00,1.089524924110812698e+00,8.952492411081269807e+00
9.648241206030151673e+00,1.109888260196812837e+01,8.811713841472302633e+00,7.939280157724841747e-01,-2.060719842275158342e+01,9.990107561756398358e-01,1.089038433064292377e+00,1.090116824400661821e+00,9.011682440066181243e+00
