z,w_z,F_zw,E2,H_km_s_Mpc,I_H
2.3974037951916136e-08,-0.24330007187656144,1.0000000544234617,1.0000000596943743,67.36000201050649,0.0
2.4271110972446506e-08,-0.24330007276721602,1.0000000550978472,1.000000060434074,67.36000203541958,0.0
2.4571865157564288e-08,-0.2433000736689071,1.0000000557805893,1.0000000611829396,67.36000206064138,0.0
2.4876346122225397e-08,-0.24330007458177144,1.0000000564717915,1.0000000619410847,67.3600020861757,0.0
2.518460004662105e-08,-0.24330007550594748,1.0000000571715586,1.0000000627086245,67.36000211202645,0.0
2.549667368318171e-08,-0.24330007644157542,1.000000057879997,1.000000063485675,67.3600021381975,0.0
2.5812614363668263e-08,-0.2433000773887971,1.0000000585972137,1.000000064272354,67.36000216469284,0.0
2.6132470006350533e-08,-0.24330007834775627,1.000000059323318,1.0000000650687817,67.36000219151653,0.0
2.6456289123275115e-08,-0.24330007931859832,1.0000000600584198,1.0000000658750783,67.3600022186726,0.0
2.6784120827622885e-08,-0.2433000803014705,1.0000000608026305,1.0000000666913658,67.36000224616517,0.0
2.7116014841158268e-08,-0.2433000812965219,1.0000000615560631,1.0000000675177683,67.3600022739984,0.0
2.7452021501770294e-08,-0.2433000823039034,1.0000000623188317,1.000000068354411,67.36000230217653,0.0
2.7792191771107104e-08,-0.24330008332376782,1.0000000630910522,1.0000000692014213,67.36000233070382,0.0
2.8136577242305577e-08,-0.24330008435626985,1.0000000638728417,1.000000070058927,67.36000235958463,0.0
2.8485230147816157e-08,-0.24330008540156606,1.0000000646643186,1.0000000709270584,67.36000238882329,0.0
2.8838203367324978e-08,-0.24330008645981502,1.000000065465603,1.0000000718059472,67.36000241842426,0.0
2.919555043577384e-08,-0.24330008753117718,1.0000000662768165,1.0000000726957268,67.36000244839202,0.0
2.9557325551480096e-08,-0.24330008861581512,1.000000067098082,1.000000073596532,67.36000247873115,0.0
2.9923583584356695e-08,-0.24330008971389325,1.0000000679295244,1.0000000745084996,67.36000250944622,0.0
3.029438008423401e-08,-0.24330009082557816,1.0000000687712693,1.0000000754317675,67.36000254054188,0.0
3.0669771289285375e-08,-0.24330009195103847,1.000000069623445,1.0000000763664767,67.36000257202288,0.0
3.104981413455648e-08,-0.24330009309044484,1.0000000704861802,1.0000000773127675,67.36000260389396,0.0
3.143456626060042e-08,-0.24330009424397014,1.0000000713596058,1.0000000782707845,67.36000263615998,0.0
3.182408602222033e-08,-0.24330009541178926,1.0000000722438547,1.000000079240673,67.36000266882581,0.0
3.2218432497319814e-08,-0.24330009659407933,1.0000000731390604,1.0000000802225795,67.36000270189642,0.0
3.261766549586298e-08,-0.24330009779101971,1.0000000740453592,1.000000081216653,67.36000273537681,0.0
3.302184556894613e-08,-0.24330009900279193,1.0000000749628883,1.000000082223045,67.3600027692721,0.0
3.343103401798121e-08,-0.24330010022957974,1.0000000758917869,1.0000000832419076,67.36000280358739,0.0
3.3845292903993415e-08,-0.24330010147156922,1.000000076832196,1.0000000842733954,67.3600028383279,0.0
3.4264685057033665e-08,-0.24330010272894873,1.000000077784258,1.0000000853176645,67.36000287349887,0.0
3.4689274085708314e-08,-0.24330010400190902,1.0000000787481174,1.0000000863748737,67.36000290910567,0.0
3.5119124386826386e-08,-0.2433001052906431,1.0000000797239206,1.0000000874451835,67.36000294515371,0.0
3.555430115516636e-08,-0.24330010659534648,1.0000000807118152,1.0000000885287557,67.36000298164842,0.0
3.599487039336454e-08,-0.24330010791621703,1.0000000817119514,1.0000000896257553,67.36000301859536,0.0
3.644089892192535e-08,-0.24330010925345508,1.0000000827244806,1.000000090736348,67.36000305600014,0.0
3.689245438935603e-08,-0.24330011060726342,1.0000000837495566,1.0000000918607026,67.3600030938684,0.0
3.734960528242647e-08,-0.2433001119778474,1.0000000847873347,1.0000000929989894,67.36000313220589,0.0
3.781242093655698e-08,-0.2433001133654149,1.0000000858379725,1.0000000941513818,67.36000317101846,0.0
3.8280971546334045e-08,-0.24330011477017638,1.000000086901629,1.0000000953180535,67.36000321031196,0.0
3.875532817615643e-08,-0.2433001161923449,1.0000000879784658,1.000000096499182,67.36000325009238,0.0
3.923556277101384e-08,-0.2433001176321361,1.0000000890686462,1.0000000976949464,67.36000329036571,0.0
3.9721748167398535e-08,-0.24330011908976845,1.0000000901723356,1.0000000989055282,67.3600033311381,0.0
4.021395810435205e-08,-0.24330012056546294,1.0000000912897014,1.000000100131111,67.36000337241573,0.0
4.0712267234649597e-08,-0.2433001220594434,1.0000000924209127,1.0000001013718802,67.36000341420484,0.0
4.1216751136122285e-08,-0.24330012357193648,1.0000000935661415,1.0000001026280243,67.36000345651176,0.0
4.172748632311967e-08,-0.2433001251031715,1.0000000947255614,1.0000001038997341,67.36000349934295,0.0
4.224455025811508e-08,-0.24330012665338077,1.000000095899348,1.000000105187202,67.36000354270487,0.0
4.276802136345385e-08,-0.24330012822279937,1.0000000970876797,1.0000001064906237,67.36000358660411,0.0
4.329797903324778e-08,-0.2433001298116653,1.0000000982907364,1.0000001078101965,67.36000363104732,0.0
4.383450364541631e-08,-0.2433001314202196,1.0000000995087008,1.0000001091461208,67.36000367604125,0.0
4.437767657387788e-08,-0.2433001330487062,1.0000001007417576,1.0000001104985994,67.36000372159273,0.0
4.492758020089155e-08,-0.24330013469737213,1.0000001019900937,1.0000001118678368,67.36000376770863,0.0
4.548429792955145e-08,-0.2433001363664674,1.0000001032538983,1.000000113254041,67.360003814396,0.0
4.604791419643706e-08,-0.24330013805624517,1.0000001045333635,1.0000001146574224,67.36000386166188,0.0
4.661851448441914e-08,-0.24330013976696174,1.0000001058286832,1.0000001160781937,67.36000390951345,0.0
4.719618533562501e-08,-0.24330014149887658,1.0000001071400535,1.0000001175165707,67.36000395795799,0.0
4.7781014364563894e-08,-0.2433001432522523,1.0000001084676737,1.0000001189727707,67.3600040070028,0.0
4.837309027141584e-08,-0.24330014502735492,1.000000109811745,1.0000001204470157,67.36000405665537,0.0
4.897250285548448e-08,-0.2433001468244536,1.0000001111724715,1.0000001219395285,67.3600041069232,0.0
4.9579343028816475e-08,-0.24330014864382096,1.000000112550059,1.0000001234505356,67.3600041578139,0.0
5.0193702829990575e-08,-0.2433001504857329,1.000000113944717,1.0000001249802661,67.36000420933523,0.0
5.081567543807671e-08,-0.24330015235046878,1.000000115356657,1.0000001265289526,67.36000426149499,0.0
5.144535518676799e-08,-0.24330015423831144,1.0000001167860928,1.0000001280968296,67.36000431430108,0.0
5.208283757868883e-08,-0.2433001561495472,1.0000001182332412,1.0000001296841345,67.3600043677615,0.0
5.2728219299879324e-08,-0.24330015808446592,1.0000001196983221,1.0000001312911087,67.3600044218844,0.0
5.3381598234459195e-08,-0.2433001600433611,1.0000001211815575,1.0000001329179953,67.36000447667793,0.0
5.404307347947437e-08,-0.24330016202652982,1.0000001226831723,1.0000001345650418,67.36000453215046,0.0
5.4712745359926464e-08,-0.24330016403427288,1.000000124203394,1.000000136232497,67.36000458831035,0.0
5.539071544398914e-08,-0.24330016606689475,1.0000001257424538,1.0000001379206147,67.36000464516614,0.0
5.607708655841237e-08,-0.24330016812470376,1.0000001273005845,1.0000001396296505,67.36000470272647,0.0
5.677196280411867e-08,-0.243300170208012,1.000000128878023,1.0000001413598643,67.36000476100006,0.0
5.747544957199164e-08,-0.24330017231713544,1.000000130475008,1.0000001431115173,67.36000481999572,0.0
5.818765355886007e-08,-0.24330017445239396,1.000000132091782,1.000000144884876,67.36000487972245,0.0
5.89086827836812e-08,-0.24330017661411144,1.0000001337285902,1.0000001466802093,67.36000494018927,0.0
5.963864660392334e-08,-0.2433001788026157,1.0000001353856809,1.0000001484977894,67.36000500140537,0.0
6.037765573215219e-08,-0.24330018101823872,1.0000001370633052,1.0000001503378917,67.36000506338,0.0
6.112582225282197e-08,-0.24330018326131647,1.0000001387617177,1.0000001522007955,67.3600051261226,0.0
6.188325963927584e-08,-0.24330018553218924,1.000000140481176,1.0000001540867838,67.36000518964268,0.0
6.26500827709559e-08,-0.2433001878312014,1.000000142221941,1.0000001559961418,67.36000525394985,0.0
6.342640795082636e-08,-0.2433001901587016,1.0000001439842765,1.0000001579291595,67.36000531905388,0.0
6.421235292301385e-08,-0.24330019251504292,1.0000001457684498,1.0000001598861306,67.36000538496467,0.0
